awardId	awardEnumName	awardName	awardDesc
奖励ID	奖励枚举名	奖励名	奖励描述
1	JJCAward	英雄竞技奖励	根据英雄竞技排名，系统自动分发奖励
2	KingRoleAward	城主轮值个人奖励	城主轮值个人奖励。
3	KingUnionAward	城主轮值公会奖励	{0}方胜利，您所在公会获得第{1}档奖励。
4	DDKillAward	魔兽入侵击杀奖励	本次魔兽入侵活动总计击杀魔兽{0}个。凡参与活动的玩家均可获得奖励。
5	DDUnionAward	魔兽入侵公会奖励	本次魔兽入侵活动，你的公会获得个人总伤害排行榜第{0}名奖励。本公会所有参与活动的玩家均可获得奖励。
6	GWCampAward	荣耀之战阵营奖励	本次荣耀之战阵营{0}奖励
7	GWUnionAward	荣耀之战公会奖励	本次荣耀之战活动你公会的{0}获得排行榜第{1}名。本公会每个参与活动的玩家都可获得奖励
8	GWRankAward	荣耀之战排行榜奖励	本次荣耀之战活动积分排名第{0}名奖励
9	GWScoreAward	荣耀之战积分奖励	本次荣耀之战活动获得{0}积分奖励
10	UniversalAward	全民团购福利宝箱奖励	本次全民大礼包{0}福利宝箱激活到第{1}阶，凡购买过该礼包的玩家都可获得该组福利宝箱奖励。
11	WildBossBoxAward	野外夺宝宝箱奖励	野外夺宝获得的宝箱奖励
12	WildBossMoneyAward	野外夺宝金币奖励	野外夺宝击杀BOSS获得的金币奖励
13	HSUnionRankAward	混乱时空公会伤害排名奖励	混乱时空公会伤害排名{0}
14	HSPersonRankAward	混乱时空个人伤害排名奖励	混乱时空个人伤害排名{0}
15	HSUnionScoreAward	混乱时空公会积分奖励	混乱时空公会积分{0}
16	GroupBuyCarnivalAward	团购嘉年华解锁福利	本次全民大礼包{0}福利宝箱激活到第{1}阶，凡购买过该礼包的玩家都可获得该组福利宝箱奖励。
17	CrossZBAward	跨服争霸奖励	根据您在本届跨服战队争霸赛的排名，系统自动发放礼包奖励。
18	CrossZBGuessAward	跨服争霸竞猜奖励	
19	GroupBuyPartyAward_1	团购狂欢奖励	本次团购狂欢商品{0}的福利宝箱激活到第{1}阶，凡购买过该礼包的玩家都可获得该组福利宝箱奖励。
20	GroupBuyPartyAward_2	团购狂欢奖励	本次团购狂欢商品{0}的福利宝箱激活到第{1}阶，凡购买过该礼包的玩家都可获得该组福利宝箱奖励。
21	DTRichRankAward	土豪派对跨服土豪奖励	本次土豪派对你荣获全服务器土豪第{0}名,获得了对应的名次奖励和土豪称号!
22	ZumaRoleRankAward	天天消龙珠本服个人排名奖励	您在天天消龙珠活动中表现活跃，本服个人积分排名第{0}，可领取奖励。
23	ZumaUnionRankAward	天天消龙珠跨服公会排名奖励	您所在的公会在天天消龙珠活动中表现活跃，跨服公会积分排名第{0}，凡参与活动的公会成员均可领取奖励。
24	WildBossScoreAward	野外寻宝积分奖励	您在野外夺宝中获得{0}分，获得了夺宝徽章奖励。
25	KuaFuJJCUnionRankAward	跨服个人竞技场公会海选排行奖励	您所在公会在跨服英雄竞技海选中取得了第{0}名的好成绩，可领取奖励
26	KuaFuJJCFinalsRankAward	跨服个人竞技场决赛排行奖励	您在跨服英雄竞技决赛中取得了第{0}名的好成绩，可领取奖励
27	KuaFuJJCGuessMoneyTrueAward	跨服个人竞技场决赛金币竞猜正确奖励	恭喜您在本次活动中竞猜第1名玩家{0}正确，可领取奖励
28	KuaFuJJCGuessRMBTrueAward	跨服个人竞技场决赛神石竞猜正确奖励	恭喜您在本次活动中竞猜第1名玩家{0}正确，可领取奖励
29	KuaFuJJCGuessRMBFalseAward	跨服个人竞技场决赛神石竞猜错误奖励	您在本次活动中竞猜第1名玩家{0}错误，可领取奖励
30	UnionKuaFuWarRoleRankAward	圣域争霸总排行奖励	您在本次活动中，在总排行内排名第{0}，可领取奖励
31	UnionKuaFuWarUnionRankAward	圣域争霸公会奖励	您所在的公会在本次活动中排名第{0}，可领取奖励
32	UnionKuaFuWarUnionRoleRankAward	圣域争霸公会个人奖励	您在本次活动中，在公会内排名第{0}，可领取奖励
33	ClashOfTitansPersonScoreRankAward	诸神之战个人积分排名奖励	您在本次诸神之战中排名第{0}，可领取奖励
34	ClashOfTitansPersonScoreAward	诸神之战个人积分奖励	您在本次诸神之战中个人积分为{0}，可领取奖励
35	ClashOfTitansUnionScoreAward	诸神之战公会积分奖励	您所在的公会本次诸神之战中公会积分为{0}，可领取奖励
36	ClashOfTitansTitanAward	诸神之战战神奖励	您在本次诸神之战中是唯一生存者，可领取奖励
37	ClashOfTitansTitanUnionAward	诸神之战战神公会奖励	您所在的公会产生了新一届的战神，可领取奖励
38	MDUnionAward	魔龙降临公会奖励	本次魔龙降临活动，你的公会获得个人总伤害排行榜第{0}名奖励。本公会所有参与活动的玩家均可获得奖励。
39	MDHurtRankAward	魔龙降临伤害排名奖励	本次魔龙降临伤害排名第{0}名奖励
40	MDHurtAward	魔龙降临伤害奖励	本次魔龙降临活动总计造成{0}伤害，可领取奖励。
41	DeepHellScoreRankReward	深渊炼狱积分排名奖励	您在深渊炼狱活动中取得第{0}名的好成绩，获得排名奖励。
42	DeepHellFloorReward	深渊炼狱塔层奖励	您在深渊炼狱活动中达到{0}层，获得层数奖励。
43	KFZCSeal	跨服战场个人排名奖励	您在跨服战场活动中阵营{0}，排名{1}，获得排名奖励。
