rank	serverType	rewardItems	money	bindRMB	needScore	rewardItemsPreview		rankImg
排名	服务器分区类型	奖励	金币奖励	魔晶	达标量	奖励道具预览（客户端用）		是否显示
1	1	[(27861,60),(25600,100),(26226,1)]	0	0	240	[(27861,60),(25600,100),(26226,1)]		KHPD_TextDYM
2	1	[(27861,48),(25600,80),(26225,1)]	0	0	200	[(27861,48),(25600,80),(26225,1)]		KHPD_TextDRM
3	1	[(27861,42),(25600,60),(26224,1)]	0	0	170	[(27861,42),(25600,60),(26224,1)]		KHPD_TextDSM
4	1	[(27861,36),(25600,50),(26223,1)]	0	0	140	[(27861,36),(25600,50),(26223,1)]		KHPD_TextD4M
5	1	[(27861,30),(25600,40),(26223,1)]	0	0	115	[(27861,30),(25600,40),(26223,1)]		KHPD_TextD5M
6	1	[(27861,24),(25600,30),(26223,1)]	0	0	115	[(27861,24),(25600,30),(26223,1)]		0
7	1	[(27861,18),(25600,25),(26223,1)]	0	0	90	[(27861,18),(25600,25),(26223,1)]		0
8	1	[(27861,15),(25600,20),(26223,1)]	0	0	90	[(27861,15),(25600,20),(26223,1)]		0
9	1	[(27861,12),(25600,15),(26223,1)]	0	0	90	[(27861,12),(25600,15),(26223,1)]		0
10	1	[(27861,10),(25600,10),(26223,1)]	0	0	90	[(27861,10),(25600,10),(26223,1)]		0
1	2	[(27861,60),(25600,100),(26230,1)]	0	0	240	[(27861,60),(25600,100),(26230,1)]		KHPD_TextDYM
2	2	[(27861,48),(25600,80),(26229,1)]	0	0	200	[(27861,48),(25600,80),(26229,1)]		KHPD_TextDRM
3	2	[(27861,42),(25600,60),(26228,1)]	0	0	170	[(27861,42),(25600,60),(26228,1)]		KHPD_TextDSM
4	2	[(27861,36),(25600,50),(26227,1)]	0	0	140	[(27861,36),(25600,50),(26227,1)]		KHPD_TextD4M
5	2	[(27861,30),(25600,40),(26227,1)]	0	0	115	[(27861,30),(25600,40),(26227,1)]		KHPD_TextD5M
6	2	[(27861,24),(25600,30),(26227,1)]	0	0	115	[(27861,24),(25600,30),(26227,1)]		0
7	2	[(27861,18),(25600,25),(26227,1)]	0	0	90	[(27861,18),(25600,25),(26227,1)]		0
8	2	[(27861,15),(25600,20),(26227,1)]	0	0	90	[(27861,15),(25600,20),(26227,1)]		0
9	2	[(27861,12),(25600,15),(26227,1)]	0	0	90	[(27861,12),(25600,15),(26227,1)]		0
10	2	[(27861,10),(25600,10),(26227,1)]	0	0	90	[(27861,10),(25600,10),(26227,1)]		0
1	3	[(27861,60),(25600,100),(27041,32)]	0	0	240	[(27861,60),(25600,100),(27041,32)]		KHPD_TextDYM
2	3	[(27861,48),(25600,80),(27041,16)]	0	0	200	[(27861,48),(25600,80),(27041,16)]		KHPD_TextDRM
3	3	[(27861,42),(25600,60),(27041,8)]	0	0	170	[(27861,42),(25600,60),(27041,8)]		KHPD_TextDSM
4	3	[(27861,36),(25600,50),(27041,4)]	0	0	140	[(27861,36),(25600,50),(27041,4)]		KHPD_TextD4M
5	3	[(27861,30),(25600,40),(27041,4)]	0	0	115	[(27861,30),(25600,40),(27041,4)]		KHPD_TextD5M
6	3	[(27861,24),(25600,30),(27041,4)]	0	0	115	[(27861,24),(25600,30),(27041,4)]		0
7	3	[(27861,18),(25600,25),(27041,4)]	0	0	90	[(27861,18),(25600,25),(27041,4)]		0
8	3	[(27861,15),(25600,20),(27041,4)]	0	0	90	[(27861,15),(25600,20),(27041,4)]		0
9	3	[(27861,12),(25600,15),(27041,4)]	0	0	90	[(27861,12),(25600,15),(27041,4)]		0
10	3	[(27861,10),(25600,10),(27041,4)]	0	0	90	[(27861,10),(25600,10),(27041,4)]		0
1	4	[(27861,60),(25600,100),(27041,32)]	0	0	240	[(27861,60),(25600,100),(27041,32)]		KHPD_TextDYM
2	4	[(27861,48),(25600,80),(27041,16)]	0	0	200	[(27861,48),(25600,80),(27041,16)]		KHPD_TextDRM
3	4	[(27861,42),(25600,60),(27041,8)]	0	0	170	[(27861,42),(25600,60),(27041,8)]		KHPD_TextDSM
4	4	[(27861,36),(25600,50),(27041,4)]	0	0	140	[(27861,36),(25600,50),(27041,4)]		KHPD_TextD4M
5	4	[(27861,30),(25600,40),(27041,4)]	0	0	115	[(27861,30),(25600,40),(27041,4)]		KHPD_TextD5M
6	4	[(27861,24),(25600,30),(27041,4)]	0	0	115	[(27861,24),(25600,30),(27041,4)]		0
7	4	[(27861,18),(25600,25),(27041,4)]	0	0	90	[(27861,18),(25600,25),(27041,4)]		0
8	4	[(27861,15),(25600,20),(27041,4)]	0	0	90	[(27861,15),(25600,20),(27041,4)]		0
9	4	[(27861,12),(25600,15),(27041,4)]	0	0	90	[(27861,12),(25600,15),(27041,4)]		0
10	4	[(27861,10),(25600,10),(27041,4)]	0	0	90	[(27861,10),(25600,10),(27041,4)]		0
1	5	[(27861,60),(25600,100),(27041,32)]	0	0	240	[(27861,60),(25600,100),(27041,32)]		KHPD_TextDYM
2	5	[(27861,48),(25600,80),(27041,16)]	0	0	200	[(27861,48),(25600,80),(27041,16)]		KHPD_TextDRM
3	5	[(27861,42),(25600,60),(27041,8)]	0	0	170	[(27861,42),(25600,60),(27041,8)]		KHPD_TextDSM
4	5	[(27861,36),(25600,50),(27041,4)]	0	0	140	[(27861,36),(25600,50),(27041,4)]		KHPD_TextD4M
5	5	[(27861,30),(25600,40),(27041,4)]	0	0	115	[(27861,30),(25600,40),(27041,4)]		KHPD_TextD5M
6	5	[(27861,24),(25600,30),(27041,4)]	0	0	115	[(27861,24),(25600,30),(27041,4)]		0
7	5	[(27861,18),(25600,25),(27041,4)]	0	0	90	[(27861,18),(25600,25),(27041,4)]		0
8	5	[(27861,15),(25600,20),(27041,4)]	0	0	90	[(27861,15),(25600,20),(27041,4)]		0
9	5	[(27861,12),(25600,15),(27041,4)]	0	0	90	[(27861,12),(25600,15),(27041,4)]		0
10	5	[(27861,10),(25600,10),(27041,4)]	0	0	90	[(27861,10),(25600,10),(27041,4)]		0
