rank	serverType	rewardItems	money	bindRMB	needScore	rankPreview	rankImg	rewardItemsPreview
排名	服务器分区类型	奖励	金币奖励	魔晶	需要积分	排名预览	是否显示	奖励道具预览（客户端用）
1	1	[(27861,300),(26450,100),(26344,100),(25792,1),(26928,1)]	0	0	1200	1	KHPD_TextDYM	[(27861,300),(26450,100),(26344,100),(25792,1),(26928,1)]
2	1	[(27861,250),(26450,75),(26344,80),(25783,1),(26226,1)]	0	0	1200	2	KHPD_TextDRM	[(27861,250),(26450,75),(26344,80),(25783,1),(26226,1)]
3	1	[(27861,200),(26450,60),(26344,70),(25783,1),(26226,1)]	0	0	1200	3	KHPD_TextDSM	[(27861,200),(26450,60),(26344,70),(25783,1),(26226,1)]
4	1	[(27861,150),(26450,50),(26344,60),(25774,1),(26225,1)]	0	0	1000	4	KHPD_TextD4M	[(27861,150),(26450,50),(26344,60),(25774,1),(26225,1)]
5	1	[(27861,120),(26450,40),(26344,50),(25774,1),(26225,1)]	0	0	1000	5	KHPD_TextD5M	[(27861,120),(26450,40),(26344,50),(25774,1),(26225,1)]
6	1	[(27861,100),(26450,30),(26344,40),(25765,1)]	0	0	900	6	KHPD_Text6	[(27861,100),(26450,30),(26344,40),(25765,1)]
7	1	[(27861,100),(26450,30),(26344,40),(25765,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25765,1)]
8	1	[(27861,100),(26450,30),(26344,40),(25765,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25765,1)]
9	1	[(27861,100),(26450,30),(26344,40),(25765,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25765,1)]
10	1	[(27861,100),(26450,30),(26344,40),(25765,1)]	0	0	900	0	0	[(27861,100),(26450,30),(26344,40),(25765,1)]
11	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	7	KHPD_Text11	[(27861,80),(26450,20),(26344,30),(25765,1)]
12	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
13	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
14	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
15	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
16	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
17	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
18	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
19	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
20	1	[(27861,80),(26450,20),(26344,30),(25765,1)]	0	0	570	0	0	[(27861,80),(26450,20),(26344,30),(25765,1)]
21	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	8	KHPD_Text21	[(27861,60),(26450,15),(26344,20),(25756,1)]
22	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
23	1	[(27861,60),(26450,15),(26344,20),(25756,1)]	0	0	340	0	0	[(27861,60),(26450,15),(26344,20),(25756,1)]
