exchangeIndex	levelRangeId	needExchangeCoin	rewardItems	rewardBindRMB	rewardMoney	rewardExchangeCoin	rewardPreview
兑换索引	等级段ID	需要兑换币数量	奖励物品	奖励魔晶	奖励金币	奖励纪念币	奖励预览
1	1	2	[(26450,5),(27518,1)]	0	0	4	[(26450,5),(27518,1),(28395,4)]
2	1	8	[(26450,10),(27519,1)]	0	0	12	[(26450,10),(27519,1),(28395,12)]
3	1	18	[(26450,20),(27520,1)]	0	0	20	[(26450,20),(27520,1),(28395,20)]
4	1	28	[(26450,30),(27521,1),(26638,1)]	0	0	0	[(26450,30),(27521,1),(26638,1)]
1	2	2	[(26042,1),(27518,1)]	0	0	4	[(26042,1),(27518,1),(28395,4)]
2	2	8	[(26042,2),(27519,1)]	0	0	12	[(26042,2),(27519,1),(28395,12)]
3	2	18	[(26042,4),(27520,1)]	0	0	20	[(26042,4),(27520,1),(28395,20)]
4	2	28	[(26042,6),(27521,1),(27035,1)]	0	0	0	[(26042,6),(27521,1),(27035,1)]
1	3	2	[(26934,5),(27518,1)]	0	0	4	[(26934,5),(27518,1),(28395,4)]
2	3	8	[(26934,10),(27519,1)]	0	0	12	[(26934,10),(27519,1),(28395,12)]
3	3	18	[(26934,20),(27520,1)]	0	0	20	[(26934,20),(27520,1),(28395,20)]
4	3	28	[(26934,30),(27521,1),(27035,1)]	0	0	0	[(26934,30),(27521,1),(27035,1)]
1	4	2	[(26677,5),(27621,1)]	0	0	4	[(26677,5),(27621,1),(28395,4)]
2	4	8	[(26677,10),(27622,1)]	0	0	12	[(26677,10),(27622,1),(28395,12)]
3	4	18	[(26677,20),(27623,1)]	0	0	20	[(26677,20),(27623,1),(28395,20)]
4	4	28	[(26677,30),(27624,1),(28396,1)]	0	0	0	[(26677,30),(27624,1),(28396,1)]
1	5	2	[(27042,5),(27621,1)]	0	0	4	[(27042,5),(27621,1),(28395,4)]
2	5	8	[(27042,10),(27622,1)]	0	0	12	[(27042,10),(27622,1),(28395,12)]
3	5	18	[(27042,20),(27623,1)]	0	0	20	[(27042,20),(27623,1),(28395,20)]
4	5	28	[(27042,30),(27624,1),(28396,1)]	0	0	0	[(27042,30),(27624,1),(28396,1)]
1	6	2	[(27042,5),(28035,1)]	0	0	4	[(27042,5),(28035,1),(28395,4)]
2	6	8	[(27042,10),(28030,1)]	0	0	12	[(27042,10),(28030,1),(28395,12)]
3	6	18	[(27042,20),(28031,1)]	0	0	20	[(27042,20),(28031,1),(28395,20)]
4	6	28	[(27042,30),(28032,1),(28397,1)]	0	0	0	[(27042,30),(28032,1),(28397,1)]
