type	rewardName	libaoID	showitem
类型	礼包名称	奖励ID 	客户端奖励展示
1	小组赛参与礼包	(27402,1)	[(25829,400),(27420,20),(26450,2),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]
2	天榜晋级礼包	(27403,1)	[(25829,600),(27420,24),(26450,3),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]
3	地榜晋级礼包	(27404,1)	[(25829,500),(27420,22),(26450,2),(27471,5),(26026,1),(26934,3),(26677,3),(27041,2),(27042,2)]
4	天榜冠军礼包	(27405,1)	[(25829,2700),(27420,80),(27471,80),(26450,15),(26026,4),(26934,27),(26677,27),(27041,10),(27042,10)]
5	天榜亚军礼包	(27406,1)	[(25829,2300),(27420,60),(27471,60),(26450,13),(26026,4),(26934,22),(26677,22),(27041,7),(27042,7)]
6	天榜4强礼包	(27407,1)	[(25829,2000),(27420,50),(27471,50),(26450,11),(26026,4),(26934,17),(26677,17),(27041,5),(27042,5)]
7	天榜8强礼包	(27408,1)	[(25829,1750),(27420,45),(27471,45),(26450,10),(26026,3),(26934,15),(26677,15),(27041,4),(27042,4)]
8	天榜16强礼包	(27409,1)	[(25829,1500),(27420,40),(27471,40),(26450,9),(26026,3),(26934,13),(26677,13),(27041,4),(27042,4)]
9	天榜32强礼包	(27410,1)	[(25829,1200),(27420,36),(27471,35),(26450,8),(26026,3),(26934,11),(26677,11),(27041,4),(27042,4)]
10	地榜冠军礼包	(27411,1)	[(25829,1000),(27420,30),(27471,30),(26450,7),(26026,2),(26934,9),(26677,9),(27041,3),(27042,3)]
11	地榜亚军礼包	(27412,1)	[(25829,900),(27420,28),(27471,25),(26450,6),(26026,2),(26934,7),(26677,7),(27041,3),(27042,3)]
12	地榜4强礼包	(27413,1)	[(25829,800),(27420,26),(27471,20),(26450,5),(26026,2),(26934,5),(26677,5),(27041,3),(27042,3)]
13	地榜8强礼包	(27414,1)	[(25829,700),(27420,24),(27471,15),(26450,4),(26026,2),(26934,4),(26677,4),(27041,2),(27042,2)]
14	地榜16强礼包	(27415,1)	[(25829,600),(27420,22),(27471,10),(26450,3),(26026,2),(26934,3),(26677,3),(27041,2),(27042,2)]
15	地榜32强礼包	(27416,1)	[(25829,500),(27420,20),(27471,5),(26450,2),(26026,2),(26934,2),(26677,2),(27041,2),(27042,2)]
