rewardType	rewardName	item	showitem
类型	礼包名称	奖励ID 	客户端奖励展示
1	初级·冠军全服奖励	(28934,1)	[(26026,3),(25600,50),(26344,50),(27471,20)]
2	初级·亚军全服奖励	(28935,1)	[(26026,2),(25600,40),(26344,40),(27471,15)]
3	初级·季军全服奖励	(28936,1)	[(26026,1),(25600,30),(26344,30),(27471,10)]
4	精锐·冠军全服奖励	(28931,1)	[(26227,3),(26144,50),(25837,50),(27471,20)]
5	精锐·亚军全服奖励	(28932,1)	[(26227,2),(26144,40),(25837,40),(27471,15)]
6	精锐·季军全服奖励	(28933,1)	[(26227,1),(26144,30),(25837,30),(27471,10)]
7	巅峰·冠军全服奖励	(28928,1)	[(26227,3),(26144,50),(25837,50),(27471,20)]
8	巅峰·亚军全服奖励	(28929,1)	[(26227,2),(26144,40),(25837,40),(27471,15)]
9	巅峰·季军全服奖励	(28930,1)	[(26227,1),(26144,30),(25837,30),(27471,10)]
