rewardIndex	needItemName	levelRangeId	needItem	rewardItem
奖励索引	钥匙名字	等级段ID	领取奖励所需道具	奖励道具
1	蓝色钥匙	1	(28719,3)	(28723,1)
1	蓝色钥匙	2	(28719,3)	(28723,1)
1	蓝色钥匙	3	(28719,3)	(28723,1)
1	蓝色钥匙	4	(28719,3)	(28723,1)
1	蓝色钥匙	5	(28719,3)	(28723,1)
2	黄色钥匙	1	(28720,3)	(27178,1)
2	黄色钥匙	2	(28720,3)	(27178,1)
2	黄色钥匙	3	(28720,3)	(27178,1)
2	黄色钥匙	4	(28720,3)	(27178,1)
2	黄色钥匙	5	(28720,3)	(27178,1)
3	红色钥匙	1	(28721,3)	(28722,1)
3	红色钥匙	2	(28721,3)	(28722,1)
3	红色钥匙	3	(28721,3)	(28722,1)
3	红色钥匙	4	(28721,3)	(28722,1)
3	红色钥匙	5	(28721,3)	(28722,1)
