rewardType	rewardLevel	levelRangeId	rewardItem
奖励类型	奖励级别	等级区段ID	奖励
1	1	1	(28050,1)
1	1	2	(28051,1)
1	1	3	(28052,1)
1	2	1	(28059,1)
1	2	2	(28060,1)
1	2	3	(28061,1)
1	3	1	(28068,1)
1	3	2	(28069,1)
1	3	3	(28070,1)
2	1	1	(28053,1)
2	1	2	(28054,1)
2	1	3	(28055,1)
2	2	1	(28062,1)
2	2	2	(28063,1)
2	2	3	(28064,1)
2	3	1	(28071,1)
2	3	2	(28072,1)
2	3	3	(28073,1)
3	1	1	(28056,1)
3	1	2	(28057,1)
3	1	3	(28058,1)
3	2	1	(28065,1)
3	2	2	(28066,1)
3	2	3	(28067,1)
3	3	1	(28074,1)
3	3	2	(28075,1)
3	3	3	(28076,1)
