activeID	activeType	needLevel	name	startDate	endDate	kaifuDay	startDays	circularDays
唯一编号	活动类型	需要等级	活动名称	活动开启日期（活动开启后不可删除。活动尚未开启或者结束后可删除，删除则不再开启这个活动。默认读表时间，维护重启服务器当天。）	此列已废（策划看而已）	开服天数区间(大于等于和小于等于)	每次开启持续天数	结束后等待开启天数
1	1	70	冲向云霄	(2015,11,27,0,0,0)		(10,99999)	7	9999
2	2	70	宠物灵树	(2015,11,6,0,0,0)		(12,99999)	7	9999
8	10	70	宠物大转盘	(2015,11,22,0,0,0)		(20,99999)	3	9999
10	3	50	神秘商店	(2015,11,21,0,0,0)		(6,99999)	2	9999
47	12	30	砸龙蛋	(2015,5,24,0,0,0)		(1,99999)	5	9999
48	13	80	勇闯十二宫	(2015,12,1,0,0,0)		(25,99999)	2	9999
50	15	60	英雄徽章商店	(2015,11,28,0,0,0)		(1,99999)	7	9999
51	16	35	天天秒杀	(2015,11,27,0,0,0)		(1,99999)	7	9999
52	17	60	深海寻宝	(2015,11,13,0,0,0)		(1,99999)	3	9999
7	4	45	狂欢充值	(2015,12,1,0,0,0)		(10,59)	1	9999
53	4	45	狂欢充值	(2015,12,1,0,0,0)		(60,119)	1	9999
54	4	45	狂欢充值	(2015,12,1,0,0,0)		(120,99999)	1	9999
9	11	45	一球成名	(2015,11,28,0,0,0)		(10,59)	1	9999
55	11	45	一球成名	(2015,11,28,0,0,0)		(60,119)	1	9999
56	11	45	一球成名	(2015,11,28,0,0,0)		(120,99999)	1	9999
49	14	45	黄金宝箱	(2015,11,23,0,0,0)		(10,59)	3	9999
57	14	45	黄金宝箱	(2015,11,23,0,0,0)		(60,119)	3	9999
58	14	45	黄金宝箱	(2015,11,23,0,0,0)		(120,99999)	3	9999
59	18	30	国庆活动-节日有礼 神石回赠	(2014,9,26,0,0,0)		(1,99999)	24	9999
60	19	30	国庆活动-击杀节日boss	(2014,9,29,0,0,0)	(2014,10,8,0,0,0)	(1,99999)	9	9999
61	61	30	国庆活动-天天挂机	(2014,9,29,0,0,0)	(2014,10,8,0,0,0)	(1,99999)	9	9999
62	62	30	国庆活动-节日登陆礼包	(2014,10,1,0,0,0)	(2014,10,20,0,0,0)	(1,99999)	19	9999
63	63	30	国庆活动-节日奖励兑换	(2014,9,29,0,0,0)	(2014,10,20,0,0,0)	(1,99999)	21	9999
64	64	30	万圣节活动	(2014,10,20,0,0,0)	(2014,11,1,0,0,0)	(1,99999)	12	9999
65	65	30	天马行空	(2015,11,25,0,0,0)		(1,99999)	3	9999
66	66	30	博饼活动	(2015,12,3,0,0,0)		(1,99999)	1	9999
67	67	30	双十一-祝福轮盘	(2014,11,7,0,0,0)	(2014,11,14,0,0,0)	(1,99999)	7	9999
68	68	30	双十一-秒杀汇	(2014,11,7,0,0,0)	(2014,11,14,0,0,0)	(1,99999)	7	9999
69	69	30	双十一-狂欢兑不停	(2014,11,7,0,0,0)	(2014,11,16,0,0,0)	(1,99999)	9	9999
70	70	70	宠物福田	(2015,11,29,0,0,0)		(91,99999)	3	9999
71	71	45	龙魂石碑	(2015,11,20,0,0,0)		(1,99999)	3	9999
72	72	75	众神秘宝	(2015,11,10,0,0,0)		(15,99999)	2	9999
73	73	30	感恩节—充值豪礼	(2014,11,21,0,0,0)	(2014,12,01,0,0,0)	(1,99999)	10	9999
74	74	30	感恩节—在线好礼	(2014,11,21,0,0,0)	(2014,11,28,0,0,0)	(1,99999)	7	9999
75	75	30	感恩节—感恩切	(2014,11,21,0,0,0)	(2014,11,28,0,0,0)	(1,99999)	7	9999
76	76	30	2015狂欢派对-幸运摩天轮	(2015,1,23,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999
77	77	30	2015狂欢派对-好礼在一起	(2015,1,23,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999
78	78	30	返利领不停	(2014,12,8,0,0,0)	(2014,12,13,0,0,0)	(1,99999)	5	9999
79	79	30	2015狂欢派对-好运币专场	(2015,1,23,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999
80	80	30	圣诞嘉年华-圣诞许愿树	(2014,12,19,0,0,0)	(2014,12,26,0,0,0)	(1,99999)	7	9999
