activeID	activeType	needLevel	name	startDate	endDate	kaifuDay	startDays	circularDays	startType
唯一编号	活动类型	需要等级	活动名称	活动开启日期（活动开启后不可删除。活动尚未开启或者结束后可删除，删除则不再开启这个活动。默认读表时间，维护重启服务器当天。）	此列已废（策划看而已）	开服天数区间(大于等于和小于等于)	每次开启持续天数	结束后等待开启天数	开启类型，0=即使活动开启当天不满足开服天数条件，跨天或重启后，若满足开服天数要求就开启；1=开启当天满足开服天数条件的才开启，跨天或重启后即使满足开服天数要求仍然不开启
1	1	70	冲向云霄	(2015,2,12,0,0,0)		(10,99999)	7	9999	0
2	2	70	宠物灵树	(2015,2,12,0,0,0)		(12,99999)	7	9999	0
8	10	70	宠物大转盘	(2015,2,12,0,0,0)		(20,99999)	3	9999	0
10	3	50	神秘商店	(2015,2,12,0,0,0)		(6,99999)	2	9999	0
47	12	30	砸龙蛋	(2015,2,12,0,0,0)		(1,99999)	5	9999	0
48	13	80	勇闯十二宫	(2015,2,12,0,0,0)		(25,99999)	2	9999	0
50	15	60	英雄徽章商店	(2015,2,12,0,0,0)		(1,99999)	6	9999	0
51	16	35	天天秒杀	(2015,2,12,0,0,0)		(1,99999)	7	9999	0
52	17	60	深海寻宝	(2015,2,12,0,0,0)		(1,99999)	3	9999	0
7	4	45	狂欢充值	(2015,2,12,0,0,0)		(10,59)	1	9999	0
53	4	45	狂欢充值	(2015,2,12,0,0,0)		(60,119)	1	9999	0
54	4	45	狂欢充值	(2015,2,12,0,0,0)		(120,99999)	1	9999	0
9	11	45	一球成名	(2015,2,12,0,0,0)		(10,59)	2	9999	0
55	11	45	一球成名	(2015,2,12,0,0,0)		(60,119)	2	9999	0
56	11	45	一球成名	(2015,2,12,0,0,0)		(120,99999)	2	9999	0
49	14	45	黄金宝箱	(2015,2,12,0,0,0)		(10,59)	2	9999	0
57	14	45	黄金宝箱	(2015,2,12,0,0,0)		(60,119)	2	9999	0
58	14	45	黄金宝箱	(2015,2,12,0,0,0)		(120,99999)	2	9999	0
59	18	30	国庆活动-节日有礼 神石回赠	(2015,2,12,0,0,0)		(1,99999)	24	9999	0
60	19	30	国庆活动-击杀节日boss	(2015,2,12,0,0,0)	(2014,10,8,0,0,0)	(1,99999)	9	9999	0
61	61	30	国庆活动-天天挂机	(2015,2,12,0,0,0)	(2014,10,8,0,0,0)	(1,99999)	9	9999	0
62	62	30	国庆活动-节日登陆礼包	(2015,2,12,0,0,0)	(2014,10,20,0,0,0)	(1,99999)	19	9999	0
63	63	30	国庆活动-节日奖励兑换	(2015,2,12,0,0,0)	(2014,10,20,0,0,0)	(1,99999)	21	9999	0
64	64	30	万圣节活动	(2015,2,12,0,0,0)	(2014,11,1,0,0,0)	(1,99999)	12	9999	0
65	65	30	天马行空	(2015,2,12,0,0,0)		(1,99999)	3	9999	0
66	66	30	博饼活动	(2015,2,12,0,0,0)		(1,99999)	1	9999	0
67	67	30	双十一-祝福轮盘	(2015,2,12,0,0,0)	(2014,11,14,0,0,0)	(1,99999)	7	9999	0
68	68	30	双十一-秒杀汇	(2015,2,12,0,0,0)	(2014,11,14,0,0,0)	(1,99999)	7	9999	0
69	69	30	双十一-狂欢兑不停	(2015,2,12,0,0,0)	(2014,11,16,0,0,0)	(1,99999)	9	9999	0
70	70	70	宠物福田	(2015,2,12,0,0,0)		(91,99999)	3	9999	0
71	71	45	龙魂石碑	(2015,2,12,0,0,0)		(1,99999)	3	9999	0
72	72	75	众神秘宝	(2015,2,12,0,0,0)		(15,99999)	2	9999	0
73	73	30	感恩节—充值豪礼	(2015,2,12,0,0,0)	(2014,12,01,0,0,0)	(1,99999)	10	9999	0
74	74	30	感恩节—在线好礼	(2015,2,12,0,0,0)	(2014,11,28,0,0,0)	(1,99999)	7	9999	0
75	75	30	感恩节—感恩切	(2015,2,12,0,0,0)	(2014,11,28,0,0,0)	(1,99999)	7	9999	0
76	76	30	2015狂欢派对-幸运摩天轮	(2015,2,12,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999	0
77	77	30	2015狂欢派对-好礼在一起	(2015,2,12,0,0,0)	(2015,1,28,0,0,0)	(1,99999)	5	9999	0
