onlineRewardtype	sec	rewardItems	serverItem	rewardmoney	rewardrmb	nextRewardtype	needhour	needmin	des
累计类型	时长(秒)	奖励物品ID（客户端用）	奖励物品ID（服务端用）	奖励的金币	奖励的魔晶	继续类型	每天共需要玩家在线/小时	每一个奖励需要/分钟	客户端显示描述
1	0	[(25829,10),(25828,10000),(25832,1)]	[(25832,1)]	10000	10	2	0	0	0分钟
2	60	[(25829,10),(25828,10000),(25832,1)]	[(25832,1)]	10000	10	3	1.66666666666667E-02	1	1分钟
3	240	[(25829,10),(25828,10000),(25832,1)]	[(25832,1)]	10000	10	4	6.66666666666667E-02	4	4分钟
4	300	[(25829,10),(25828,10000),(25832,1)]	[(25832,1)]	10000	10	5	8.33333333333333E-02	5	5分钟
5	300	[(25829,10),(25600,2),(35601,1)]	[(25600,2),(35601,1)]	0	10	6	8.33333333333333E-02	5	5分钟
6	300	[(25829,10),(25600,2),(35602,1)]	[(25600,2),(35602,1)]	0	10	7	8.33333333333333E-02	5	5分钟
7	600	[(25829,10),(25600,2),(35603,1)]	[(25600,2),(35603,1)]	0	10	8	.166666666666667	10	10分钟
8	600	[(25829,10),(25600,2),(35604,1)]	[(25600,2),(35604,1)]	0	10	9	.166666666666667	10	10分钟
9	1200	[(25829,10),(25600,2),(35605,1)]	[(25600,2),(35605,1)]	0	10	10	.333333333333333	20	20分钟
10	1800	[(25829,10),(25600,2),(35600,1)]	[(25600,2),(35600,1)]	0	10	-1	.5	30	30分钟
