buffId	coding	startTime	endTime	keepTime	maxhp	attackspeed	anger	attack_p	defense_p	attack_m	defense_m	crit	critpress	antibroken	notbroken	parry	puncture	damageupgrade	damagereduce	npcType
buffID	对应物品的coding	使用的时间范围	使用的时间范围	持续时间	生命	攻击速度	怒气	物攻	物防	法攻	法防	暴击	免暴	破防	免破	格挡	破挡	增伤	免伤	变身的npc类型
2501	26988	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	30001
2502	26989	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	100	0	0	0	0	0	0	0	0	0	0	30003
2503	26990	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	0	0	0	100	0	0	0	0	0	0	0	30005
2504	26991	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	100	0	0	100	0	0	0	0	0	0	0	0	30016
2505	26992	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	100	0	0	0	0	0	0	0	0	0	0	30018
2506	26993	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	0	0	0	0	100	0	0	0	0	0	0	30022
2507	26994	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	0	0	100	0	0	0	0	0	0	0	0	4016
2508	26995	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	100	0	100	0	0	0	0	0	0	0	0	4018
2509	26996	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	0	0	0	0	0	0	0	100	0	0	0	4023
2510	26997	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	4028
2511	26998	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	40005
2512	26999	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	100	0	0	0	100	0	0	0	0	0	0	5001
2513	27000	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	100	0	0	0	0	0	0	100	0	0	0	5002
2514	27001	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	300	0	0	0	0	0	0	0	0	0	0	0	100	0	0	5003
2515	27002	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	5004
2516	27003	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	5005
2517	27004	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	100	0	0	0	100	0	0	0	0	0	0	0	5006
2518	27005	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	100	0	100	0	0	0	0	0	0	5007
2519	27006	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	5008
2520	27007	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	100	0	0	0	0	100	0	0	0	0	0	0	5009
2521	27008	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	5010
2522	27009	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	100	0	0	0	0	0	0	0	100	0	0	0	5011
2523	27010	(2014,10,15,0,0,0)	(2024,12,3,0,0,0)	43200	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	5012
