rewardId	needCard	reward	IsBro
奖励ID	需要卡片	奖励	是否广播
1	[(26988,10),(26998,10),(27008,10)]	[(25600,20),(26044,1)]	1
2	[(26989,10),(26999,10),(27009,10)]	[(26676,3),(26267,1)]	1
3	[(26990,5),(27000,10),(27010,10)]	[(25837,15),(26044,1)]	1
4	[(26991,10),(27001,10),(27011,10)]	[(26042,3),(26267,1)]	1
5	[(26992,10),(27002,10),(27012,5)]	[(26144,10),(26044,1)]	1
6	[(26993,5),(27003,10),(27013,10)]	[(26343,15),(26044,1)]	1
7	[(26994,10),(27004,5),(27014,10)]	[(26342,15),(26044,1)]	1
8	[(26995,10),(27005,10),(27015,5)]	[(26302,15),(26044,1)]	1
9	[(26996,5),(27006,10),(27016,10)]	[(26479,10),(26044,1)]	1
10	[(26997,10),(27007,5),(27017,10)]	[(26677,10),(26044,1)]	1
11	[(27018,5),(27019,5),(27020,5)]	[(26224,1),(26227,1)]	1
12	[(27021,5),(27022,5),(27023,5)]	[(26224,1),(26227,1)]	1
13	[(27018,5),(27021,5),(27024,5)]	[(27035,1),(26227,1)]	1
14	[(27019,5),(27022,5),(27025,5)]	[(27035,1),(26227,1)]	1
