level	rewards1	rewards2
角色等级	抽奖配置(包含神石)	抽奖配置(不包含神石)
1	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
2	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
3	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
4	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
5	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
6	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
7	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
8	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
9	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
10	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
11	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
12	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
13	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
14	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
15	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
16	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
17	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
18	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
19	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
20	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
21	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
22	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
23	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
24	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
25	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
26	[(1,70),(4,697),(11,1670),(5,500),(2,28),(6,1500),(12,808),(7,700),(3,2),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]	[(4,697),(11,1670),(5,500),(6,1500),(12,808),(7,700),(8,1620),(13,200),(9,1400),(14,40),(10,610),(15,135),(16,20)]
