index	des	thing	thingPreview	type	isBroadcast
索引	备注	物品(code,cnt)或者神石cnt(百分比)	物品预览（客户端用）	类型1:道具2：命魂 3:天赋卡 4:神石	是否全服公告
1	25%奖池神石	25	(25995,1)	4	1
2	50%奖池神石	50	(28237,1)	4	1
3	100%奖池神石	100	(25996,1)	4	1
4	300魔晶	(28081,1)	(28081,1)	1	0
5	神王遗珠	(28216,1)	(28216,1)	1	0
6	坐骑培养石	(25600,20)	(25600,20)	1	0
7	坐骑培养石	(25600,50)	(25600,50)	1	0
8	坐骑进化石	(27566,2)	(27566,2)	1	0
9	姻缘石	(26344,20)	(26344,20)	1	0
10	姻缘石	(26344,50)	(26344,50)	1	0
11	四级宝石礼盒	(26026,1)	(26026,1)	1	0
12	五级宝石礼盒	(26224,1)	(26224,1)	1	0
13	六级宝石礼盒	(26225,1)	(26225,1)	1	0
14	九级宝石礼盒	(26929,1)	(26929,1)	1	1
15	黄色命魂礼盒	(26608,1)	(26608,1)	1	0
16	红色命魂礼盒1	(28253,1)	(28253,1)	1	1
101	25%奖池神石	25	(25995,1)	4	1
102	50%奖池神石	50	(28237,1)	4	1
103	100%奖池神石	100	(25996,1)	4	1
104	388魔晶	(28246,1)	(28246,1)	1	0
105	神王遗珠	(28216,1)	(28216,1)	1	0
106	随机宝石	(28250,1)	(28250,1)	1	0
107	随机符文	(28251,1)	(28251,1)	1	0
108	坐骑进化石	(27566,2)	(27566,2)	1	0
109	星灵水晶	(26934,10)	(26934,10)	1	0
110	龙灵*120000	(28248,1)	(28248,1)	1	0
111	羽翼培养石	(25837,20)	(25837,20)	1	0
112	宠物圣果	(26144,20)	(26144,20)	1	0
113	生命之源	(26925,8)	(26925,8)	1	0
114	生命结晶	(26924,8)	(26924,8)	1	0
115	羽灵精魄	(27167,1)	(27167,1)	1	0
116	红色命魂礼盒1	(28253,1)	(28253,1)	1	1
201	25%奖池神石	25	(25995,1)	4	1
202	50%奖池神石	50	(28237,1)	4	1
203	100%奖池神石	100	(25996,1)	4	1
204	488魔晶	(28247,1)	(28247,1)	1	0
205	神王遗珠	(28216,1)	(28216,1)	1	0
206	随机宝石	(28250,1)	(28250,1)	1	0
207	随机符文	(28251,1)	(28251,1)	1	0
208	随机雕纹	(28252,1)	(28252,1)	1	0
209	坐骑培养石	(25600,20)	(25600,20)	1	0
210	六级宝石礼盒	(26225,1)	(26225,1)	1	0
211	羽翼培养石	(25837,25)	(25837,25)	1	0
212	宠物圣果	(26144,25)	(26144,25)	1	0
213	一级魔石	(27709,1)	(27709,1)	1	0
214	圣器附魔石	(26298,5)	(26298,5)	1	0
215	紫色天赋卡礼包	(27492,1)	(27492,1)	1	1
216	红色命魂礼盒2	(28254,1)	(28254,1)	1	1
