minZDL	maxZDL	score
最小战斗力	最大战斗力	获得积分
0	49999	50
50000	999999	100
100000	199999	200
200000	299999	300
300000	399999	400
400000	499999	600
500000	549999	800
550000	649999	1000
650000	749999	1050
750000	849999	1100
850000	949999	1150
950000	999999	1200
1000000	1049999	1250
1050000	1199999	1300
1200000	1349999	1350
1350000	1499999	1400
1500000	1649999	1450
1650000	1799999	1500
1800000	1949999	1550
1950000	2099999	1600
2100000	2499999	1650
2500000	2999999	1650
3000000	3499999	1700
3500000	3999999	1750
4000000	4499999	1800
4500000	4999999	1850
5000000	5499999	1900
5500000	5999999	1950
6000000	99999999	2000
