zoneId	rank	levelRange	needScore	rewardItem	rewardReputation	rewardMoney	reward
区域ID	排名	等级区间	需要积分	奖励（服务器奖励）	奖励声望	奖励金币	奖励(客户端读的奖励)
1	1	(32,59)	0	[(28278,3200),(25671,100)]	20000	3000000	[(28278,3200),(25671,100),(26037,20000),(25828,3000000)]
1	2	(32,59)	0	[(28278,3000),(25671,80)]	16500	2400000	[(28278,3000),(25671,80),(26037,16500),(25828,2400000)]
1	3	(32,59)	0	[(28278,2800),(25671,70)]	13500	2100000	[(28278,2800),(25671,70),(26037,13500),(25828,2100000)]
1	4	(32,59)	0	[(28278,2600),(25671,60)]	12000	1800000	[(28278,2600),(25671,60),(26037,12000),(25828,1800000)]
1	5	(32,59)	0	[(28278,2400),(25671,50)]	10000	1500000	[(28278,2400),(25671,50),(26037,10000),(25828,1500000)]
1	6	(32,59)	0	[(28278,2400),(25671,50)]	10000	1500000	[(28278,2400),(25671,50),(26037,10000),(25828,1500000)]
1	7	(32,59)	0	[(28278,2200),(25671,40)]	8500	1200000	[(28278,2200),(25671,40),(26037,8500),(25828,1200000)]
1	8	(32,59)	0	[(28278,2200),(25671,40)]	8500	1200000	[(28278,2200),(25671,40),(26037,8500),(25828,1200000)]
1	9	(32,59)	0	[(28278,2200),(25671,40)]	8500	1200000	[(28278,2200),(25671,40),(26037,8500),(25828,1200000)]
1	10	(32,59)	0	[(28278,2200),(25671,40)]	8500	1200000	[(28278,2200),(25671,40),(26037,8500),(25828,1200000)]
1	11	(32,59)	0	[(28278,2000),(25671,30)]	7000	1000000	[(28278,2000),(25671,30),(26037,7000),(25828,1000000)]
1	12	(32,59)	0	[(28278,2000),(25671,30)]	7000	1000000	[(28278,2000),(25671,30),(26037,7000),(25828,1000000)]
1	13	(32,59)	0	[(28278,2000),(25671,30)]	7000	1000000	[(28278,2000),(25671,30),(26037,7000),(25828,1000000)]
1	14	(32,59)	0	[(28278,2000),(25671,30)]	7000	1000000	[(28278,2000),(25671,30),(26037,7000),(25828,1000000)]
1	15	(32,59)	0	[(28278,2000),(25671,30)]	7000	1000000	[(28278,2000),(25671,30),(26037,7000),(25828,1000000)]
