zoneId	index	levelRange	rankRange	rewardItem
区域ID	客户端专用的排序	等级区间	公会排名区间	道具奖励（客户端和服务器一样）
1	1	(32,39)	(1,1)	[(25666,100),(25681,200),(28277,1800),(26032,35),(28292,3)]
1	2	(32,39)	(2,2)	[(25666,80),(25681,160),(28277,1500),(26032,30),(28292,2)]
1	3	(32,39)	(3,3)	[(25666,70),(25681,140),(28277,1400),(26032,28),(28292,1)]
1	4	(32,39)	(4,4)	[(25666,60),(25681,120),(28277,1300),(26032,26),(28292,1)]
1	5	(32,39)	(5,6)	[(25666,50),(25681,100),(28277,1200),(26032,24),(28293,1)]
1	6	(32,39)	(7,10)	[(25666,40),(25681,80),(28277,1100),(26032,22),(28293,1)]
1	7	(32,39)	(11,20)	[(25666,35),(25681,70),(28277,1000),(26032,20),(28293,1)]
1	8	(32,39)	(21,30)	[(25666,30),(25681,60),(28277,900),(26032,18),(28294,1)]
1	9	(32,39)	(31,40)	[(25666,25),(25681,50),(28277,800),(26032,15),(28294,1)]
1	10	(32,39)	(41,50)	[(25666,20),(25681,40),(28277,700),(26032,12),(28294,1)]
1	11	(32,39)	(51,100)	[(25666,15),(25681,30),(28277,600),(26032,10),(28295,1)]
1	12	(32,39)	(101,101)	[(25666,10),(25681,20),(28277,500),(26032,8),(28295,1)]
1	1	(40,59)	(1,1)	[(25666,100),(25682,200),(28277,1800),(26032,35),(28292,3)]
1	2	(40,59)	(2,2)	[(25666,80),(25682,160),(28277,1500),(26032,30),(28292,2)]
1	3	(40,59)	(3,3)	[(25666,70),(25682,140),(28277,1400),(26032,28),(28292,1)]
1	4	(40,59)	(4,4)	[(25666,60),(25682,120),(28277,1300),(26032,26),(28292,1)]
1	5	(40,59)	(5,6)	[(25666,50),(25682,100),(28277,1200),(26032,24),(28293,1)]
1	6	(40,59)	(7,10)	[(25666,40),(25682,80),(28277,1100),(26032,22),(28293,1)]
1	7	(40,59)	(11,20)	[(25666,35),(25682,70),(28277,1000),(26032,20),(28293,1)]
1	8	(40,59)	(21,30)	[(25666,30),(25682,60),(28277,900),(26032,18),(28294,1)]
1	9	(40,59)	(31,40)	[(25666,25),(25682,50),(28277,800),(26032,15),(28294,1)]
1	10	(40,59)	(41,50)	[(25666,20),(25682,40),(28277,700),(26032,12),(28294,1)]
1	11	(40,59)	(51,100)	[(25666,15),(25682,30),(28277,600),(26032,10),(28295,1)]
1	12	(40,59)	(101,101)	[(25666,10),(25682,20),(28277,500),(26032,8),(28295,1)]
1	1	(60,79)	(1,1)	[(25667,100),(25683,200),(28277,1800),(26032,35),(28292,3)]
1	2	(60,79)	(2,2)	[(25667,80),(25683,160),(28277,1500),(26032,30),(28292,2)]
1	3	(60,79)	(3,3)	[(25667,70),(25683,140),(28277,1400),(26032,28),(28292,1)]
1	4	(60,79)	(4,4)	[(25667,60),(25683,120),(28277,1300),(26032,26),(28292,1)]
1	5	(60,79)	(5,6)	[(25667,50),(25683,100),(28277,1200),(26032,24),(28293,1)]
1	6	(60,79)	(7,10)	[(25667,40),(25683,80),(28277,1100),(26032,22),(28293,1)]
1	7	(60,79)	(11,20)	[(25667,35),(25683,70),(28277,1000),(26032,20),(28293,1)]
1	8	(60,79)	(21,30)	[(25667,30),(25683,60),(28277,900),(26032,18),(28294,1)]
1	9	(60,79)	(31,40)	[(25667,25),(25683,50),(28277,800),(26032,15),(28294,1)]
1	10	(60,79)	(41,50)	[(25667,20),(25683,40),(28277,700),(26032,12),(28294,1)]
1	11	(60,79)	(51,100)	[(25667,15),(25683,30),(28277,600),(26032,10),(28295,1)]
1	12	(60,79)	(101,101)	[(25667,10),(25683,20),(28277,500),(26032,8),(28295,1)]
1	1	(80,99)	(1,1)	[(25668,100),(25684,200),(28277,1800),(26032,35),(28292,3)]
1	2	(80,99)	(2,2)	[(25668,80),(25684,160),(28277,1500),(26032,30),(28292,2)]
1	3	(80,99)	(3,3)	[(25668,70),(25684,140),(28277,1400),(26032,28),(28292,1)]
1	4	(80,99)	(4,4)	[(25668,60),(25684,120),(28277,1300),(26032,26),(28292,1)]
1	5	(80,99)	(5,6)	[(25668,50),(25684,100),(28277,1200),(26032,24),(28293,1)]
1	6	(80,99)	(7,10)	[(25668,40),(25684,80),(28277,1100),(26032,22),(28293,1)]
1	7	(80,99)	(11,20)	[(25668,35),(25684,70),(28277,1000),(26032,20),(28293,1)]
1	8	(80,99)	(21,30)	[(25668,30),(25684,60),(28277,900),(26032,18),(28294,1)]
1	9	(80,99)	(31,40)	[(25668,25),(25684,50),(28277,800),(26032,15),(28294,1)]
1	10	(80,99)	(41,50)	[(25668,20),(25684,40),(28277,700),(26032,12),(28294,1)]
1	11	(80,99)	(51,100)	[(25668,15),(25684,30),(28277,600),(26032,10),(28295,1)]
1	12	(80,99)	(101,101)	[(25668,10),(25684,20),(28277,500),(26032,8),(28295,1)]
1	1	(100,119)	(1,1)	[(25669,100),(25685,200),(28277,1980),(26032,35),(28292,3)]
1	2	(100,119)	(2,2)	[(25669,80),(25685,160),(28277,1650),(26032,30),(28292,2)]
1	3	(100,119)	(3,3)	[(25669,70),(25685,140),(28277,1540),(26032,28),(28292,1)]
1	4	(100,119)	(4,4)	[(25669,60),(25685,120),(28277,1430),(26032,26),(28292,1)]
1	5	(100,119)	(5,6)	[(25669,50),(25685,100),(28277,1320),(26032,24),(28293,1)]
1	6	(100,119)	(7,10)	[(25669,40),(25685,80),(28277,1210),(26032,22),(28293,1)]
1	7	(100,119)	(11,20)	[(25669,35),(25685,70),(28277,1100),(26032,20),(28293,1)]
1	8	(100,119)	(21,30)	[(25669,30),(25685,60),(28277,990),(26032,18),(28294,1)]
1	9	(100,119)	(31,40)	[(25669,25),(25685,50),(28277,880),(26032,15),(28294,1)]
1	10	(100,119)	(41,50)	[(25669,20),(25685,40),(28277,770),(26032,12),(28294,1)]
1	11	(100,119)	(51,100)	[(25669,15),(25685,30),(28277,660),(26032,10),(28295,1)]
1	12	(100,119)	(101,101)	[(25669,10),(25685,20),(28277,550),(26032,8),(28295,1)]
1	1	(120,139)	(1,1)	[(25670,100),(25686,200),(28277,2160),(26032,35),(28292,3)]
1	2	(120,139)	(2,2)	[(25670,80),(25686,160),(28277,1800),(26032,30),(28292,2)]
1	3	(120,139)	(3,3)	[(25670,70),(25686,140),(28277,1680),(26032,28),(28292,1)]
1	4	(120,139)	(4,4)	[(25670,60),(25686,120),(28277,1560),(26032,26),(28292,1)]
1	5	(120,139)	(5,6)	[(25670,50),(25686,100),(28277,1440),(26032,24),(28293,1)]
1	6	(120,139)	(7,10)	[(25670,40),(25686,80),(28277,1320),(26032,22),(28293,1)]
1	7	(120,139)	(11,20)	[(25670,35),(25686,70),(28277,1200),(26032,20),(28293,1)]
1	8	(120,139)	(21,30)	[(25670,30),(25686,60),(28277,1080),(26032,18),(28294,1)]
1	9	(120,139)	(31,40)	[(25670,25),(25686,50),(28277,960),(26032,15),(28294,1)]
1	10	(120,139)	(41,50)	[(25670,20),(25686,40),(28277,840),(26032,12),(28294,1)]
1	11	(120,139)	(51,100)	[(25670,15),(25686,30),(28277,720),(26032,10),(28295,1)]
1	12	(120,139)	(101,101)	[(25670,10),(25686,20),(28277,600),(26032,8),(28295,1)]
1	1	(140,159)	(1,1)	[(27049,100),(26607,200),(28277,2340),(26032,35),(28292,3)]
1	2	(140,159)	(2,2)	[(27049,80),(26607,160),(28277,1950),(26032,30),(28292,2)]
1	3	(140,159)	(3,3)	[(27049,70),(26607,140),(28277,1820),(26032,28),(28292,1)]
1	4	(140,159)	(4,4)	[(27049,60),(26607,120),(28277,1690),(26032,26),(28292,1)]
1	5	(140,159)	(5,6)	[(27049,50),(26607,100),(28277,1560),(26032,24),(28293,1)]
1	6	(140,159)	(7,10)	[(27049,40),(26607,80),(28277,1430),(26032,22),(28293,1)]
1	7	(140,159)	(11,20)	[(27049,35),(26607,70),(28277,1300),(26032,20),(28293,1)]
