buffType	buffLevel	maxLevel	buffName	pctValue	absValue	des	key
buff类型	buff等级	最大buff等级	buff名称	万分比加成	绝对值加成	描述	客户端排序
1	0	20	0级攻击神力	0	0	攻击力提升0点	4
1	1	20	1级攻击神力	500	10000	攻击力提升5%，再额外增加10000点	4
1	2	20	2级攻击神力	1000	20000	攻击力提升10%，再额外增加20000点	4
1	3	20	3级攻击神力	1500	30000	攻击力提升15%，再额外增加30000点	4
1	4	20	4级攻击神力	2000	40000	攻击力提升20%，再额外增加40000点	4
1	5	20	5级攻击神力	2500	50000	攻击力提升25%，再额外增加50000点	4
1	6	20	6级攻击神力	3000	60000	攻击力提升30%，再额外增加60000点	4
1	7	20	7级攻击神力	3500	70000	攻击力提升35%，再额外增加70000点	4
1	8	20	8级攻击神力	4000	80000	攻击力提升40%，再额外增加80000点	4
1	9	20	9级攻击神力	4500	90000	攻击力提升45%，再额外增加90000点	4
1	10	20	10级攻击神力	5000	100000	攻击力提升50%，再额外增加100000点	4
1	11	20	11级攻击神力	5500	110000	攻击力提升55%，再额外增加110000点	4
1	12	20	12级攻击神力	6000	120000	攻击力提升60%，再额外增加120000点	4
1	13	20	13级攻击神力	6500	130000	攻击力提升65%，再额外增加130000点	4
1	14	20	14级攻击神力	7000	140000	攻击力提升70%，再额外增加140000点	4
1	15	20	15级攻击神力	7500	150000	攻击力提升75%，再额外增加150000点	4
1	16	20	16级攻击神力	8000	160000	攻击力提升80%，再额外增加160000点	4
1	17	20	17级攻击神力	8500	170000	攻击力提升85%，再额外增加170000点	4
1	18	20	18级攻击神力	9000	180000	攻击力提升90%，再额外增加180000点	4
1	19	20	19级攻击神力	9500	190000	攻击力提升95%，再额外增加190000点	4
1	20	20	20级攻击神力	10000	200000	攻击力提升100%，再额外增加200000点	4
2	0	20	0级生命神力	0	0	生命上限提升0点	5
2	1	20	1级生命神力	800	40000	生命上限提升8%，再额外增加40000点	5
2	2	20	2级生命神力	1600	80000	生命上限提升16%，再额外增加80000点	5
2	3	20	3级生命神力	2400	120000	生命上限提升24%，再额外增加120000点	5
2	4	20	4级生命神力	3200	160000	生命上限提升32%，再额外增加160000点	5
2	5	20	5级生命神力	4000	200000	生命上限提升40%，再额外增加200000点	5
2	6	20	6级生命神力	4800	240000	生命上限提升48%，再额外增加240000点	5
2	7	20	7级生命神力	5600	280000	生命上限提升56%，再额外增加280000点	5
2	8	20	8级生命神力	6400	320000	生命上限提升64%，再额外增加320000点	5
2	9	20	9级生命神力	7200	360000	生命上限提升72%，再额外增加360000点	5
2	10	20	10级生命神力	8000	400000	生命上限提升80%，再额外增加400000点	5
2	11	20	11级生命神力	8800	440000	生命上限提升88%，再额外增加440000点	5
2	12	20	12级生命神力	9600	480000	生命上限提升96%，再额外增加480000点	5
2	13	20	13级生命神力	10400	520000	生命上限提升104%，再额外增加520000点	5
2	14	20	14级生命神力	11200	560000	生命上限提升112%，再额外增加560000点	5
2	15	20	15级生命神力	12000	600000	生命上限提升120%，再额外增加600000点	5
2	16	20	16级生命神力	12800	640000	生命上限提升128%，再额外增加640000点	5
2	17	20	17级生命神力	13600	680000	生命上限提升136%，再额外增加680000点	5
2	18	20	18级生命神力	14400	720000	生命上限提升144%，再额外增加720000点	5
2	19	20	19级生命神力	15200	760000	生命上限提升152%，再额外增加760000点	5
