zoneId	rank	levelRange	needScore	rewardMoney	rewardItem	reward
区域ID	排名	等级区间	需要积分	奖励金币	服务器奖励道具	客户端奖励显示
1	1	(32,39)	1200	400000	[(28278,600)]	[(28278,600),(25828,400000)]
1	2	(32,39)	1200	380000	[(28278,580)]	[(28278,580),(25828,380000)]
1	3	(32,39)	1200	360000	[(28278,560)]	[(28278,560),(25828,360000)]
1	4	(32,39)	1200	340000	[(28278,540)]	[(28278,540),(25828,340000)]
1	5	(32,39)	1200	320000	[(28278,520)]	[(28278,520),(25828,320000)]
1	6	(32,39)	1200	300000	[(28278,500)]	[(28278,500),(25828,300000)]
1	7	(32,39)	1200	300000	[(28278,500)]	[(28278,500),(25828,300000)]
1	8	(32,39)	1200	300000	[(28278,500)]	[(28278,500),(25828,300000)]
1	9	(32,39)	1200	300000	[(28278,500)]	[(28278,500),(25828,300000)]
1	10	(32,39)	1200	300000	[(28278,500)]	[(28278,500),(25828,300000)]
1	1	(40,59)	1200	600000	[(28278,700)]	[(28278,700),(25828,600000)]
1	2	(40,59)	1200	560000	[(28278,680)]	[(28278,680),(25828,560000)]
1	3	(40,59)	1200	520000	[(28278,660)]	[(28278,660),(25828,520000)]
1	4	(40,59)	1200	480000	[(28278,640)]	[(28278,640),(25828,480000)]
1	5	(40,59)	1200	440000	[(28278,620)]	[(28278,620),(25828,440000)]
1	6	(40,59)	1200	400000	[(28278,600)]	[(28278,600),(25828,400000)]
1	7	(40,59)	1200	400000	[(28278,600)]	[(28278,600),(25828,400000)]
1	8	(40,59)	1200	400000	[(28278,600)]	[(28278,600),(25828,400000)]
1	9	(40,59)	1200	400000	[(28278,600)]	[(28278,600),(25828,400000)]
1	10	(40,59)	1200	400000	[(28278,600)]	[(28278,600),(25828,400000)]
1	1	(60,79)	1200	800000	[(28278,800)]	[(28278,800),(25828,800000)]
1	2	(60,79)	1200	760000	[(28278,780)]	[(28278,780),(25828,760000)]
1	3	(60,79)	1200	720000	[(28278,760)]	[(28278,760),(25828,720000)]
1	4	(60,79)	1200	680000	[(28278,740)]	[(28278,740),(25828,680000)]
1	5	(60,79)	1200	640000	[(28278,720)]	[(28278,720),(25828,640000)]
1	6	(60,79)	1200	600000	[(28278,700)]	[(28278,700),(25828,600000)]
1	7	(60,79)	1200	600000	[(28278,700)]	[(28278,700),(25828,600000)]
1	8	(60,79)	1200	600000	[(28278,700)]	[(28278,700),(25828,600000)]
1	9	(60,79)	1200	600000	[(28278,700)]	[(28278,700),(25828,600000)]
1	10	(60,79)	1200	600000	[(28278,700)]	[(28278,700),(25828,600000)]
1	1	(80,99)	1200	1000000	[(28278,900)]	[(28278,900),(25828,1000000)]
1	2	(80,99)	1200	960000	[(28278,880)]	[(28278,880),(25828,960000)]
1	3	(80,99)	1200	920000	[(28278,860)]	[(28278,860),(25828,920000)]
1	4	(80,99)	1200	880000	[(28278,840)]	[(28278,840),(25828,880000)]
1	5	(80,99)	1200	840000	[(28278,820)]	[(28278,820),(25828,840000)]
1	6	(80,99)	1200	800000	[(28278,800)]	[(28278,800),(25828,800000)]
1	7	(80,99)	1200	800000	[(28278,800)]	[(28278,800),(25828,800000)]
1	8	(80,99)	1200	800000	[(28278,800)]	[(28278,800),(25828,800000)]
1	9	(80,99)	1200	800000	[(28278,800)]	[(28278,800),(25828,800000)]
1	10	(80,99)	1200	800000	[(28278,800)]	[(28278,800),(25828,800000)]
1	1	(100,119)	1200	1200000	[(28278,1000)]	[(28278,1000),(25828,1200000)]
1	2	(100,119)	1200	1160000	[(28278,980)]	[(28278,980),(25828,1160000)]
1	3	(100,119)	1200	1120000	[(28278,960)]	[(28278,960),(25828,1120000)]
1	4	(100,119)	1200	1080000	[(28278,940)]	[(28278,940),(25828,1080000)]
1	5	(100,119)	1200	1040000	[(28278,920)]	[(28278,920),(25828,1040000)]
1	6	(100,119)	1200	1000000	[(28278,900)]	[(28278,900),(25828,1000000)]
1	7	(100,119)	1200	1000000	[(28278,900)]	[(28278,900),(25828,1000000)]
1	8	(100,119)	1200	1000000	[(28278,900)]	[(28278,900),(25828,1000000)]
1	9	(100,119)	1200	1000000	[(28278,900)]	[(28278,900),(25828,1000000)]
1	10	(100,119)	1200	1000000	[(28278,900)]	[(28278,900),(25828,1000000)]
1	1	(120,139)	1200	1400000	[(28278,1100)]	[(28278,1100),(25828,1400000)]
1	2	(120,139)	1200	1360000	[(28278,1080)]	[(28278,1080),(25828,1360000)]
1	3	(120,139)	1200	1320000	[(28278,1060)]	[(28278,1060),(25828,1320000)]
1	4	(120,139)	1200	1280000	[(28278,1040)]	[(28278,1040),(25828,1280000)]
1	5	(120,139)	1200	1240000	[(28278,1020)]	[(28278,1020),(25828,1240000)]
1	6	(120,139)	1200	1200000	[(28278,1000)]	[(28278,1000),(25828,1200000)]
1	7	(120,139)	1200	1200000	[(28278,1000)]	[(28278,1000),(25828,1200000)]
1	8	(120,139)	1200	1200000	[(28278,1000)]	[(28278,1000),(25828,1200000)]
1	9	(120,139)	1200	1200000	[(28278,1000)]	[(28278,1000),(25828,1200000)]
1	10	(120,139)	1200	1200000	[(28278,1000)]	[(28278,1000),(25828,1200000)]
1	1	(140,159)	1200	1600000	[(28278,1200)]	[(28278,1200),(25828,1600000)]
1	2	(140,159)	1200	1560000	[(28278,1180)]	[(28278,1180),(25828,1560000)]
1	3	(140,159)	1200	1520000	[(28278,1160)]	[(28278,1160),(25828,1520000)]
1	4	(140,159)	1200	1480000	[(28278,1140)]	[(28278,1140),(25828,1480000)]
1	5	(140,159)	1200	1440000	[(28278,1120)]	[(28278,1120),(25828,1440000)]
1	6	(140,159)	1200	1400000	[(28278,1100)]	[(28278,1100),(25828,1400000)]
1	7	(140,159)	1200	1400000	[(28278,1100)]	[(28278,1100),(25828,1400000)]
1	8	(140,159)	1200	1400000	[(28278,1100)]	[(28278,1100),(25828,1400000)]
1	9	(140,159)	1200	1400000	[(28278,1100)]	[(28278,1100),(25828,1400000)]
1	10	(140,159)	1200	1400000	[(28278,1100)]	[(28278,1100),(25828,1400000)]
1	1	(160,179)	1200	1800000	[(28278,1300)]	[(28278,1300),(25828,1800000)]
1	2	(160,179)	1200	1780000	[(28278,1280)]	[(28278,1280),(25828,1780000)]
1	3	(160,179)	1200	1720000	[(28278,1260)]	[(28278,1260),(25828,1720000)]
1	4	(160,179)	1200	1680000	[(28278,1240)]	[(28278,1240),(25828,1680000)]
1	5	(160,179)	1200	1640000	[(28278,1220)]	[(28278,1220),(25828,1640000)]
