dayIndex	rewardIndex	levelRangeId	rewardItems	rewardBindRMB	rewardMoney	rewardPreview	totalRewardItems
天数索引	奖励索引	等级段ID	奖励物品	奖励魔晶	奖励金币	奖励预览	总奖励预览
1	1	1	[(28375,100),(27939,3),(25600,5),(26344,5)]	200	0	[(25829,200),(28375,100),(27939,3),(25600,5),(26344,5)]	[(25829,700),(28375,350),(27939,3),(25600,17),(26344,17)]
1	2	1	[(28375,250),(27939,5),(25600,10),(26344,10)]	500	0	[(25829,500),(28375,250),(27939,5),(25600,10),(26344,10)]	[(25829,1600),(28375,800),(27939,5),(25600,40),(26344,40)]
1	3	1	[(28375,600),(27939,10),(25600,30),(26344,30)]	1200	0	[(25829,1200),(28375,600),(27939,10),(25600,30),(26344,30)]	[(25829,3600),(28375,1800),(27939,10),(25600,90),(26344,90)]
1	4	1	[(28375,1600),(27939,25),(25600,50),(26344,50)]	3200	0	[(25829,3200),(28375,1600),(27939,25),(25600,50),(26344,50)]	[(25829,10000),(28375,5000),(27939,25),(25600,150),(26344,150)]
1	5	1	[(28375,2500),(27939,40),(26638,1),(25600,50),(26344,50)]	5000	0	[(25829,5000),(28375,2500),(27939,40),(26638,1),(25600,50),(26344,50)]	[(25829,16000),(28375,8000),(27939,40),(26638,1),(25600,150),(26344,150)]
1	6	1	[(28375,3000),(27939,50),(26638,1),(25600,75),(26344,75)]	6000	0	[(25829,6000),(28375,3000),(27939,50),(26638,1),(25600,75),(26344,75)]	[(25829,20000),(28375,10000),(27939,50),(26638,1),(25600,250),(26344,250)]
1	7	1	[(28375,10000),(27939,50),(26643,1),(25600,250),(26344,250)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(26643,1),(25600,250),(26344,250)]	[(25829,60000),(28375,30000),(27939,150),(26643,2),(25600,800),(26344,800)]
1	8	1	[(28375,16000),(27939,75),(26643,1),(25600,600),(26344,600)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(26643,1),(25600,600),(26344,600)]	[(25829,100000),(28375,50000),(27939,250),(26643,2),(25600,1800),(26344,1800)]
1	9	1	[(28375,25000),(27939,120),(26643,1),(25600,900),(26344,900)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(26643,1),(25600,900),(26344,900)]	[(25829,160000),(28375,80000),(27939,400),(26643,3),(25600,2950),(26344,2950)]
1	10	1	[(28375,30000),(27939,150),(26643,1),(25600,1200),(26344,1200)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(26643,1),(25600,1200),(26344,1200)]	[(25829,200000),(28375,100000),(27939,500),(26643,3),(25600,3950),(26344,3950)]
1	11	1	[(28375,40000),(27939,200),(26644,1),(25600,1500),(26344,1500)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(26644,1),(25600,1500),(26344,1500)]	[(25829,240000),(28375,120000),(27939,600),(26644,3),(25600,4650),(26344,4650)]
1	12	1	[(28375,50000),(27939,250),(26644,1),(25600,2000),(26344,2000)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(26644,1),(25600,2000),(26344,2000)]	[(25829,300000),(28375,150000),(27939,750),(26644,3),(25600,6150),(26344,6150)]
1	13	1	[(28375,60000),(27939,300),(26644,2),(25600,2400),(26344,2400)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(26644,2),(25600,2400),(26344,2400)]	[(25829,360000),(28375,180000),(27939,900),(26644,4),(25600,7200),(26344,7200)]
1	14	1	[(28375,60000),(27939,325),(26644,2),(25600,2500),(26344,2500)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(26644,2),(25600,2500),(26344,2500)]	[(25829,400000),(28375,200000),(27939,1000),(26644,5),(25600,7750),(26344,7750)]
1	15	1	[(28375,160000),(27939,750),(26644,3),(25600,6500),(26344,6500)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(26644,3),(25600,6500),(26344,6500)]	[(25829,1000000),(28375,500000),(27939,2500),(26644,9),(25600,20000),(26344,20000)]
1	1	2	[(28375,100),(27939,3),(26936,15),(26934,8)]	200	0	[(25829,200),(28375,100),(27939,3),(26936,15),(26934,8)]	[(25829,700),(28375,350),(27939,3),(26936,15),(26934,8)]
1	2	2	[(28375,250),(27939,5),(26936,40),(26934,20)]	500	0	[(25829,500),(28375,250),(27939,5),(26936,40),(26934,20)]	[(25829,1600),(28375,800),(27939,5),(26936,40),(26934,20)]
1	3	2	[(28375,600),(27939,10),(26936,90),(26934,45)]	1200	0	[(25829,1200),(28375,600),(27939,10),(26936,90),(26934,45)]	[(25829,3600),(28375,1800),(27939,10),(26936,90),(26934,45)]
1	4	2	[(28375,1600),(27939,25),(26936,100),(26934,45)]	3200	0	[(25829,3200),(28375,1600),(27939,25),(26936,100),(26934,45)]	[(25829,10000),(28375,5000),(27939,25),(26936,250),(26934,125)]
1	5	2	[(28375,2500),(27939,40),(26608,1),(26936,100),(26934,45)]	5000	0	[(25829,5000),(28375,2500),(27939,40),(26608,1),(26936,100),(26934,45)]	[(25829,16000),(28375,8000),(27939,40),(26608,1),(26936,300),(26934,125)]
1	6	2	[(28375,3000),(27939,50),(26608,1),(26936,120),(26934,50)]	6000	0	[(25829,6000),(28375,3000),(27939,50),(26608,1),(26936,120),(26934,50)]	[(25829,20000),(28375,10000),(27939,50),(26608,1),(26936,400),(26934,170)]
1	7	2	[(28375,10000),(27939,50),(28253,1),(26936,400),(26934,200)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(28253,1),(26936,400),(26934,200)]	[(25829,60000),(28375,30000),(27939,150),(28253,1),(26936,1200),(26934,670)]
1	8	2	[(28375,16000),(27939,75),(28253,1),(26936,700),(26934,300)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(28253,1),(26936,700),(26934,300)]	[(25829,100000),(28375,50000),(27939,250),(28253,1),(26936,2200),(26934,1090)]
1	9	2	[(28375,25000),(27939,120),(28253,1),(26936,1100),(26934,500)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(28253,1),(26936,1100),(26934,500)]	[(25829,160000),(28375,80000),(27939,400),(28253,2),(26936,3400),(26934,1500)]
1	10	2	[(28375,30000),(27939,150),(28253,1),(26936,1400),(26934,500)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(28253,1),(26936,1400),(26934,500)]	[(25829,200000),(28375,100000),(27939,500),(28253,2),(26936,4400),(26934,1600)]
1	11	2	[(28375,40000),(27939,200),(28254,1),(26936,1700),(26934,700)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(28254,1),(26936,1700),(26934,700)]	[(25829,240000),(28375,120000),(27939,600),(28254,2),(26936,5200),(26934,2100)]
1	12	2	[(28375,50000),(27939,250),(28254,1),(26936,2100),(26934,900)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(28254,1),(26936,2100),(26934,900)]	[(25829,300000),(28375,150000),(27939,750),(28254,3),(26936,6300),(26934,2850)]
1	13	2	[(28375,60000),(27939,300),(28254,2),(26936,2400),(26934,1000)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(28254,2),(26936,2400),(26934,1000)]	[(25829,360000),(28375,180000),(27939,900),(28254,4),(26936,7400),(26934,3150)]
1	14	2	[(28375,60000),(27939,325),(28254,2),(26936,2500),(26934,1200)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(28254,2),(26936,2500),(26934,1200)]	[(25829,400000),(28375,200000),(27939,1000),(28254,5),(26936,8000),(26934,3650)]
1	15	2	[(28375,160000),(27939,750),(28254,3),(26936,7000),(26934,3000)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(28254,3),(26936,7000),(26934,3000)]	[(25829,1000000),(28375,500000),(27939,2500),(28254,8),(26936,21000),(26934,10000)]
1	1	3	[(28375,100),(27939,3),(26677,8),(26934,8)]	200	0	[(25829,200),(28375,100),(27939,3),(26677,8),(26934,8)]	[(25829,700),(28375,350),(27939,3),(26677,8),(26934,8)]
1	2	3	[(28375,250),(27939,5),(26677,20),(26934,20)]	500	0	[(25829,500),(28375,250),(27939,5),(26677,20),(26934,20)]	[(25829,1600),(28375,800),(27939,5),(26677,20),(26934,20)]
1	3	3	[(28375,600),(27939,10),(26677,45),(26934,45)]	1200	0	[(25829,1200),(28375,600),(27939,10),(26677,45),(26934,45)]	[(25829,3600),(28375,1800),(27939,10),(26677,45),(26934,45)]
1	4	3	[(28375,1600),(27939,25),(26677,45),(26934,45)]	3200	0	[(25829,3200),(28375,1600),(27939,25),(26677,45),(26934,45)]	[(25829,10000),(28375,5000),(27939,25),(26677,125),(26934,125)]
1	5	3	[(28375,2500),(27939,40),(27492,1),(26677,45),(26934,45)]	5000	0	[(25829,5000),(28375,2500),(27939,40),(27492,1),(26677,45),(26934,45)]	[(25829,16000),(28375,8000),(27939,40),(27492,1),(26677,125),(26934,125)]
1	6	3	[(28375,3000),(27939,50),(27492,1),(26677,50),(26934,50)]	6000	0	[(25829,6000),(28375,3000),(27939,50),(27492,1),(26677,50),(26934,50)]	[(25829,20000),(28375,10000),(27939,50),(27492,1),(26677,170),(26934,170)]
1	7	3	[(28375,10000),(27939,50),(27492,1),(26677,200),(26934,200)]	20000	0	[(25829,20000),(28375,10000),(27939,50),(27492,1),(26677,200),(26934,200)]	[(25829,60000),(28375,30000),(27939,150),(27492,1),(26677,670),(26934,670)]
1	8	3	[(28375,16000),(27939,75),(27492,1),(26677,300),(26934,300)]	32000	0	[(25829,32000),(28375,16000),(27939,75),(27492,1),(26677,300),(26934,300)]	[(25829,100000),(28375,50000),(27939,250),(27492,2),(26677,1090),(26934,1090)]
1	9	3	[(28375,25000),(27939,120),(27492,1),(26677,500),(26934,500)]	50000	0	[(25829,50000),(28375,25000),(27939,120),(27492,1),(26677,500),(26934,500)]	[(25829,160000),(28375,80000),(27939,400),(27492,2),(26677,1500),(26934,1500)]
1	10	3	[(28375,30000),(27939,150),(27493,1),(26677,500),(26934,500)]	60000	0	[(25829,60000),(28375,30000),(27939,150),(27493,1),(26677,500),(26934,500)]	[(25829,200000),(28375,100000),(27939,500),(27493,2),(26677,1600),(26934,1600)]
1	11	3	[(28375,40000),(27939,200),(27493,1),(26677,700),(26934,700)]	80000	0	[(25829,80000),(28375,40000),(27939,200),(27493,1),(26677,700),(26934,700)]	[(25829,240000),(28375,120000),(27939,600),(27493,2),(26677,2100),(26934,2100)]
1	12	3	[(28375,50000),(27939,250),(27493,1),(26677,900),(26934,900)]	100000	0	[(25829,100000),(28375,50000),(27939,250),(27493,1),(26677,900),(26934,900)]	[(25829,300000),(28375,150000),(27939,750),(27493,2),(26677,2850),(26934,2850)]
1	13	3	[(28375,60000),(27939,300),(27493,1),(26677,1000),(26934,1000)]	120000	0	[(25829,120000),(28375,60000),(27939,300),(27493,1),(26677,1000),(26934,1000)]	[(25829,360000),(28375,180000),(27939,900),(27493,3),(26677,3150),(26934,3150)]
1	14	3	[(28375,60000),(27939,325),(27493,2),(26677,1200),(26934,1200)]	120000	0	[(25829,120000),(28375,60000),(27939,325),(27493,2),(26677,1200),(26934,1200)]	[(25829,400000),(28375,200000),(27939,1000),(27493,4),(26677,3650),(26934,3650)]
1	15	3	[(28375,160000),(27939,750),(27493,2),(26677,3000),(26934,3000)]	320000	0	[(25829,320000),(28375,160000),(27939,750),(27493,2),(26677,3000),(26934,3000)]	[(25829,1000000),(28375,500000),(27939,2500),(27493,5),(26677,10000),(26934,10000)]
1	1	4	[(28375,100),(27939,3),(27042,5),(27570,15)]	200	0	[(25829,200),(28375,100),(27939,3),(27042,5),(27570,15)]	[(25829,700),(28375,350),(27939,3),(27042,5),(27570,15)]
1	2	4	[(28375,250),(27939,5),(27042,12),(27570,40)]	500	0	[(25829,500),(28375,250),(27939,5),(27042,12),(27570,40)]	[(25829,1600),(28375,800),(27939,5),(27042,12),(27570,40)]
1	3	4	[(28375,600),(27939,10),(27042,15),(27570,40)]	1200	0	[(25829,1200),(28375,600),(27939,10),(27042,15),(27570,40)]	[(25829,3600),(28375,1800),(27939,10),(27042,30),(27570,90)]
1	4	4	[(28375,1600),(27939,25),(27042,25),(27570,80)]	3200	0	[(25829,3200),(28375,1600),(27939,25),(27042,25),(27570,80)]	[(25829,10000),(28375,5000),(27939,25),(27042,80),(27570,240)]
1	5	4	[(28375,2500),(27939,40),(27492,1),(27042,25),(27570,80)]	5000	0	[(25829,5000),(28375,2500),(27939,40),(27492,1),(27042,25),(27570,80)]	[(25829,16000),(28375,8000),(27939,40),(27492,1),(27042,80),(27570,240)]
