pf_harvest_type	pf_harvest_rate	pf_harvest_items
类型	概率	物品
1	5000	[(25641,5),(26144,30)]
2	2400	[(25641,5),(26144,35)]
3	1200	[(25641,5),(26144,40)]
4	600	[(25641,5),(26144,45)]
5	300	[(25641,5),(26144,50)]
6	150	[(25641,5),(26144,55)]
7	100	[(25641,5),(26144,60)]
8	80	[(25641,5),(26144,65)]
9	50	[(25641,5),(26144,70)]
10	40	[(25641,5),(26144,75)]
11	30	[(25641,5),(26144,80)]
12	20	[(25641,5),(26144,85)]
13	15	[(25641,5),(26144,90)]
14	10	[(25641,5),(26144,95)]
15	5	[(25641,5),(26144,100)]
