goodId	item	des	minDiscount	maxDiscount	minLevel
商品ID	物品(coding,cnt)	备注	最低折扣	最高折扣	最低显示等级
64	(26458,1)	射手座女神（紫）	3	3	80
65	(26459,1)	射手座女神（橙）	3	3	80
66	(26481,1)	狮子座女神（紫）	3	3	80
67	(26438,1)	白羊座女神（紫）	3	3	80
68	(26439,1)	白羊座女神（橙）	3	3	80
31	(28253,1)	红色命魂礼盒	6	6	40
7	(26923,1)	黄金白马	7	7	30
8	(26972,1)	圣魔飞马	8	8	30
1	(28388,1)	页游节折扣礼包	5	5	30
6	(26644,1)	坐骑升星精华（大）	5	5	30
5	(26643,1)	坐骑升星精华（中）	5	5	30
4	(26638,1)	坐骑升星精华（小）	5	5	30
63	(27939,5)	神造石	5	5	80
81	(28376,1)	魔灵礼包	6	6	120
58	(28353,1)	宠物之灵	6	6	70
42	(25948,1)	九级英勇符文	7	7	60
43	(25947,1)	九级公正符文	7	7	60
44	(25950,1)	九级信仰符文	7	7	60
45	(25952,1)	九级命运符文	7	7	60
46	(25954,1)	九级奉献符文	7	7	60
47	(25957,1)	九级牺牲符文	7	7	60
17	(25792,1)	九级生命宝石	7	7	30
18	(25793,1)	九级物攻宝石	7	7	30
33	(25799,1)	九级破挡宝石	7	7	60
34	(25798,1)	九级免暴宝石	7	7	60
