goodId	item	limitCnt	originalUnbindRMB	needUnbindRMB	RMBType	isLowestPrice	discountFlag
商品ID	物品(coding,cnt)	限购个数(0为不限购)	原价	现价（需要神石）	神石类型(1-充值神石 0-充值奖励神石均可)	是否最低价	折扣标签
1	(28388,1)	10	200	100	1	0	SDJNH_5z
2	(26450,20)	0	400	200	1	0	SDJNH_5z
3	(26450,5)	0	100	55	1	0	SDJNH_6z
4	(26638,1)	3	5400	2500	1	0	SDJNH_5z
5	(26643,1)	2	7500	3600	1	0	SDJNH_5z
6	(26644,1)	1	9800	4800	1	0	SDJNH_5z
7	(26923,1)	1	3998	2888	1	0	SDJNH_7z
8	(26972,1)	1	4998	3888	1	0	SDJNH_8z
9	(25600,100)	0	1000	400	0	0	SDJNH_4z
10	(25600,20)	0	200	88	0	0	SDJNH_4z
11	(26344,100)	0	1000	400	0	0	SDJNH_4z
12	(26344,20)	0	200	88	0	0	SDJNH_4z
13	(25656,1)	0	250	50	0	0	SDJNH_2z
14	(26033,1)	0	30	6	0	0	SDJNH_2z
15	(26026,1)	0	120	60	0	0	SDJNH_5z
16	(26226,1)	0	960	488	0	0	SDJNH_5z
17	(25792,1)	3	3840	2588	0	0	SDJNH_7z
18	(25793,1)	3	3840	2588	0	0	SDJNH_7z
19	(25794,1)	3	3840	2588	0	0	SDJNH_7z
20	(25795,1)	5	3072	1888	0	0	SDJNH_6z
21	(25796,1)	5	3072	1888	0	0	SDJNH_6z
22	(25657,1)	0	250	50	0	0	SDJNH_2z
23	(37027,1)	1	1248	624	1	0	SDJNH_5z
24	(37028,1)	1	1248	624	1	0	SDJNH_5z
25	(37029,1)	1	998	498	1	0	SDJNH_5z
26	(27566,20)	0	1000	720	0	0	SDJNH_7z
27	(27566,5)	0	250	200	0	0	SDJNH_8z
28	(26042,5)	0	1000	400	0	0	SDJNH_4z
29	(26042,1)	0	200	100	0	0	SDJNH_5z
30	(26608,1)	8	2000	1200	0	0	SDJNH_6z
31	(28253,1)	2	6000	3888	1	0	SDJNH_6z
32	(25658,1)	0	250	50	0	0	SDJNH_2z
33	(25799,1)	3	3840	2588	0	0	SDJNH_7z
34	(25798,1)	3	3840	2588	0	0	SDJNH_7z
35	(37014,1)	1	1000	398	1	0	SDJNH_4z
36	(37012,1)	1	1000	398	1	0	SDJNH_4z
37	(26925,10)	0	250	180	0	0	SDJNH_7z
38	(26924,10)	0	250	180	0	0	SDJNH_7z
39	(26119,1)	0	30	9	0	0	SDJNH_3z
40	(26227,1)	0	120	72	0	0	SDJNH_6z
41	(26230,1)	0	960	540	0	0	SDJNH_6z
42	(25948,1)	3	3840	2688	0	0	SDJNH_7z
43	(25947,1)	3	3840	2688	0	0	SDJNH_7z
44	(25950,1)	3	3840	2688	0	0	SDJNH_7z
45	(25952,1)	3	3840	2688	0	0	SDJNH_7z
46	(25954,1)	3	3840	2688	0	0	SDJNH_7z
47	(25957,1)	3	3840	2688	0	0	SDJNH_7z
48	(26479,10)	0	150	100	0	0	SDJNH_7z
49	(26933,10)	0	200	120	0	0	SDJNH_6z
50	(26934,10)	0	200	150	0	0	SDJNH_8z
51	(26934,50)	0	1000	700	0	0	SDJNH_7z
52	(25837,100)	0	1000	560	0	0	SDJNH_6z
53	(25837,10)	0	100	60	0	0	SDJNH_6z
54	(27167,5)	0	500	400	0	0	SDJNH_8z
55	(26676,1)	0	298	234	0	0	SDJNH_8z
56	(26144,100)	0	1000	560	0	0	SDJNH_6z
57	(26144,10)	0	100	60	0	0	SDJNH_6z
58	(28353,1)	5	1000	600	1	0	SDJNH_6z
59	(27709,1)	0	500	300	0	0	SDJNH_6z
60	(27710,1)	0	1500	900	0	0	SDJNH_6z
61	(27712,1)	0	4500	2588	0	0	SDJNH_6z
62	(25659,1)	0	250	50	0	0	SDJNH_2z
63	(27939,5)	3	1000	500	1	0	SDJNH_5z
64	(26458,1)	3	5888	1998	1	0	SDJNH_3z
65	(26459,1)	1	25888	8888	1	0	SDJNH_3z
66	(26481,1)	3	5888	1998	1	0	SDJNH_3z
67	(26438,1)	2	5888	1998	1	0	SDJNH_3z
68	(26439,1)	1	25888	8888	1	0	SDJNH_3z
69	(26298,5)	0	250	200	0	0	SDJNH_8z
70	(28034,1)	0	50	24	0	0	SDJNH_5z
71	(28030,1)	0	200	144	0	0	SDJNH_7z
72	(28032,1)	0	800	560	0	0	SDJNH_7z
73	(26677,10)	0	200	128	0	0	SDJNH_6z
74	(27041,5)	0	150	90	0	0	SDJNH_6z
75	(27042,5)	0	150	100	0	0	SDJNH_7z
76	(27570,20)	0	200	100	0	0	SDJNH_5z
77	(25660,1)	0	250	50	0	0	SDJNH_2z
78	(27587,100)	20	1000	720	0	0	SDJNH_7z
79	(27587,10)	0	100	80	0	0	SDJNH_8z
80	(26525,1)	0	250	50	0	0	SDJNH_2z
81	(28376,1)	5	1000	600	1	0	SDJNH_6z
82	(28280,20)	20	1000	800	0	0	SDJNH_8z
83	(27047,1)	0	250	50	0	0	SDJNH_2z
84	(27913,1)	0	250	50	0	0	SDJNH_2z
