rewardID	money	CTTpoint	items
奖励ID	奖励金币	随机奖励幻境点(最小值，最大值)	奖励物品
1	0	[6,10]	[(26266,1,400)]
2	0	[6,10]	[(26266,1,400)]
3	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
4	0	[6,10]	[(26266,1,400)]
5	0	[6,10]	[(26266,1,400)]
6	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
7	0	[6,10]	[(26266,1,400)]
8	0	[6,10]	[(26266,1,400)]
9	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
10	0	[6,10]	[(26266,1,400)]
11	0	[6,10]	[(26266,1,400)]
12	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
13	0	[20,40]	[(26266,1,400)]
14	0	[20,40]	[(26266,1,400)]
15	0	[20,40]	[(28762,10,10000),(28752, 25, 5000),(28747, 25, 2500),(28757, 25, 1500),(28775, 1, 1000),(26266,1,800),(28033,1,750),(26306,1,800)]
16	0	[6,10]	[(26266,1,400)]
17	0	[6,10]	[(26266,1,400)]
18	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
19	0	[6,10]	[(26266,1,400)]
20	0	[6,10]	[(26266,1,400)]
21	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
22	0	[6,10]	[(26266,1,400)]
23	0	[6,10]	[(26266,1,400)]
24	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
25	0	[6,10]	[(26266,1,400)]
26	0	[6,10]	[(26266,1,400)]
27	0	[10,20]	[(28762,5,10000),(28752, 20, 5000),(28747, 20, 2500),(28757, 20, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
28	0	[20,40]	[(26266,1,400)]
29	0	[20,40]	[(26266,1,400)]
30	0	[20,40]	[(28762,10,10000),(28752, 25, 5000),(28747, 25, 2500),(28757, 25, 1500),(28775, 1, 1000),(26266,1,800),(28033,1,750),(26306,1,800)]
31	0	[6,10]	[(26266,1,400)]
32	0	[6,10]	[(26266,1,400)]
33	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
34	0	[6,10]	[(26266,1,400)]
35	0	[6,10]	[(26266,1,400)]
36	0	[10,20]	[(28762,5,10000),(28752, 30, 5000),(28747, 30, 2500),(28757, 30, 1500),(26266,1,800),(28033,1,750),(26306,1,800)]
