goodsId	needPoint	apperaPro	rewards
商品ID	需要的幻境点	出现的概率万分比	奖励
1	20000	1000	[28763,1]
2	6000	1000	[28764,1]
3	6000	1000	[28765,1]
4	10000	1000	[28766,1]
5	10000	1000	[28767,1]
6	10000	1000	[28768,1]
7	880	1000	[28762,50]
8	1960	1000	[28762,100]
9	2640	1000	[28762,200]
10	50000	1000	[27880,1]
11	2500	1000	[26306,5]
12	5000	1000	[26306,10]
13	220	1000	[28033,1]
14	480	1000	[28034,1]
15	1000	1000	[28035,1]
16	120	1000	[28240,1]
17	280	1000	[28682,1]
18	600	1000	[28681,1]
19	800	1000	[26933,5]
20	1600	1000	[26933,10]
21	3200	1000	[26933,20]
22	800	1000	[26934,5]
23	1600	1000	[26934,10]
24	3200	1000	[26934,20]
25	750	1000	[26936,10]
26	1500	1000	[26936,20]
27	3750	1000	[26936,50]
28	50000	1000	[29377,1]
29	15000	1000	[29378,1]
30	15000	1000	[29379,1]
31	25000	1000	[29380,1]
32	25000	1000	[29381,1]
33	25000	1000	[29382,1]
