rewardIndex	rewardGrade	rate	rewardCoding	rewardSocre	rewardView
奖励索引	奖励档次	概率	奖励道具coding	奖励冒险点	客户端显示预览
1	1	10000	()	40	(28938,40)
2	1	2000	()	60	(28938,60)
3	1	2000	()	80	(28938,80)
4	1	2000	()	100	(28938,100)
5	1	1000	()	120	(28938,120)
6	1	1000	()	150	(28938,150)
7	1	1000	()	200	(28938,200)
8	1	1000	(28034,1)	0	(28034,1)
9	1	1000	(28035,1)	0	(28035,1)
10	1	1000	(28571,1)	0	(28571,1)
11	1	600	(28571,2)	0	(28571,2)
12	2	200	(28571,5)	0	(28571,5)
13	1	1000	(28280,1)	0	(28280,1)
14	1	1000	(26307,1)	0	(26307,1)
15	1	1000	(26311,1)	0	(26311,1)
16	2	100	(26307,5)	0	(26307,5)
17	2	100	(26311,5)	0	(26311,5)
