posIndex	pos	npcType
位置索引	坐标（x, y, 朝向）	npc外形
1	[2821,433,0]	22001
2	[3123,583,0]	22001
3	[3446,743,0]	22001
4	[2484,572,0]	22001
5	[2812,743,0]	22001
6	[3137,905,0]	22001
7	[2473,894,0]	22001
8	[2160,733,0]	22001
9	[4971,1700,0]	22001
10	[5303,1877,0]	22001
11	[4680,1875,0]	22001
12	[4989,2035,0]	22001
13	[4354,2038,0]	22001
14	[4665,2197,0]	22001
15	[2803,623,0]	22002
16	[5002,1904,0]	22002
17	[4334,2239,0]	22002
18	[3276,1072,0]	22003
19	[3368,1071,0]	22003
20	[3279,1163,0]	22003
21	[3368,1163,0]	22003
22	[4332,1005,0]	22003
23	[4195,933,0]	22003
24	[3691,1368,0]	22003
25	[3780,1332,0]	22003
26	[3208,2615,0]	22001
27	[3520,2775,0]	22001
28	[3061,3001,0]	22001
29	[2720,3162,0]	22001
30	[2386,2997,0]	22001
31	[2372,2674,0]	22001
32	[2061,2834,0]	22001
33	[2044,2515,0]	22001
34	[1730,2672,0]	22001
35	[1192,2088,0]	22001
36	[883,2249,0]	22001
37	[748,1864,0]	22001
38	[435,2024,0]	22001
39	[109,1864,0]	22001
40	[438,1687,0]	22001
41	[2724,2969,0]	22002
42	[808,2058,0]	22002
43	[429,1865,0]	22002
44	[2154,905,0]	22002
45	[1597,2161,0]	22003
46	[1704,2219,0]	22003
47	[1805,2296,0]	22003
48	[1772,2481,0]	22003
49	[1373,2570,0]	22003
50	[1198,2554,0]	22003
51	[1059,2484,0]	22003
52	[1016,2333,0]	22003
53	[952,1042,0]	22003
54	[1203,978,0]	22003
55	[1314,841,0]	22003
56	[1708,876,0]	22003
57	[1800,1013,0]	22003
58	[2032,1126,0]	22003
59	[2028,1264,0]	22003
60	[1059,1402,0]	22003
