type	index	needLevel	items	isRMB_Q	needRMB	daylimitCnt	totallimitCnt
配置类型(0:道具商城,1:贵族商城)	物品展示排序索引	物品开启对应主角等级段	道具coding，cnt	是否充值神石（0：否,1:是）	商品单价	限购个数(不限购配0)	活动期间限购个数（不限购配0）
0	1	(30,179)	(29098,1)	0	200	0	0
0	2	(30,179)	(26450,5)	0	100	0	0
0	3	(30,179)	(25600,10)	0	72	0	0
0	4	(36,179)	(26344,10)	0	72	0	0
0	5	(40,179)	(27566,5)	0	250	0	0
0	6	(45,179)	(26925,5)	0	125	0	0
0	7	(45,179)	(26924,5)	0	125	0	0
0	8	(65,179)	(25837,10)	0	100	0	0
0	9	(75,179)	(27167,1)	0	100	0	0
0	10	(70,179)	(26144,10)	0	100	0	0
0	11	(75,179)	(27709,1)	0	400	0	0
0	12	(75,179)	(27710,1)	0	800	0	0
0	13	(75,179)	(27711,1)	0	1600	0	0
0	14	(75,179)	(27712,1)	0	3200	0	0
0	15	(80,179)	(28035,1)	0	100	0	0
0	16	(80,179)	(28031,1)	0	400	0	0
0	17	(80,179)	(28042,1)	0	1600	0	0
0	18	(80,179)	(26298,5)	0	250	0	0
0	19	(60,179)	(29024,1)	0	5000	2	7
0	20	(60,179)	(26934,10)	0	200	0	0
0	21	(85,179)	(26676,1)	0	298	0	0
0	22	(85,179)	(26677,5)	0	100	0	0
0	23	(85,179)	(29096,1)	0	1500	0	0
0	24	(120,179)	(28943,1)	0	1000	6	42
0	25	(70,179)	(28944,1)	0	1000	6	42
0	26	(30,179)	(29027,1)	0	3000	1	3
0	27	(30,179)	(29028,1)	0	4500	1	3
0	28	(40,179)	(29029,1)	0	3400	0	0
0	29	(120,179)	(29030,1)	0	7200	0	0
0	30	(70,179)	(26221,10)	0	80	0	0
0	31	(120,179)	(28279,10)	0	100	0	0
0	32	(60,179)	(27626,1)	0	3400	0	0
0	33	(120,179)	(28894,1)	0	600	10	70
0	34	(80,179)	(27492,1)	0	5888	1	2
0	35	(60,179)	(26608,1)	0	1200	2	10
1	36	(100,179)	(28844,1)	1	300	100	500
1	37	(80,179)	(27939,5)	1	1000	4	20
1	38	(100,179)	(28563,5)	1	100	0	0
1	39	(100,179)	(28564,1)	1	50	0	0
1	40	(100,179)	(28571,5)	1	100	0	0
1	41	(100,179)	(28572,1)	1	50	0	0
1	42	(120,179)	(28833,1)	1	80	0	0
