CatchFinshIndex	minLevel	grade	rate	rewardItems	Items	rewardUnbindRMB_S_Percent	isRumor	isRare
索引	最小等级	档次	概率	奖励道具(服务端）	奖励道具（客户端）	系统神石（奖池百分比）	是否广播（广播的都记录）	是否稀有（1-稀有， 0-不稀有）
1	30	4	0	()	(28612, 1)	25	1	0
2	30	0	260	(27108, 1)	(27108, 1)	0	0	0
3	30	0	1525	(25600, 5)	(25600, 5)	0	0	0
4	30	0	40	(28652, 1)	(28652, 1)	0	1	0
5	30	2	6	()	(28610, 1)	5	1	0
6	30	0	800	(28653, 1)	(28653, 1)	0	0	0
7	30	0	650	(25600, 10)	(25600, 10)	0	0	0
8	30	0	1525	(26344, 5)	(26344, 5)	0	0	0
9	30	3	2	()	(28611, 1)	10	1	0
10	30	0	1300	(28654, 1)	(28654, 1)	0	0	0
11	30	0	650	(27566, 1)	(27566, 1)	0	0	0
12	30	0	650	(26344, 10)	(26344, 10)	0	0	0
13	30	1	35	()	(28609, 1)	1	1	0
14	30	0	1517	(26450, 1)	(26450, 1)	0	0	0
15	30	0	650	(27517, 1)	(27517, 1)	0	0	0
16	30	0	390	(27850, 1)	(27850, 1)	0	0	0
1	60	4	0	()	(28612, 1)	25	1	0
2	60	0	720	(28655, 1)	(28655, 1)	0	0	0
3	60	0	900	(28656, 1)	(28656, 1)	0	0	0
4	60	0	900	(28658, 1)	(28658, 1)	0	0	0
5	60	2	6	()	(28610, 1)	5	1	0
6	60	0	5	(28657, 1)	(28657, 1)	0	1	1
7	60	0	220	(26042, 1)	(26042, 1)	0	0	0
8	60	0	360	(27518, 1)	(27518, 1)	0	0	0
9	60	3	2	()	(28611, 1)	10	1	0
10	60	0	900	(28659, 1)	(28659, 1)	0	0	0
11	60	0	1662	(28661, 1)	(28661, 1)	0	0	0
12	60	0	1650	(26450, 1)	(26450, 1)	0	0	0
13	60	1	35	()	(28609, 1)	1	1	0
14	60	0	900	(28660, 1)	(28660, 1)	0	0	0
15	60	0	1380	(28654, 1)	(28654, 1)	0	0	0
16	60	0	360	(27621, 1)	(27621, 1)	0	0	0
1	80	4	0	()	(28612, 1)	25	1	0
2	80	0	80	(28642, 1)	(28642, 1)	0	0	0
3	80	0	700	(28662, 1)	(28662, 1)	0	0	0
4	80	0	50	(28353, 1)	(28353, 1)	0	0	0
5	80	2	6	()	(28610, 1)	5	1	0
6	80	0	1	(26439, 1)	(26439, 1)	0	1	0
7	80	0	500	(28035, 1)	(28035, 1)	0	0	0
8	80	0	2712	(28649, 1)	(28649, 1)	0	0	0
9	80	3	2	()	(28611, 1)	10	1	0
10	80	0	40	(28643, 1)	(28643, 1)	0	1	0
11	80	0	200	(28663, 1)	(28663, 1)	0	0	0
12	80	0	3000	(28647, 1)	(28647, 1)	0	0	0
13	80	1	35	()	(28609, 1)	1	1	0
14	80	0	1	(28664, 1)	(28664, 1)	0	1	1
15	80	0	2493	(28654, 1)	(28654, 1)	0	0	0
16	80	0	180	(28651, 1)	(28651, 1)	0	0	0
1	100	4	0	()	(28612, 1)	25	1	0
2	100	0	80	(28642, 1)	(28642, 1)	0	0	0
3	100	0	3605	(28644, 1)	(28644, 1)	0	0	0
4	100	0	50	(28353, 1)	(28353, 1)	0	0	0
5	100	2	6	()	(28610, 1)	5	1	0
6	100	0	1	(26439, 1)	(26439, 1)	0	1	0
7	100	0	500	(28648, 1)	(28648, 1)	0	0	0
8	100	0	2000	(28649, 1)	(28649, 1)	0	0	0
9	100	3	2	()	(28611, 1)	10	1	0
10	100	0	40	(28643, 1)	(28643, 1)	0	1	0
11	100	0	1000	(28645, 1)	(28645, 1)	0	0	0
12	100	0	1000	(28647, 1)	(28647, 1)	0	0	0
13	100	1	35	()	(28609, 1)	1	1	0
14	100	0	1	(28664, 1)	(28664, 1)	0	1	1
15	100	0	1500	(28650, 1)	(28650, 1)	0	0	0
16	100	0	180	(28651, 1)	(28651, 1)	0	0	0
1	120	4	0	()	(28612, 1)	25	1	0
2	120	0	80	(28642, 1)	(28642, 1)	0	0	0
3	120	0	3605	(28644, 1)	(28644, 1)	0	0	0
4	120	0	50	(28646, 1)	(28646, 1)	0	0	0
5	120	2	6	()	(28610, 1)	5	1	0
6	120	0	1	(26439, 1)	(26439, 1)	0	1	0
7	120	0	500	(28648, 1)	(28648, 1)	0	0	0
8	120	0	2000	(28649, 1)	(28649, 1)	0	0	0
9	120	3	2	()	(28611, 1)	10	1	0
10	120	0	40	(28643, 1)	(28643, 1)	0	1	0
11	120	0	1000	(28645, 1)	(28645, 1)	0	0	0
12	120	0	1000	(28647, 1)	(28647, 1)	0	0	0
13	120	1	35	()	(28609, 1)	1	1	0
14	120	0	1	(28664, 1)	(28664, 1)	0	1	1
15	120	0	1500	(28650, 1)	(28650, 1)	0	0	0
16	120	0	180	(28651, 1)	(28651, 1)	0	0	0
