boxIndex	needCnt	rewardItems	rewardMoney	rewardBindRMB	rewardUnbindRMB_S	Items
宝箱索引	需要积分	道具	金币	魔晶	系统神石	奖励道具（客户端）
1	10	[(27517, 1),(26450, 1),(27471, 10)]	1000000	50	0	[(25828, 1000000),(25829, 50),(27517, 1),(26450, 1),(27471, 10)]
2	20	[(27518, 1),(26450, 1),(27471, 10)]	1000000	50	0	[(25828, 1000000),(25829, 50),(27518, 1),(26450, 1),(27471, 10)]
3	40	[(27621, 1),(26450, 2),(27471, 20)]	2000000	100	0	[(25828, 2000000),(25829, 100),(27621, 1),(26450, 2),(27471, 20)]
4	80	[(27519, 1),(26450, 4),(27471, 40)]	4000000	200	0	[(25828, 4000000),(25829, 200),(27519, 1),(26450, 4),(27471, 40)]
5	150	[(27622, 1),(26450, 7),(27471, 60)]	6000000	300	0	[(25828, 6000000),(25829, 300),(27622, 1),(26450, 7),(27471, 60)]
6	300	[(28031, 1),(26450, 15),(27471, 12)]	12000000	600	0	[(25828, 12000000),(25829, 600),(28031, 1),(26450, 15),(27471, 12)]
7	600	[(28032, 1),(26450, 30),(27471, 24)]	24000000	1200	0	[(25828, 24000000),(25829, 1200),(28032, 1),(26450, 30),(27471, 24)]
8	1200	[(27711, 1),(26450, 60),(27471, 40)]	40000000	2000	0	[(25828, 40000000),(25829, 2000),(27711, 1),(26450, 60),(27471, 40)]
9	1800	[(27492, 1),(26450, 60),(27471, 40)]	40000000	2000	0	[(25828, 40000000),(25829, 2000),(27492, 1),(26450, 60),(27471, 40)]
10	2500	[(28254, 1),(26450, 70),(27471, 60)]	60000000	3000	0	[(25828, 60000000),(25829, 3000),(28254, 1),(26450, 70),(27471, 60)]
