index	needLevel	item_name	items	originCost	needRMB	isRMB_Q	groupRule	reward
物品展示排序索引	购买等级	道具名称	道具coding，cnt	商品原价	当前团购价	是否充值神石（0：否,1:是）	每个商品各阶段的团购价格(人数,价格,下阶段人数(-1表示没有))	前20名奖励
1	30	初级团购礼包（一）	(29067,1)	340	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
2	60	中级团购礼包（一）	(29074,1)	1160	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
3	80	高级团购礼包（一）	(29081,1)	4480	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
4	30	初级团购礼包（二）	(29068,1)	340	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
5	60	中级团购礼包（二）	(29075,1)	1160	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
6	80	高级团购礼包（二）	(29082,1)	4480	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
7	30	初级团购礼包（三）	(29069,1)	350	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
8	60	中级团购礼包（三）	(29076,1)	1200	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
9	80	高级团购礼包（三）	(29083,1)	4480	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
10	30	初级团购礼包（四）	(29070,1)	350	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
11	60	中级团购礼包（四）	(29077,1)	1194	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
12	80	高级团购礼包（四）	(29084,1)	4480	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
13	30	初级团购礼包（五）	(29071,1)	350	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
14	60	中级团购礼包（五）	(29078,1)	1200	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
15	80	高级团购礼包（五）	(29085,1)	4480	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
16	30	初级团购礼包（六）	(29072,1)	340	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
17	60	中级团购礼包（六）	(29079,1)	1160	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
18	80	高级团购礼包（六）	(29086,1)	4480	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
19	30	初级团购礼包（七）	(29073,1)	340	200	1	[(100,190,500),(500,170,1000),(1000,150,3000),(3000,120,6000),(6000,90,10000),(10000,50,15000),(15000,1,-1)]	[(29093,1)]
20	60	中级团购礼包（七）	(29080,1)	1160	720	1	[(100,700,500),(500,660,1000),(1000,620,2500),(2500,540,5000),(5000,420,7500),(7500,240,10000),(10000,1,-1)]	[(29094,1)]
21	80	高级团购礼包（七）	(29087,1)	4880	1200	1	[(100,1160,250),(250,1100,500),(500,1020,1500),(1500,900,3000),(3000,720,5000),(5000,480,7500),(7500,1,-1)]	[(29095,1)]
