tradeId	itemCoding	needGMScore	needLevel	needWorldLevel	goodsName
交易ID	物品coding	兑换需要GM积分	兑换需要玩家等级	兑换需要世界等级	商品名字
1	26907	600	1	1	200魔晶礼包
2	26026	360	40	1	四级宝石礼盒
3	25681	2	1	1	一级龙晶
4	25682	4	30	1	二级龙晶
5	25683	6	30	1	三级龙晶
6	25684	8	30	1	四级龙晶
7	25685	10	30	1	五级龙晶
8	25686	12	30	1	六级龙晶
9	25666	2	1	1	一阶玄铁
10	25667	4	30	1	二阶玄铁
11	25668	6	30	1	三阶玄铁
12	25669	8	30	1	四阶玄铁
13	25670	10	30	1	五阶玄铁
14	27049	12	30	1	六阶玄铁
15	25671	2	1	1	一阶古龙血
16	25672	4	30	1	二阶古龙血
17	25673	6	30	1	三阶古龙血
18	25674	8	30	1	四阶古龙血
19	25675	10	30	1	五阶古龙血
20	27050	12	30	1	六阶古龙血
21	25643	10	30	1	超级经验酒
22	25647	50	30	1	超级经验卡
23	25655	25	30	1	超级经验珠
24	26344	10	30	1	姻缘石
25	26932	50	30	1	星灵之泪
26	26933	50	30	1	星灵之羽
27	26934	50	30	1	星灵水晶
28	26924	20	30	1	生命结晶
29	26925	20	30	1	生命之源
30	26342	50	30	1	精炼石
31	26479	10	30	1	装备附魔石
32	25656	500	1	1	一星召唤令
33	25657	500	30	1	二星召唤令
34	25658	500	30	1	三星召唤令
35	25659	500	30	1	四星召唤令
36	25660	500	30	1	五星召唤令
37	26043	50	30	1	占卜强化石
38	25970	50	30	1	符文封印石
39	25831	50	30	1	宝石封印石
40	25600	5	30	1	坐骑培养石
41	37005	1500	30	1	恶魔·邪恶之力
42	37006	1500	30	1	恶魔·邪恶之魂
43	37007	4000	30	1	恶魔之翼
44	37008	1000	30	1	恶魔·邪恶之角
45	37016	4000	30	1	蓝色魅力
46	25720	10	30	1	一级生命宝石
47	25721	10	30	1	一级物攻宝石
48	25722	10	30	1	一级法攻宝石
49	25723	10	30	1	一级物防宝石
50	25724	10	30	1	一级法防宝石
51	25725	10	30	1	一级暴击宝石
52	25726	10	30	1	一级免暴宝石
53	25727	10	30	1	一级破挡宝石
54	25728	10	30	1	一级格挡宝石
55	25850	20	30	1	一级正义符文
56	25851	20	30	1	一级公正符文
57	25852	20	30	1	一级英勇符文
58	25853	20	30	1	一级无畏符文
59	25854	20	30	1	一级信仰符文
60	25855	20	30	1	一级智慧符文
61	25856	20	30	1	一级命运符文
62	25857	20	30	1	一级怜悯符文
63	25858	20	30	1	一级奉献符文
64	25859	20	30	1	一级忠诚符文
65	25860	20	30	1	一级荣誉符文
66	25861	20	30	1	一级牺牲符文
67	25971	5	30	1	魂石
68	25848	5	30	1	10魔晶
69	26109	1	30	1	日常惊喜礼盒
70	26902	100	30	1	龙骸宝箱（一）
71	26903	100	30	1	龙骸宝箱（二）
72	26904	100	30	1	龙骸宝箱（三）
73	26676	200	30	1	时装之魄
74	26677	200	30	1	时装精华
75	26228	240	30	1	五级符文礼盒
76	26224	120	30	1	五级宝石礼盒
77	25832	20	30	1	小喇叭
78	25837	30	30	1	羽翼培养石
79	26042	100	30	1	占卜令
80	26634	100	30	1	紫色命魂礼盒
81	26152	2	30	1	命魂小礼盒
82	26608	300	30	1	黄色命魂礼盒
83	28369	10	30	1	经验白魂礼盒
84	28370	20	30	1	经验绿魂礼盒
85	28371	30	30	1	经验蓝魂礼盒
86	28267	60	30	1	经验紫魂礼盒
87	26144	10	30	1	宠物圣果
88	26935	300	30	1	星灵魂印
89	26936	10	30	1	魂炼之石
90	26151	20	30	1	宝石小礼盒
91	26465	10	30	1	金条
92	27162	5	30	1	普通喜糖
93	27163	10	30	1	高档喜糖
94	27164	15	30	1	豪华喜糖
95	27158	5	30	1	普通祝福
96	27159	10	30	1	豪华祝福
97	27160	5	30	1	普通馈礼
98	27161	10	30	1	豪华馈礼
99	27171	100	30	1	龙灵*50000
100	28033	25	30	1	一级雕纹
101	26147	1000	30	1	角色改名卡
102	27167	200	30	1	羽灵精魄
103	26306	60	30	1	巨蟹座女神·碎片
104	26308	50	30	1	处女座女神·碎片
105	26309	60	30	1	白羊座女神·碎片
106	26307	60	30	1	狮子座女神·碎片
107	26312	90	30	1	天蝎座女神·碎片
108	26313	50	30	1	射手座女神·碎片
109	26314	100	30	1	摩羯座女神·碎片
110	26319	50	30	1	凤凰座女神·碎片
111	28559	80	30	1	室女座女神·碎片
