mallType	tradeId	goodsId	goodsName	sortPriority	goodsType	sellType	needLevel	hideLevel	needVIP	needDay	startTime	endTime	isShow	dayLimitCnt	limitCnt	baseRMB	discountRMB	discountForever	discountCardCoding	VipLevelDiscount	activeTypeShow	viewItems	CanGiving	QRMB
商品类型 	交易ID	商品ID	商品名字	排序优先级（值越小越前）	出售的货物类型	出售类型1热卖2促销	购买需要人物等级	隐藏需要人物等级	购买需要VIP等级	购买需要开服时间	购买开始时间	购买结束时间	未满足条件是否显示(1显示 0隐藏)	每天限购数量	永久限购数量	不打折消耗神石	打折消耗神石	是否永久打折	打折卡物品编码	VIP打折需要的VIP等级	是否活动开启显示	客户端预览，0代表普通物品。2代表命魂（等级大礼用）	是否可以赠送(1：可以赠送，0：不可以)	是否只能充值神石购买，并且不能放在购物车，不能使用代金券
XSSC	201	26029	圣·光辉饰品礼包	1	1	2	1	999	0	(1,2)			0	1	0	300	100	0	0	0		0	0	0
XSSC	202	26030	圣·光辉装备礼包	2	1	2	1	999	0	(1,2)			0	1	0	550	150	0	0	0		0	0	0
XSSC	203	25997	宝石礼包（生命）	3	1	2	40	999	0	(2,3)			0	2	0	550	299	1	0	0		0	0	0
XSSC	204	25998	宝石礼包（物攻）	4	1	2	40	999	0	(2,3)			0	1	0	550	299	1	0	0		0	0	0
XSSC	205	25999	宝石礼包（法攻）	5	1	2	40	999	0	(2,3)			0	1	0	550	299	1	0	0		0	0	0
XSSC	208	26002	宝石礼包（暴击）	6	1	2	60	999	0	(7,10)			0	2	0	550	299	1	0	0		0	0	0
XSSC	209	26003	宝石礼包（免爆）	7	1	2	60	999	0	(7,10)			0	2	0	550	299	1	0	0		0	0	0
XSSC	210	26004	宝石礼包（破挡）	8	1	2	60	999	0	(7,10)			0	2	0	550	299	1	0	0		0	0	0
XSSC	211	26005	宝石礼包（格挡）	9	1	2	60	999	0	(7,10)			0	2	0	550	299	1	0	0		0	0	0
XSSC	212	26006	10神石礼包	10	1	2	50	999	0	(4,6)			0	4	0	15	10	1	0	0		0	0	0
XSSC	213	26007	10神石礼包（二）	11	1	2	65	999	0	(12,17)			0	4	0	15	10	1	0	0		0	0	0
XSSC	214	26008	10神石礼包（三）	12	1	2	50	999	0	(24,28)			0	4	0	15	10	1	0	0		0	0	0
XSSC	215	26009	10神石礼包（四）	13	1	2	100	999	0	(68,71)			0	4	0	15	10	1	0	0		0	0	0
XSSC	216	26010	20神石礼包	14	1	2	50	999	0	(4,6)			0	4	0	30	20	1	0	0		0	0	0
XSSC	217	26011	20神石礼包（二）	15	1	2	65	999	0	(12,17)			0	4	0	30	20	1	0	0		0	0	0
XSSC	218	26012	20神石礼包（三）	16	1	2	80	999	0	(24,28)			0	4	0	30	20	1	0	0		0	0	0
XSSC	219	26013	20神石礼包（四）	17	1	2	100	999	0	(68,71)			0	4	0	30	20	1	0	0		0	0	0
XSSC	220	26014	100神石礼包	18	1	2	50	999	0	(4,6)			0	4	0	150	50	1	0	0		0	0	0
XSSC	221	26015	100神石礼包（二）	19	1	2	65	999	0	(12,17)			0	4	0	150	50	1	0	0		0	0	0
XSSC	222	26016	100神石礼包（三）	20	1	2	80	999	0	(24,28)			0	4	0	150	50	1	0	0		0	0	0
XSSC	223	26017	100神石礼包（四）	21	1	2	100	999	0	(68,71)			0	4	0	150	50	1	0	0		0	0	0
XSSC	224	26018	英雄礼包	22	1	2	65	999	0	(12,17)			0	3	0	800	499	1	0	0		0	0	0
XSSC	225	26019	英雄礼包（二）	23	1	2	80	999	0	(24,28)			0	3	0	800	499	1	0	0		0	0	0
XSSC	227	26021	英雄礼包（四）	24	1	2	100	999	0	(68,71)			0	3	0	800	499	1	0	0		0	0	0
XSSC	228	26022	传奇英雄礼包	25	1	2	65	999	0	(12,17)			0	3	0	2000	799	1	0	0		0	0	0
XSSC	229	26023	传奇英雄礼包（二）	26	1	2	80	999	0	(24,28)			0	3	0	2000	799	1	0	0		0	0	0
XSSC	231	26025	传奇英雄礼包（四）	27	1	2	100	999	0	(68,71)			0	3	0	2000	799	1	0	0		0	0	0
XSSC	232	26268	冲级助力礼包（一）	28	1	2	30	999	0	(1,2)			0	0	1	2200	1600	1	0	0		0	0	0
XSSC	233	26359	英雄助力礼包	29	1	2	15	999	0	(14,16)			0	4	0	250	200	1	0	0		0	0	0
XSSC	234	27536	体力礼包	30	1	2	30	999	0	(1,2)			0	1	0	52	5	1	0	0		0	0	0
XSSC	235	27537	坐骑培养礼包	31	1	2	30	999	0	(2,3)			0	2	0	13	6	1	0	0		0	0	0
XSSC	236	27538	坐骑优惠礼包	32	1	2	30	999	0	(2,3)			0	2	0	150	55	1	0	0		0	0	0
XSSC	237	27539	宝石优惠礼包	33	1	2	30	999	0	(3,4)			0	2	0	57	10	1	0	0		0	0	0
XSSC	238	27540	姻缘礼包(一)	34	1	2	30	999	0	(4,5)			0	2	0	13	6	1	0	0		0	0	0
XSSC	239	27541	姻缘礼包(二)	35	1	2	30	999	0	(4,5)			0	2	0	110	62	1	0	0		0	0	0
XSSC	240	27542	占卜礼包	36	1	2	30	999	0	(5,6)			0	1	0	40	20	1	0	0		0	0	0
