yqCoding	itemCoding	tradeId	goodsName	needItemCoding	needCnt	needLevel	goodLevel	needActiveFBID	miaoshu	needItemRes
页签coding	物品coding	交易ID	商品名字	需要仙玉物品Coding	需要数量	需要角色等级	物品等级开启	需要激活的最小副本ID	描述	需要的道具资源
1	25676	1	虎牙	25681	6	28	28	0	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	25682	2	二级龙晶	25681	4	30	40	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	25676	3	虎牙	25681	6	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	35606	4	烈火·光辉剑	25681	60	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	35607	5	烈火·光辉头盔	25681	30	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	35608	6	烈火·光辉铠甲	25681	30	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	35609	7	烈火·光辉战靴	25681	30	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	35610	8	烈火·光辉戒指	25681	40	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
2	35611	9	烈火·光辉手镯	25681	40	30	30	2	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ1
3	25683	10	三级龙晶	25682	4	40	60	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25677	11	虎魄	25682	30	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25688	12	魔魂剑卷轴	25682	240	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25689	13	魔魂头盔卷轴	25682	90	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25690	14	魔魂铠甲卷轴	25682	90	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25691	15	魔魂战靴卷轴	25682	90	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25692	16	魔魂戒指卷轴	25682	150	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
3	25693	17	魔魂手镯卷轴	25682	150	40	40	22	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ2
4	25684	18	四级龙晶	25683	4	60	80	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25678	19	凤羽	25683	100	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25694	20	寒光剑卷轴	25683	750	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25695	21	寒光头盔卷轴	25683	300	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25696	22	寒光铠甲卷轴	25683	300	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25697	23	寒光战靴卷轴	25683	300	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25698	24	寒光戒指卷轴	25683	500	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
4	25699	25	寒光手镯卷轴	25683	500	60	60	42	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ3
5	25685	26	五级龙晶	25684	4	80	100	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25679	27	龙玉	25684	200	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25700	28	幻影剑卷轴	25684	1500	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25701	29	幻影头盔卷轴	25684	600	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25702	30	幻影铠甲卷轴	25684	600	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25703	31	幻影战靴卷轴	25684	600	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25704	32	幻影戒指卷轴	25684	1000	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
5	25705	33	幻影手镯卷轴	25684	1000	80	80	62	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ4
6	25686	34	六级龙晶	25685	4	100	120	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
6	25680	35	秘药	25685	300	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
6	25706	36	曙光剑卷轴	25685	2200	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
6	25707	37	曙光头盔卷轴	25685	900	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
6	25708	38	曙光铠甲卷轴	25685	900	100	100	82	龙晶获取途径：副本，英雄竞技场	Pub_IcomLJ5
