coding	needCoding	needItemCnt	needLevel	needWorldLevel	limitCnt
物品coding	兑换需要coding	兑换需要物品数量	兑换需要等级	兑换需要世界等级	限购次数(0-不限购)
27100	27088	8	1	1	150
27097	27088	8	1	1	50
27098	27088	4	1	1	100
27099	27088	5	1	1	100
26121	27088	5	1	1	50
26122	27088	5	1	1	50
26123	27088	5	1	1	50
26311	27088	4	1	1	200
26329	27088	18	1	1	200
26309	27088	4	1	1	100
26327	27088	18	1	1	100
26972	27088	1200	1	1	1
26753	27088	120	1	1	1
26755	27088	120	1	1	1
26757	27088	120	1	1	1
26754	27088	120	1	1	1
26756	27088	120	1	1	1
26758	27088	120	1	1	1
