index	item	needLevel	original	needRMB	recharge	dayMax
物品id	(物品coding，物品个数)	需要最低等级	原价	现价	是否充值神石(1:是，0:不是)	每日限购个数（-1为无限制）
1	(25600,5)	(30,39)	50	30	0	4
2	(26344,5)	(30,39)	50	30	0	4
3	(25656,1)	(30,39)	250	100	0	1
4	(26450,1)	(30,39)	20	12	0	5
5	(26450,1)	(40,59)	20	12	0	5
6	(26925,1)	(40,59)	25	18	0	10
7	(26924,1)	(40,59)	25	18	0	10
8	(25600,5)	(40,59)	50	30	0	4
9	(26450,1)	(60,79)	20	12	0	5
10	(26031,1)	(60,79)	45	30	0	5
11	(26934,5)	(60,79)	100	60	0	4
12	(26936,5)	(60,79)	50	30	0	8
13	(27709,1)	(80,99)	500	400	0	1
14	(26677,5)	(80,99)	100	75	0	4
15	(28240,1)	(80,99)	15	12	0	10
16	(26450,1)	(80,99)	20	12	0	5
17	(27709,1)	(100,119)	500	400	0	1
18	(27041,1)	(100,119)	30	20	0	10
19	(27042,1)	(100,119)	30	20	0	10
20	(27669,1)	(100,119)	50	40	0	5
21	(28563,1)	(120,179)	20	16	1	10
22	(28571,1)	(120,179)	20	16	1	10
23	(27669,1)	(120,179)	50	40	0	5
24	(27709,1)	(120,179)	500	400	0	1
