actId	startDateTime	endDateTime	kaifuDays	tabEndDay	title	name	bg	type	level	actContent	showTime	linkTitle	num
活动ID	活动开启时间（没开启就别填）	活动关闭时间（没开启就别填）	开服天数限制	页签消失时间（距离开服的天数）	标题艺术字	名字	背景图	类型	显示等级	活动内容	显示活动时间	活动内容后面超链接	奖励数量
1	(2016, 1, 8, 0, 0)	(2016, 1, 21, 0, 0)	0	0		累计充值	GEJ_LJCZ_US	1	20	活动期间，累计充值一定神石，即可领取奖励。每种奖励活动期间限领1次。	2016,1,8,2016,1,21		13
2	(2016, 2, 19, 0, 0)	(2016, 2, 22, 0, 0)	30	0		首充	GEJ_SC_US	1	30	活动期间，首次充值任意金额即可领取奖励。每人在活动期间只能领取一次奖励。	2016,2,19,2016,2,22		1
1002	(2015, 5, 21, 0, 0)	(2015, 5, 23, 23, 59)	30	0		首充	GEJ_SC_US	1	30	活动期间，首次充值任意金额即可领取奖励。每人在活动期间只能领取一次奖励。	2015,5,21,2015,5,23		1
3	(2014, 12, 22, 0, 0)	(2014, 12, 25, 23, 59)	30	0		每日首笔消费	GEJ_MRXF_US	1	30	活动期间，每天完成首笔神石消费，即可领取奖励。每人每日限领1次。每日的奖励只能当天领取。	2014,12,22,2014,12,25		1
1003	(2014, 12, 29, 0, 0)	(2015, 1, 1, 23, 59)	30	0		每日首笔消费	GEJ_MRXF_US	1	30	活动期间，每天完成首笔神石消费，即可领取奖励。每人每日限领1次。每日的奖励只能当天领取。	2014,12,29,2015,1,1		1
4	(2016, 3, 18, 0, 0)	(2016, 3, 24, 0, 0)	30	0		挑战组队副本	GEJ_TZZDFB_US	1	30	活动期间，每日参与组队副本达到指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,3,18,2016,3,24		2
1004	(2016, 2, 12, 0, 0)	(2016, 2, 25, 0, 0)	30	0		挑战组队副本	GEJ_TZZDFB_US	1	30	活动期间，每日参与组队副本达到指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,12,2016,2,25		2
5	(2016, 3, 11, 0, 0)	(2016, 3, 17, 0, 0)	30	0		挑战竞技场	GEJ_TZJJC_US	1	30	活动期间，每天参与挑战竞技场的玩法一定次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2016,3,11,2016,3,17		2
1005	(2016, 2, 5, 0, 0)	(2016, 2, 11, 0, 0)	30	0		挑战竞技场	GEJ_TZJJC_US	1	30	活动期间，每天参与挑战竞技场的玩法一定次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2016,2,5,2016,2,11		2
6	(2016, 3, 11, 0, 0)	(2016, 3, 17, 0, 0)	30	0		挑战副本	GEJ_TZFB_US	1	30	活动期间，每天参与挑战副本的玩法一定次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2016,3,11,2016,3,17		2
1006	(2016, 3, 18, 0, 0)	(2016, 3, 24, 0, 0)	30	0		挑战副本	GEJ_TZFB_US	1	30	活动期间，每天参与挑战副本的玩法一定次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2016,3,18,2016,3,24		2
2006	(2015, 10, 9, 0, 0)	(2015, 10, 15, 23, 59)	30	0		挑战副本	GEJ_TZFB_US	1	30	活动期间，每天参与挑战副本的玩法一定次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。	2015,10,9,2015,10,15		2
7	(2016, 3, 11, 0, 0)	(2016, 3, 17, 0, 0)	30	0		挑战公会副本	GEJ_TZGHFB_US	1	30	活动期间，每日参与公会副本达到指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,3,11,2016,3,17		2
1007	(2016, 2, 5, 0, 0)	(2016, 2, 11, 0, 0)	30	0		挑战公会副本	GEJ_TZGHFB_US	1	30	活动期间，每日参与公会副本达到指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2016,2,5,2016,2,11		2
8	(2014, 12, 19, 0, 0)	(2014, 12, 25, 0, 0)	30	0		勇者互动	GEJ_YDLZ1_US	1	30	活动期间，每日和奴隶互动达到指定次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。	2014,12,19,2014,12,25		1
