actId	idx	desc	rewardMoney	rewardTarot	rewardRMB	rewardItem	rewardItemShow	needBuyUnbindRMB	needPurgatoryId	needPurgatoryPassCnt	needFinishGVEFBCnt	needJJCCnt	needFinishFBCnt	needFinishUnionFBCnt	needSlavePlayCnt	needOnlineTime	HeroLevel	HeroIds	maxCnt	needGoldCnt	WingculCnt	GemsynCnt	SaveSlaveCnt	challengeTimes	costRMB	PetevlTimes	Petstar	needMountTrainCnt	needMountRMBTrainCnt	EvlHoleTimes	CatchSlaveTimes	ChallengHeroTimes	TotalcostRMB	PetSpiritLevel	PetLuckyDraw	EquipmentStengCnt	PetEvoId	tarotCntDict	tarotCnt	dayBuyGem	fuwenSyn	partytimes	CFbtimes
活动ID	活动索引	描述	金币奖励	命魂	魔晶	道具奖励	客户端展示奖励	需要累计充值神石	需要的心魔炼狱ID	需要心魔炼狱通关次数	需要挑战GVE副本次数	需要挑战竞技场次数	需要通关的公会副本	需要挑战公会副本次数	需要勇斗领主互动次数	需要在线时间	指定英雄等级(heroId, level)	指定星级的英雄(heroId,...)	最多可领取的次数	炼金次数	羽翼累计培养次数	合成指定数量的宝石(宝石等级， 数量)	解救奴隶次数	英灵神殿挑战最大关卡	一次性消耗范围[MIN,MAX]	宠物培养次数	宠物星级	坐骑培养次数	坐骑神石或培养石次数	恶魔深渊挑战次数	抓捕奴隶次数	挑战英灵神殿次数	每日累计消费	宠物附灵等级	宠物幸运转盘次数	装备强化次数	需要的宠物修行阶数	需要指令命魂的个数(命魂品阶，个数)	需要占卜次数	每日购买宝石数	符文合成(符文等级,数量)	活动期间开派对次数（派对品质，数量）	情缘副本次数
1	1	累计充值2000神石	0	0	300	[(26302,2),(28296,10)]	[(25829,300),(26302,2),(28296,10)]	2000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	2	累计充值4000神石	0	0	300	[(26302,2),(28296,10)]	[(25829,300),(26302,2),(28296,10)]	4000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	3	累计充值6000神石	0	0	300	[(26302,2),(28296,10)]	[(25829,300),(26302,2),(28296,10)]	6000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	4	累计充值8000神石	0	0	300	[(26302,2),(28296,10)]	[(25829,300),(26302,2),(28296,10)]	8000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	5	累计充值10000神石	0	0	300	[(26302,2),(28296,10)]	[(25829,300),(26302,2),(28296,10)]	10000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	6	累计充值20000神石	0	0	1500	[(26302,10),(28296,50),(28279,100)]	[(25829,1500),(26302,10),(28296,50),(28279,100)]	20000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	7	累计充值30000神石	0	0	1500	[(26302,10),(28296,50),(28279,50)]	[(25829,1500),(26302,10),(28296,50),(28279,50)]	30000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	8	累计充值50000神石	0	0	3000	[(26302,20),(28296,100),(28279,100)]	[(25829,3000),(26302,20),(28296,100),(28279,100)]	50000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
1	9	累计充值70000神石	0	0	3000	[(26302,20),(28296,100),(28279,100)]	[(25829,3000),(26302,20),(28296,100),(28279,100)]	70000	0	0	0	0	0	0	0	0			-1	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	0		0	0	0		0
