heroShengdianIndex	heroShengdianID	stageId	needLevel	fightType	mcid	reward	randomRewardCoding	rate	previewitem	templeText	templeText_US	header	monsterRes	shengdianName
英雄圣殿索引	英雄圣殿ID	小关卡（1左神卫、2右神卫、3神卫）	需要等级	战斗类型	怪物阵营ID	固定奖励	随机奖励coding(随机奖励1-5个)	[(个数, 概率)]	客户端物品预览	ui神殿艺术字	北美ui神殿艺术字	神殿头像	神殿内小怪资源Id	神殿名字
1	1	1	160	31	17000	[]	28217	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28217,1)]	Ylsd_lyzs	Ylsd_lyzs_US	5011	5011	烈焰女神
2	1	2	160	31	17001	[(28225,1)]	0	[]	[(28225,1)]	Ylsd_lyzs	Ylsd_lyzs_US	5011	5114	烈焰女神
3	2	1	160	31	17002	[]	28218	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28218,1)]	Ylsd_hbnw	Ylsd_hbnw_US	5010	5010	寒冰女巫
4	2	2	160	31	17003	[(28226,1)]	0	[]	[(28226,1)]	Ylsd_hbnw	Ylsd_hbnw_US	5010	5113	寒冰女巫
5	3	1	160	31	17004	[]	28219	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28219,1)]	Ylsd_symw	Ylsd_symw_US	5012	5012	深渊蛮王
6	3	2	160	31	17005	[(28227,1)]	0	[]	[(28227,1)]	Ylsd_symw	Ylsd_symw_US	5012	5115	深渊蛮王
7	4	1	160	31	17006	[]	28220	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28220,1)]	Ylsd_tljs	Ylsd_tljs_US	5014	5014	屠龙剑圣
8	4	2	160	31	17007	[(28228,1)]	0	[]	[(28228,1)]	Ylsd_tljs	Ylsd_tljs_US	5014	5117	屠龙剑圣
9	5	1	160	31	17008	[]	28221	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28221,1)]	Ylsd_ttss	Ylsd_ttss_US	5015	5015	天堂圣使
10	5	2	160	31	17009	[(28229,1)]	0	[]	[(28229,1)]	Ylsd_ttss	Ylsd_ttss_US	5015	5118	天堂圣使
11	6	1	160	31	17010	[]	28222	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28222,1)]	Ylsd_kpnw	Ylsd_kpnw_US	5013	5013	卡牌女王
12	6	2	160	31	17011	[(28230,1)]	0	[]	[(28230,1)]	Ylsd_kpnw	Ylsd_kpnw_US	5013	5116	卡牌女王
13	7	1	160	31	17012	[]	28223	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28223,1)]	Ylsd_klw	Ylsd_klw_US	5018	5018	骷髅王
14	7	2	160	31	17013	[(28231,1)]	0	[]	[(28231,1)]	Ylsd_klw	Ylsd_klw_US	5018	5121	骷髅王
15	8	1	160	31	17014	[]	28224	[(1,1000),(2,250),(3,150),(4,100),(5,50)]	[(28224,1)]	Ylsd_yzjs	Ylsd_yzjs_US	5017	5017	月之祭司
16	8	2	160	31	17015	[(28232,1)]	0	[]	[(28232,1)]	Ylsd_yzjs	Ylsd_yzjs_US	5017	5120	月之祭司
17	9	3	160	31	17100	[(28829,1)]	0	[]	[(28829,1)]	Ylsd_szsxm	Ylsd_szsxm_US	5020	5125	战神熊猫
18	10	3	160	31	17101	[(28830,1)]	0	[]	[(28830,1)]	Ylsd_sswqs	Ylsd_sswqs_US	5021	5126	死亡骑士
19	11	3	160	31	17102	[(28831,1)]	0	[]	[(28831,1)]	Ylsd_sdlts	Ylsd_sdlts_US	5022	5127	堕落天使
20	12	3	160	31	17103	[(28832,1)]	0	[]	[(28832,1)]	Ylsd_jdshz	Ylsd_jdshz_US	5023	5128	绝对守护者
21	13	3	160	31	17104	[(29482,1)]	0	[]	[(29482,1)]	Ylsd_swk	Ylsd_jdshz_US	5024	5129	孙悟空
