level	reward1	reward2	reward3
玩家等级	奖励	奖励	奖励
1	(27519, 1)	(27520, 1)	(27618, 1)
2	(27519, 1)	(27520, 1)	(27618, 1)
3	(27519, 1)	(27520, 1)	(27618, 1)
4	(27519, 1)	(27520, 1)	(27618, 1)
5	(27519, 1)	(27520, 1)	(27618, 1)
6	(27519, 1)	(27520, 1)	(27618, 1)
7	(27519, 1)	(27520, 1)	(27618, 1)
8	(27519, 1)	(27520, 1)	(27618, 1)
9	(27519, 1)	(27520, 1)	(27618, 1)
10	(27519, 1)	(27520, 1)	(27618, 1)
11	(27519, 1)	(27520, 1)	(27618, 1)
12	(27519, 1)	(27520, 1)	(27618, 1)
13	(27519, 1)	(27520, 1)	(27618, 1)
14	(27519, 1)	(27520, 1)	(27618, 1)
15	(27519, 1)	(27520, 1)	(27618, 1)
16	(27519, 1)	(27520, 1)	(27618, 1)
17	(27519, 1)	(27520, 1)	(27618, 1)
18	(27519, 1)	(27520, 1)	(27618, 1)
19	(27519, 1)	(27520, 1)	(27618, 1)
20	(27519, 1)	(27520, 1)	(27618, 1)
21	(27519, 1)	(27520, 1)	(27618, 1)
22	(27519, 1)	(27520, 1)	(27618, 1)
23	(27519, 1)	(27520, 1)	(27618, 1)
24	(27519, 1)	(27520, 1)	(27618, 1)
25	(27519, 1)	(27520, 1)	(27618, 1)
26	(27519, 1)	(27520, 1)	(27618, 1)
27	(27519, 1)	(27520, 1)	(27618, 1)
28	(27519, 1)	(27520, 1)	(27618, 1)
29	(27519, 1)	(27520, 1)	(27618, 1)
30	(27519, 1)	(27520, 1)	(27618, 1)
31	(27519, 1)	(27520, 1)	(27618, 1)
32	(27519, 1)	(27520, 1)	(27618, 1)
33	(27519, 1)	(27520, 1)	(27618, 1)
34	(27519, 1)	(27520, 1)	(27618, 1)
35	(27519, 1)	(27520, 1)	(27618, 1)
36	(27519, 1)	(27520, 1)	(27618, 1)
37	(27519, 1)	(27520, 1)	(27618, 1)
38	(27519, 1)	(27520, 1)	(27618, 1)
39	(27519, 1)	(27520, 1)	(27618, 1)
40	(27519, 1)	(27520, 1)	(27618, 1)
41	(27519, 1)	(27520, 1)	(27618, 1)
42	(27519, 1)	(27520, 1)	(27618, 1)
43	(27519, 1)	(27520, 1)	(27618, 1)
44	(27519, 1)	(27520, 1)	(27618, 1)
45	(27519, 1)	(27520, 1)	(27618, 1)
46	(27519, 1)	(27520, 1)	(27618, 1)
47	(27519, 1)	(27520, 1)	(27618, 1)
48	(27519, 1)	(27520, 1)	(27618, 1)
49	(27519, 1)	(27520, 1)	(27618, 1)
50	(27519, 1)	(27520, 1)	(27618, 1)
51	(27519, 1)	(27520, 1)	(27618, 1)
52	(27519, 1)	(27520, 1)	(27618, 1)
53	(27519, 1)	(27520, 1)	(27618, 1)
54	(27519, 1)	(27520, 1)	(27618, 1)
55	(27519, 1)	(27520, 1)	(27618, 1)
56	(27519, 1)	(27520, 1)	(27618, 1)
57	(27519, 1)	(27520, 1)	(27618, 1)
58	(27519, 1)	(27520, 1)	(27618, 1)
59	(27519, 1)	(27520, 1)	(27618, 1)
60	(27167, 2)	(27709, 1)	(27709, 4)
61	(27167, 2)	(27709, 1)	(27709, 4)
62	(27167, 2)	(27709, 1)	(27709, 4)
63	(27167, 2)	(27709, 1)	(27709, 4)
64	(27167, 2)	(27709, 1)	(27709, 4)
65	(27167, 2)	(27709, 1)	(27709, 4)
66	(27167, 2)	(27709, 1)	(27709, 4)
67	(27167, 2)	(27709, 1)	(27709, 4)
68	(27167, 2)	(27709, 1)	(27709, 4)
69	(27167, 2)	(27709, 1)	(27709, 4)
70	(27167, 2)	(27709, 1)	(27709, 4)
71	(27167, 2)	(27709, 1)	(27709, 4)
72	(27167, 2)	(27709, 1)	(27709, 4)
73	(27167, 2)	(27709, 1)	(27709, 4)
74	(27167, 2)	(27709, 1)	(27709, 4)
75	(27167, 2)	(27709, 1)	(27709, 4)
76	(27167, 2)	(27709, 1)	(27709, 4)
77	(27167, 2)	(27709, 1)	(27709, 4)
78	(27167, 2)	(27709, 1)	(27709, 4)
79	(27167, 2)	(27709, 1)	(27709, 4)
80	(27167, 2)	(27709, 1)	(27709, 4)
81	(27167, 2)	(27709, 1)	(27709, 4)
82	(27167, 2)	(27709, 1)	(27709, 4)
83	(27167, 2)	(27709, 1)	(27709, 4)
84	(27167, 2)	(27709, 1)	(27709, 4)
85	(27167, 2)	(27709, 1)	(27709, 4)
86	(27167, 2)	(27709, 1)	(27709, 4)
87	(27167, 2)	(27709, 1)	(27709, 4)
88	(27167, 2)	(27709, 1)	(27709, 4)
89	(27167, 2)	(27709, 1)	(27709, 4)
90	(27167, 2)	(27709, 1)	(27709, 4)
91	(27167, 2)	(27709, 1)	(27709, 4)
92	(27167, 2)	(27709, 1)	(27709, 4)
93	(27167, 2)	(27709, 1)	(27709, 4)
94	(27167, 2)	(27709, 1)	(27709, 4)
95	(27167, 2)	(27709, 1)	(27709, 4)
96	(27167, 2)	(27709, 1)	(27709, 4)
97	(27167, 2)	(27709, 1)	(27709, 4)
98	(27167, 2)	(27709, 1)	(27709, 4)
99	(27167, 2)	(27709, 1)	(27709, 4)
100	(27167, 2)	(27709, 1)	(27709, 4)
101	(27167, 2)	(27709, 1)	(27709, 4)
102	(27167, 2)	(27709, 1)	(27709, 4)
103	(27167, 2)	(27709, 1)	(27709, 4)
104	(27167, 2)	(27709, 1)	(27709, 4)
105	(27167, 2)	(27709, 1)	(27709, 4)
106	(27167, 2)	(27709, 1)	(27709, 4)
107	(27167, 2)	(27709, 1)	(27709, 4)
108	(27167, 2)	(27709, 1)	(27709, 4)
109	(27167, 2)	(27709, 1)	(27709, 4)
110	(27167, 2)	(27709, 1)	(27709, 4)
111	(27167, 2)	(27709, 1)	(27709, 4)
112	(27167, 2)	(27709, 1)	(27709, 4)
113	(27167, 2)	(27709, 1)	(27709, 4)
114	(27167, 2)	(27709, 1)	(27709, 4)
115	(27167, 2)	(27709, 1)	(27709, 4)
116	(27167, 2)	(27709, 1)	(27709, 4)
117	(27167, 2)	(27709, 1)	(27709, 4)
118	(27167, 2)	(27709, 1)	(27709, 4)
119	(27167, 2)	(27709, 1)	(27709, 4)
120	(27167, 2)	(27709, 1)	(27709, 4)
121	(27167, 2)	(27709, 1)	(27709, 4)
122	(27167, 2)	(27709, 1)	(27709, 4)
123	(27167, 2)	(27709, 1)	(27709, 4)
124	(27167, 2)	(27709, 1)	(27709, 4)
125	(27167, 2)	(27709, 1)	(27709, 4)
126	(27167, 2)	(27709, 1)	(27709, 4)
127	(27167, 2)	(27709, 1)	(27709, 4)
128	(27167, 2)	(27709, 1)	(27709, 4)
129	(27167, 2)	(27709, 1)	(27709, 4)
130	(27167, 2)	(27709, 1)	(27709, 4)
131	(27167, 2)	(27709, 1)	(27709, 4)
132	(27167, 2)	(27709, 1)	(27709, 4)
133	(27167, 2)	(27709, 1)	(27709, 4)
134	(27167, 2)	(27709, 1)	(27709, 4)
135	(27167, 2)	(27709, 1)	(27709, 4)
136	(27167, 2)	(27709, 1)	(27709, 4)
137	(27167, 2)	(27709, 1)	(27709, 4)
138	(27167, 2)	(27709, 1)	(27709, 4)
139	(27167, 2)	(27709, 1)	(27709, 4)
140	(27167, 2)	(27709, 1)	(27709, 4)
141	(27167, 2)	(27709, 1)	(27709, 4)
142	(27167, 2)	(27709, 1)	(27709, 4)
143	(27167, 2)	(27709, 1)	(27709, 4)
144	(27167, 2)	(27709, 1)	(27709, 4)
145	(27167, 2)	(27709, 1)	(27709, 4)
146	(27167, 2)	(27709, 1)	(27709, 4)
147	(27167, 2)	(27709, 1)	(27709, 4)
148	(27167, 2)	(27709, 1)	(27709, 4)
149	(27167, 2)	(27709, 1)	(27709, 4)
150	(27167, 2)	(27709, 1)	(27709, 4)
151	(27167, 2)	(27709, 1)	(27709, 4)
152	(27167, 2)	(27709, 1)	(27709, 4)
