trade_id	shopType	goodsID	goodsName	goodsColor	goodsNum	needLevel	needMoney1	vipNeedMoney1	Moneytype
交易id	商城类型	商品ID	商品名字	商品颜色	商品数量	需要人物等级	需要货币数量	黄钻需要货币数量	货币类型
1	1	40211	远古符文_近攻_技攻	#ff06ff	8	40	20	16	2
2	1	40226	远古符文_近攻_暴击	#ff07ff	8	40	20	16	2
3	1	40241	远古符文_近攻_命中	#ff08ff	8	40	20	16	2
4	1	40256	远古符文_近攻_穿刺	#ff09ff	8	40	20	16	2
5	1	40271	远古符文_近攻_致命	#ff10ff	8	40	20	16	2
6	1	40286	远古符文_远攻_技攻	#ff11ff	8	40	20	16	2
7	1	40301	远古符文_远攻_暴击	#ff12ff	8	40	20	16	2
8	1	40316	远古符文_远攻_命中	#ff13ff	8	40	20	16	2
9	1	40331	远古符文_远攻_穿刺	#ff14ff	8	40	20	16	2
10	1	40346	远古符文_远攻_致命	#ff15ff	8	40	20	16	2
11	1	40361	远古符文_近防_生命	#ff16ff	8	40	20	16	2
12	1	40376	远古符文_近防_抗暴	#ff17ff	8	40	20	16	2
13	1	40391	远古符文_近防_闪避	#ff18ff	8	40	20	16	2
14	1	40406	远古符文_近防_格挡	#ff19ff	8	40	20	16	2
15	1	40421	远古符文_近防_反击	#ff20ff	8	40	20	16	2
16	1	40436	远古符文_远防_生命	#ff21ff	8	40	20	16	2
17	1	40451	远古符文_远防_抗暴	#ff22ff	8	40	20	16	2
18	1	40466	远古符文_远防_闪避	#ff23ff	8	40	20	16	2
19	1	40481	远古符文_远防_格挡	#ff24ff	8	40	20	16	2
20	1	40496	远古符文_远防_反击	#ff25ff	8	40	20	16	2
21	2	40211	远古符文_近攻_技攻	#ff06ff	0	40	20	16	2
22	2	40226	远古符文_近攻_暴击	#ff07ff	0	40	20	16	2
23	2	40241	远古符文_近攻_命中	#ff08ff	0	40	20	16	2
24	2	40256	远古符文_近攻_穿刺	#ff09ff	0	40	20	16	2
25	2	40271	远古符文_近攻_致命	#ff10ff	0	40	20	16	2
26	2	40286	远古符文_远攻_技攻	#ff11ff	0	40	20	16	2
27	2	40301	远古符文_远攻_暴击	#ff12ff	0	40	20	16	2
28	2	40316	远古符文_远攻_命中	#ff13ff	0	40	20	16	2
29	2	40331	远古符文_远攻_穿刺	#ff14ff	0	40	20	16	2
30	2	40346	远古符文_远攻_致命	#ff15ff	0	40	20	16	2
31	2	40361	远古符文_近防_生命	#ff16ff	0	40	20	16	2
32	2	40376	远古符文_近防_抗暴	#ff17ff	0	40	20	16	2
33	2	40391	远古符文_近防_闪避	#ff18ff	0	40	20	16	2
34	2	40406	远古符文_近防_格挡	#ff19ff	0	40	20	16	2
35	2	40421	远古符文_近防_反击	#ff20ff	0	40	20	16	2
36	2	40436	远古符文_远防_生命	#ff21ff	0	40	20	16	2
37	2	40451	远古符文_远防_抗暴	#ff22ff	0	40	20	16	2
38	2	40466	远古符文_远防_闪避	#ff23ff	0	40	20	16	2
39	2	40481	远古符文_远防_格挡	#ff24ff	0	40	20	16	2
40	2	40496	远古符文_远防_反击	#ff25ff	0	40	20	16	2
