boxIndex	NeedLevel	NeedCnt	rewardItems	LeftCounts
宝箱索引	需要等级	需要金猪	道具	剩余数量
1	[30,179]	3	(26033,1)	999
2	[30,179]	3	(26119,1)	999
3	[80,179]	2	(29033,1)	999
4	[100,179]	30	(28844,1)	100
5	[120,179]	60	(28894,1)	10
6	[120,179]	100	(28376,1)	6
7	[70,179]	100	(28353,1)	6
8	[50,179]	100	(26608,1)	2
9	[60,179]	600	(28253,1)	1
10	[60,179]	4800	(29326,1)	1
11	[80,179]	3600	(26439,1)	1
12	[80,179]	3000	(26459,1)	1
13	[80,179]	1200	(26438,1)	2
14	[80,179]	800	(27880,1)	2
15	[80,179]	150	(28042,1)	999
16	[30,179]	90	(27521,1)	999
17	[60,179]	100	(27624,1)	999
18	[75,179]	50	(27709,1)	999
