id	item	levelRange	rate	isSuperReward	isLocal	isCross
索引	物品	等级段	概率	超级抽奖可抽	本服榜	全服榜
1	(29327,1)	[100,179]	500	1	0	0
2	(27712,1)	[100,179]	5	1	0	0
3	(27709,1)	[100,179]	40	1	0	0
4	(28564,1)	[100,179]	200	1	0	0
5	(29326,1)	[100,179]	1	1	1	1
6	(28572,1)	[100,179]	200	1	0	0
7	(28563,1)	[100,179]	1541	1	0	0
8	(28253,1)	[100,179]	5	1	1	1
9	(28571,1)	[100,179]	1542	1	0	0
10	(29332,1)	[100,179]	1100	1	0	0
11	(26439,1)	[100,179]	1	1	1	1
12	(27566,1)	[100,179]	300	1	0	0
13	(27167,1)	[100,179]	150	1	0	0
14	(26459,1)	[100,179]	2	1	1	1
15	(29329,1)	[100,179]	2000	1	0	0
16	(28035,1)	[100,179]	300	1	0	0
17	(26438,1)	[100,179]	2	1	1	1
18	(27518,1)	[100,179]	300	1	0	0
19	(27621,1)	[100,179]	300	1	0	0
20	(27880,1)	[100,179]	5	1	1	1
21	(29330,1)	[100,179]	1000	1	0	0
22	(29331,1)	[100,179]	1000	1	0	0
23	(29327,1)	[80,99]	500	1	0	0
24	(29331,1)	[80,99]	1775	1	0	0
25	(29330,1)	[80,99]	1775	1	0	0
26	(29326,1)	[80,99]	1	1	1	1
27	(27621,1)	[80,99]	300	1	0	0
28	(27518,1)	[80,99]	300	1	0	0
29	(28253,1)	[80,99]	5	1	1	1
30	(28035,1)	[80,99]	300	1	0	0
31	(29329,1)	[80,99]	1500	1	0	0
32	(26439,1)	[80,99]	1	1	1	1
33	(27167,1)	[80,99]	150	1	0	0
34	(27566,1)	[80,99]	300	1	0	0
35	(26459,1)	[80,99]	2	1	1	1
36	(29332,1)	[80,99]	1100	1	0	0
37	(29334,1)	[80,99]	500	1	0	0
38	(26438,1)	[80,99]	2	1	1	1
39	(26221,20)	[80,99]	500	1	0	0
40	(28353,1)	[80,99]	20	1	0	0
41	(27880,1)	[80,99]	5	1	1	1
42	(29333,1)	[80,99]	1413	1	0	0
43	(27712,1)	[80,99]	5	1	0	0
44	(27709,1)	[80,99]	40	1	0	0
45	(29327,1)	[30,79]	500	1	0	0
46	(29330,1)	[30,79]	2000	1	0	0
47	(29331,1)	[30,79]	2000	1	0	0
48	(28253,1)	[30,79]	5	1	1	1
49	(27518,1)	[30,79]	300	1	0	0
50	(27621,1)	[30,79]	300	1	0	0
51	(27618,1)	[30,79]	10	1	1	1
52	(27566,1)	[30,79]	191	1	0	0
53	(29335,1)	[30,79]	1000	1	0	0
54	(27625,1)	[30,79]	8	1	1	1
55	(25600,5)	[30,79]	400	1	0	0
56	(25600,10)	[30,79]	100	1	0	0
57	(27521,1)	[30,79]	20	1	1	1
58	(26933,1)	[30,79]	400	1	0	0
59	(26934,1)	[30,79]	800	1	0	0
60	(27624,1)	[30,79]	16	1	1	1
61	(26344,5)	[30,79]	400	1	0	0
62	(26344,10)	[30,79]	100	1	0	0
63	(27712,1)	[30,79]	5	1	0	0
64	(26925,1)	[30,79]	900	1	0	0
65	(26924,1)	[30,79]	900	1	0	0
66	(27709,1)	[30,79]	40	1	0	0
