actId	startDay	endDay	tabEndDay	title	name	bg	type	level	actContent	linkTitle	num
活动ID	活动开始时间(距离开服的天数)	活动结束时间(距离开服的天数)	页签消失时间（距离开服的天数）	标题艺术字	名字	背景图	类型	显示等级	活动内容	活动内容后面超链接	奖励数量
1	1	7	7		累计充值	QRHD_LJCZ_RU	1	20	活动开启时间内，个人每天累计购买神石达到指定数量即可领取奖励		5
2	1	7	7		首充	QRHD_SC_RU	1	20	活动期间，首次充值任意金额即可领取奖励。每人在活动期间只能领取一次奖励。		1
3	1	7	7		每日首笔消费	QRHD_SBXF_RU	1	20	活动期间，每天首笔消费任意神石，即可领取奖励。每种奖励每天限领1次。		1
4	1	7	7		点石成金	QRHD_DSCJ_RU	1	20	活动期间，每日炼金次数达到条件，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。		2
5	1	7	7		坐骑培养	QRHD_ZQYC_RU	1	20	活动期间，每日坐骑培养相应次数，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。		4
6	1	7	7		登陆领奖	QRHD_LJDL_RU	1	20	活动期间，每天登陆游戏，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。		7
7	1	7	7		心魔挑战	QRHD_XMTZ_RU	1	20	活动期间，每日通关心魔炼狱一定的次数，即可领取奖励。每种奖励每天限领1次。		4
9	1	7	7		挑战竞技场	QRHD_JJC_RU	1	20	活动期间，每天参与挑战竞技场的玩法一定次数，即可领取奖励。每种奖励每天限领1次。		3
10	1	7	7		挑战副本	QRHD_FB_RU	1	20	活动期间，每天参与挑战副本的玩法一定次数，即可领取奖励。每种奖励每天限领1次。		1
11	1	7	7		挑战公会副本	QRHD_GHFB_RU	1	20	活动期间，每天参与挑战公会副本的玩法一定次数，即可领取奖励。每种奖励每天限领1次。		2
12	1	7	7		勇斗领主	QRHD_YDLZ_RU	1	20	活动期间，每天参与勇斗领主的玩法一定次数，即可领取奖励。每种奖励每天限领1次。		1
13	1	7	7		每日在线	QRHD_MRZX_RU	1	20	活动期间, 每日连续在线一定时间赢取海量奖励		3
