goodsId	startTime	endTime	UnbindRMB	needQ	needUnbindRMB	needLevel	coding	goodsType	buyLimit
商品ID	开始售卖时间	结束售卖时间	原来的神石	是否需要充值神石(1。需要，0不需要)	需要的神石	需要的等级	物品coding	出售的货物类型(1,物品 2，宠物 3，英雄)	限购数量（类型（1每日限购，2.永久限购），数量）
1	(2014,11,17,0,0,0)	(2014,11,20,23,59,59)	300	1	195	20	27096	1	0
2	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	3995	1	1995	20	37009	1	0
3	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	3995	1	1995	20	37010	1	0
4	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	3995	1	1995	20	37011	1	0
5	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	3995	1	1995	20	37014	1	0
6	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	9995	1	4995	20	92	3	0
7	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	995	1	495	20	37008	1	0
8	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	1395	1	695	20	37005	1	0
9	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	1395	1	695	20	37006	1	0
10	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	795	1	395	20	26676	1	0
11	(2014,11,28,0,0,0)	(2014,11,28,23,59,59)	95	1	35	20	26677	1	0
12	(2014,12,5,0,0,0)	(2014,12,11,23,59,59)	95	1	35	30	27477	1	(1,20)
13	(2014,12,5,0,0,0)	(2014,12,7,23,59,59)	795	1	398	30	27478	1	(1,20)
14	(2014,12,8,0,0,0)	(2014,12,11,23,59,59)	150	1	55	30	27479	1	(1,20)
15	(2014,12,12,0,0,0)	(2014,12,18,23,59,59)	95	1	35	30	27543	1	(1,20)
16	(2014,12,19,0,0,0)	(2014,12,25,23,59,59)	95	1	35	30	27544	1	(1,20)
17	(2014,12,22,0,0,0)	(2014,12,25,23,59,59)	795	1	395	30	26042	1	(1,10)
18	(2014,12,26,0,0,0)	(2015,1,6,23,59,59)	95	1	35	30	27589	1	(1,20)
19	(2014,12,29,0,0,0)	(2015,1,1,23,59,59)	300	1	195	30	27592	1	(1,20)
20	(2015,1,9,0,0,0)	(2015,1,15,23,59,59)	150	1	55	30	27479	1	(1,20)
21	(2015,1,16,0,0,0)	(2015,1,22,23,59,59)	80	1	25	30	27656	1	(1,50)
22	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	3995	1	1995	30	37009	1	(2,1)
23	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	3995	1	1995	30	37010	1	(2,1)
24	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	3995	1	1995	30	37011	1	(2,1)
25	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	3995	1	1995	30	37014	1	(2,1)
26	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	3995	1	1995	30	37013	1	(2,1)
27	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	995	1	495	30	37004	1	(2,1)
28	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	1395	1	695	30	37001	1	(2,1)
29	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	1395	1	695	30	37002	1	(2,1)
30	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	795	1	395	30	26676	1	0
31	(2015,1,17,0,0,0)	(2015,1,17,23,59,59)	95	1	35	30	26677	1	0
32	(2015,1,23,0,0,0)	(2015,1,29,23,59,59)	150	1	55	30	27692	1	(1,20)
33	(2015,1,26,0,0,0)	(2015,1,29,23,59,59)	150	1	55	30	27693	1	(1,50)
34	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	995	1	495	30	1	2	(2,4)
35	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	995	1	495	30	2	2	(2,4)
36	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	995	1	495	30	3	2	(2,4)
37	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	6995	1	2995	30	27028	1	(2,1)
38	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	395	1	195	30	26161	1	0
39	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	395	1	195	30	26166	1	0
40	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	395	1	195	30	26162	1	0
41	(2015,1,24,0,0,0)	(2015,1,24,23,59,59)	25	1	15	30	26221	1	0
42	(2015,1,30,0,0,0)	(2015,2,5,23,59,59)	150	1	55	30	27697	1	(1,20)
43	(2015,2,3,0,0,0)	(2015,2,5,23,59,59)	150	1	55	30	27693	1	(1,50)
44	(2015,1,30,0,0,0)	(2015,2,2,23,59,59)	300	1	125	30	27592	1	(1,50)
45	(2015,2,6,0,0,0)	(2015,2,12,23,59,59)	500	1	225	30	27832	1	(1,20)
46	(2015,2,20,0,0,0)	(2015,2,26,23,59,59)	150	1	55	30	27829	1	(1,50)
47	(2015,2,27,0,0,0)	(2015,3,5,23,59,59)	150	1	55	30	27831	1	(1,50)
48	(2015,2,22,0,0,0)	(2015,2,26,23,59,59)	795	1	395	30	26042	1	(1,10)
49	(2015,2,14,0,0,0)	(2015,2,15,23,59,59)	355	1	155	30	27858	1	0
50	(2015,2,14,0,0,0)	(2015,2,15,23,59,59)	95	1	35	30	27859	1	0
51	(2015,2,14,0,0,0)	(2015,2,15,23,59,59)	2295	1	1595	30	27860	1	(1,1)
52	(2015,3,6,0,0,0)	(2015,3,12,23,59,59)	995	1	595	30	27923	1	(1,1)
53	(2015,3,6,0,0,0)	(2015,3,12,23,59,59)	200	1	75	30	27924	1	0
54	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	3995	1	1995	30	37009	1	(1,1)
55	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	3995	1	1995	30	37010	1	(1,1)
56	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	3995	1	1995	30	37011	1	(1,1)
57	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	3995	1	1995	30	37014	1	(1,1)
58	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	3995	1	1995	30	37013	1	(1,1)
59	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	3995	1	1995	30	37012	1	(1,1)
60	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	995	1	495	30	37004	1	(1,1)
61	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	1395	1	695	30	37001	1	(1,1)
62	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	1395	1	695	30	37002	1	(1,1)
63	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	995	1	495	30	37008	1	(1,1)
64	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	1395	1	695	30	37005	1	(1,1)
65	(2015,3,14,0,0,0)	(2015,3,14,23,59,59)	995	1	495	30	37006	1	(1,1)
66	(2015,4,10,0,0,0)	(2015,4,16,23,59,59)	150	1	55	30	28263	1	(1,100)
67	(2015,5,1,0,0,0)	(2015,5,7,23,59,59)	155	1	75	30	28297	1	(1,50)
68	(2015,5,1,0,0,0)	(2015,5,7,23,59,59)	995	1	500	30	28298	1	(1,15)
69	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	6995	1	2995	30	27028	1	(2,1)
70	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	3995	1	1995	30	37009	1	(2,1)
71	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	3995	1	1995	30	37010	1	(2,1)
72	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	3995	1	1995	30	37011	1	(2,1)
73	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	3995	1	1995	30	37012	1	(2,1)
74	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	3995	1	1995	30	37013	1	(2,1)
75	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	3995	1	1995	30	37014	1	(2,1)
76	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	1395	1	695	30	37001	1	(2,1)
77	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	1395	1	695	30	37002	1	(2,1)
78	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	995	1	495	30	37004	1	(2,1)
79	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	1395	1	695	30	37005	1	(2,1)
80	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	995	1	495	30	37006	1	(2,1)
81	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	995	1	495	30	37008	1	(2,1)
82	(2015,5,12,0,0,0)	(2015,5,14,23,59,59)	1595	1	995	30	37030	1	(2,1)
83	(2015,6,5,0,0,0)	(2015,6,7,23,59,59)	150	1	55	30	28391	1	(1,20)
84	(2015,6,8,0,0,0)	(2015,6,11,23,59,59)	1595	1	795	30	28392	1	(1,20)
85	(2015,6,12,0,0,0)	(2015,6,18,23,59,59)	355	1	155	30	28424	1	(1,20)
86	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3995	1	1995	30	37009	1	(2,1)
87	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3995	1	1995	30	37010	1	(2,1)
88	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3995	1	1995	30	37011	1	(2,1)
89	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3995	1	1995	30	37012	1	(2,1)
90	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3995	1	1995	30	37013	1	(2,1)
91	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3995	1	1995	30	37014	1	(2,1)
92	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	1395	1	695	30	37001	1	(2,1)
93	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	1395	1	695	30	37002	1	(2,1)
94	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	995	1	495	30	37004	1	(2,1)
95	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	1395	1	695	30	37018	1	(2,1)
96	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	1395	1	695	30	37019	1	(2,1)
97	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	995	1	495	30	37020	1	(2,1)
98	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3495	1	3495	30	37027	1	(2,1)
99	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	3495	1	3495	30	37028	1	(2,1)
100	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	2495	1	2495	30	37029	1	(2,1)
101	(2015,6,29,0,0,0)	(2015,6,30,23,59,59)	6995	1	2995	30	27028	1	(2,1)
102	(2015,7,3,0,0,0)	(2015,7,9,23,59,59)	395	1	295	30	28510	1	(1,20)
103	(2015,7,10,0,0,0)	(2015,7,16,23,59,59)	150	1	55	30	28522	1	(1,100)
104	(2015,7,10,0,0,0)	(2015,7,16,23,59,59)	795	1	355	30	28523	1	(1,10)
105	(2015,7,17,0,0,0)	(2015,7,23,23,59,59)	395	1	295	30	28524	1	(1,50)
106	(2015,7,17,0,0,0)	(2015,7,23,23,59,59)	95	1	45	30	28525	1	(1,10)
107	(2015,7,24,0,0,0)	(2015,7,29,23,59,59)	395	1	295	30	28524	1	(1,30)
108	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3995	1	1995	30	37009	1	(2,1)
109	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3995	1	1995	30	37010	1	(2,1)
110	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3995	1	1995	30	37011	1	(2,1)
111	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3995	1	1995	30	37012	1	(2,1)
112	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3995	1	1995	30	37013	1	(2,1)
113	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3995	1	1995	30	37014	1	(2,1)
114	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	1395	1	695	30	37001	1	(2,1)
115	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	1395	1	695	30	37002	1	(2,1)
116	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	995	1	495	30	37004	1	(2,1)
117	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	1395	1	695	30	37018	1	(2,1)
118	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	1395	1	695	30	37019	1	(2,1)
119	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	995	1	495	30	37020	1	(2,1)
120	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3495	1	3495	30	37027	1	(2,1)
121	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	3495	1	3495	30	37028	1	(2,1)
122	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	2495	1	2495	30	37029	1	(2,1)
123	(2015,7,30,0,0,0)	(2015,7,31,23,59,59)	6995	1	2995	30	27028	1	(2,1)
124	(2015,8,7,0,0,0)	(2015,8,13,23,59,59)	150	0	55	30	28598	1	(1,100)
125	(2015,8,9,0,0,0)	(2015,8,10,23,59,59)	9995	1	6995	30	28600	1	(2,1)
126	(2015,8,11,0,0,0)	(2015,8,12,23,59,59)	9995	1	6995	30	28601	1	(2,1)
127	(2015,8,13,0,0,0)	(2015,8,14,23,59,59)	6995	1	4995	30	28602	1	(1,1)
128	(2015,8,15,0,0,0)	(2015,8,16,23,59,59)	3995	1	1995	30	28603	1	(1,5)
129	(2015,8,14,0,0,0)	(2015,8,20,23,59,59)	395	0	195	30	28599	1	(1,10)
130	(2015,9,7,0,0,0)	(2015,9,10,23,59,59)	3995	1	1995	30	28603	1	(1,5)
131	(2015,9,7,0,0,0)	(2015,9,10,23,59,59)	6995	1	4995	30	28602	1	(1,1)
132	(2015,9,14,0,0,0)	(2015,9,17,23,59,59)	795	0	395	30	28298	1	(1,15)
133	(2015,9,14,0,0,0)	(2015,9,17,23,59,59)	395	0	195	30	28698	1	(1,10)
134	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	495	1	95	30	28730	1	(2,1)
135	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	995	1	395	30	28731	1	(2,1)
136	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	1995	1	795	30	28732	1	(2,1)
137	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	2995	1	1295	30	28733	1	(2,1)
138	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	3995	1	1795	30	28734	1	(2,1)
139	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	4995	1	2495	30	28735	1	(2,1)
140	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	9995	1	4995	30	28736	1	(2,1)
141	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	19995	1	9995	30	28737	1	(2,1)
142	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	29995	1	14995	30	28738	1	(2,1)
143	(2015,9,16,0,0,0)	(2015,9,17,23,59,59)	49995	1	24995	30	28739	1	(2,1)
144	(2015,9,18,0,0,0)	(2015,9,24,23,59,59)	195	1	95	30	28740	1	(1,50)
145	(2015,9,18,0,0,0)	(2015,9,24,23,59,59)	795	0	495	30	28741	1	(1,20)
146	(2015,9,18,0,0,0)	(2015,9,24,23,59,59)	195	1	95	30	28742	1	(1,50)
147	(2015,9,25,0,0,0)	(2015,10,1,23,59,59)	150	0	55	30	28781	1	(1,100)
148	(2015,9,25,0,0,0)	(2015,10,1,23,59,59)	195	0	95	30	28782	1	(1,20)
149	(2015,10,2,0,0,0)	(2015,10,8,23,59,59)	395	0	195	30	28783	1	(1,10)
150	(2015,10,2,0,0,0)	(2015,10,6,23,59,59)	3995	1	1995	30	28603	1	(1,5)
151	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	1180	1	595	30	26225	1	(2,5)
152	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	1770	1	895	30	28032	1	(2,5)
153	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	1180	1	595	30	26229	1	(2,5)
154	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	14995	1	4995	30	27492	1	(2,1)
155	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	17995	1	8995	30	28253	1	(2,1)
156	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	6995	1	2995	30	27028	1	(2,1)
157	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	3495	1	2495	30	37027	1	(2,1)
158	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	3495	1	2495	30	37028	1	(2,1)
159	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	2495	1	1495	30	37029	1	(2,1)
160	(2015,10,9,0,0,0)	(2015,10,15,23,59,59)	6995	1	2995	30	26972	1	(2,1)
161	(2015,10,5,0,0,0)	(2015,10,8,23,59,59)	395	0	195	30	28807	1	(1,20)
162	(2015,10,5,0,0,0)	(2015,10,8,23,59,59)	995	0	595	30	28808	1	(1,2)
163	(2015,10,13,0,0,0)	(2015,10,15,23,59,59)	150	0	55	30	28809	1	(1,30)
164	(2015,10,18,0,0,0)	(2015,10,22,23,59,59)	795	0	495	30	28741	1	(1,20)
165	(2015,10,18,0,0,0)	(2015,10,22,23,59,59)	195	1	95	30	28842	1	(1,50)
166	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	9995	0	7996	30	27038	1	(2,1)
167	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	9995	0	7996	30	27565	1	(2,1)
168	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	50	0	40	30	26932	1	(2,100)
169	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	50	0	40	30	26933	1	(2,100)
170	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	50	0	40	30	26934	1	(2,100)
171	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	500	0	400	30	26935	1	(2,2)
172	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	25	0	20	30	26936	1	(2,100)
173	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	5995	0	3995	30	37012	1	(2,1)
174	(2015,10,23,0,0,0)	(2015,10,29,23,59,59)	5995	0	3995	30	37014	1	(2,1)
175	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	4720	0	1416	30	26928	1	(2,5)
176	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	7000	0	2100	30	28043	1	(2,5)
177	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	4720	0	1416	30	26930	1	(2,5)
178	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	14995	1	4995	30	27492	1	(2,1)
179	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	17995	1	8995	30	28253	1	(2,1)
180	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	6995	0	2995	30	27028	1	(2,1)
181	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	3495	0	2495	30	37039	1	(2,1)
182	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	3495	0	2495	30	37040	1	(2,1)
183	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	3995	0	2495	30	37041	1	(2,1)
184	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	5995	0	3995	30	37042	1	(2,1)
185	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	6995	0	2995	30	26972	1	(2,1)
186	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	65	0	20	30	26450	1	(2,20)
187	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	500	0	200	30	27939	1	(2,10)
188	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	95	0	20	30	26144	1	(2,100)
189	(2015,10,30,0,0,0)	(2015,10,31,23,59,59)	50	0	20	30	25837	1	(2,100)
190	(2015,11,2,0,0,0)	(2015,11,3,23,59,59)	14995	1	4995	30	28039	1	(2,1)
191	(2015,11,2,0,0,0)	(2015,11,3,23,59,59)	65	0	20	30	26450	1	(2,20)
192	(2015,11,2,0,0,0)	(2015,11,3,23,59,59)	500	0	200	30	27939	1	(2,10)
193	(2015,11,2,0,0,0)	(2015,11,3,23,59,59)	95	0	20	30	26144	1	(2,100)
194	(2015,11,2,0,0,0)	(2015,11,3,23,59,59)	50	0	20	30	25837	1	(2,100)
195	(2015,11,6,0,0,0)	(2015,11,7,23,59,59)	39995	1	12995	30	27178	1	(2,1)
196	(2015,11,6,0,0,0)	(2015,11,7,23,59,59)	65	0	20	30	26450	1	(2,20)
197	(2015,11,6,0,0,0)	(2015,11,7,23,59,59)	500	0	200	30	27939	1	(2,10)
198	(2015,11,6,0,0,0)	(2015,11,7,23,59,59)	95	0	20	30	26144	1	(2,100)
199	(2015,11,6,0,0,0)	(2015,11,7,23,59,59)	50	0	20	30	25837	1	(2,100)
200	(2015,11,10,0,0,0)	(2015,11,11,23,59,59)	39995	1	12995	30	26482	1	(2,1)
201	(2015,11,10,0,0,0)	(2015,11,11,23,59,59)	65	0	20	30	26450	1	(2,20)
202	(2015,11,10,0,0,0)	(2015,11,11,23,59,59)	500	0	200	30	27939	1	(2,10)
203	(2015,11,10,0,0,0)	(2015,11,11,23,59,59)	95	0	20	30	26144	1	(2,100)
204	(2015,11,10,0,0,0)	(2015,11,11,23,59,59)	50	0	20	30	25837	1	(2,100)
205	(2016,1,10,0,0,0)	(2016,1,12,23,59,59)	3995	1	1995	30	28603	1	(1,5)
206	(2016,1,15,0,0,0)	(2016,1,17,23,59,59)	16235	1	13725	30	29336	1	(2,3)
207	(2016,1,15,0,0,0)	(2016,1,17,23,59,59)	16235	1	13725	30	29337	1	(2,3)
208	(2016,2,19,0,0,0)	(2016,2,21,23,59,59)	16235	1	13725	30	29336	1	(2,3)
209	(2016,2,19,0,0,0)	(2016,2,21,23,59,59)	16235	1	13725	30	29337	1	(2,3)
210	(2016,2,12,12,0,0)	(2016,2,14,23,59,59)	1125	1	840	30	29420	1	(1,50)
211	(2016,2,12,12,0,0)	(2016,2,14,23,59,59)	2295	0	1595	30	29421	1	(2,1)
