level	exp
等级	升级经验
1	50
2	100
3	200
4	250
5	300
6	400
7	500
8	600
9	700
10	800
11	900
12	1000
13	1300
14	1500
15	1800
16	2100
17	2500
18	2900
19	3400
20	8800
21	11500
22	13100
23	15000
24	16900
25	19100
26	21400
27	23900
28	26600
29	29500
30	57900
31	63800
32	70100
33	76800
34	84000
35	91500
36	99500
37	108000
38	116900
39	126300
40	212800
41	213600
42	215600
43	231300
44	247700
45	317800
46	339400
47	361900
48	385400
49	409900
50	522500
51	522500
52	522500
53	553100
54	584900
55	617900
56	652100
57	687600
58	724400
59	762400
60	1091200
61	1102100
62	1123600
63	1136800
64	1191700
65	1426600
66	1493400
67	1562200
68	1633000
69	1706000
70	2035600
71	2051200
72	2073800
73	2098700
74	2186000
75	2275700
76	2367900
77	2462400
78	2559500
79	2659100
80	3494700
81	3525300
82	3549800
83	3577500
84	3708200
85	4269000
86	4421300
87	4577200
88	4736700
89	4899800
90	5029700
91	5036400
92	5074800
93	5129800
94	5131700
95	5297100
96	5466000
97	5638500
98	5814500
99	5994200
100	6174800
101	6181000
102	6263300
103	6449100
104	6638600
105	7452900
106	7667700
107	7886600
108	8109600
109	8336800
110	8347100
111	8360000
112	8395000
113	8400000
114	8437500
115	8456000
116	8678400
117	8904600
118	9134700
119	9368700
120	9674500
121	9717000
122	9806000
123	10049000
124	10295900
125	11358100
126	11632600
127	11911600
128	12195000
129	12482900
130	12557900
131	12600000
132	12650000
133	12708000
134	12748500
135	12766600
136	13052200
137	13342100
138	13636200
139	13934600
140	14043800
141	14310000
142	14410000
143	14515500
144	14821900
145	16141500
146	16477500
147	16518200
148	16763500
149	16813500
150	16830000
151	16840000
152	16850000
153	16991200
154	17326300
155	17665800
156	18009700
157	18358100
158	18710900
159	19068200
160	19324600
161	19525000
162	19974000
163	20000000
164	20001500
165	20047800
166	20414200
167	20785100
168	21160500
169	21540400
170	21580000
171	22040000
172	22100000
173	22205300
174	22592300
175	22983800
176	23379800
177	23780300
178	24185400
179	24595100
180	24865300
181	25130000
182	25205600
183	25623100
184	26045100
185	27865100
186	28319100
187	28778000
188	29241900
189	29710700
190	29773200
191	29862900
192	29905700
193	30000000
194	30065400
195	30532500
196	31004300
197	31481000
198	31962600
199	32449000
200	36316800
