skillId	level	maxLevel	needSkill	skillType	needSkillPoint	name	isAutoEquip	isKill	levelUpName	levelUpEffect	levelUpNumber	coolCD	needMoral	iconImg	desc
技能ID	等级	最大等级	需要前置技能	技能类型（1=主动，2=被动）	需要技能点	名字(策划用)	是否自动装备技能	是否是必杀技能	技能升级时名称显示	技能升级时增加的效果	技能升级后的数值变化	冷却回合	所需怒气值	图标	技能描述
2001	1	5	()	1	0	蓝龙突袭	1	0	ZDZY_JN_TextLLTX2	JN_TextSHZJ	0		0	jnbm5	攻击敌方前排随机#C(#00FF00)单体#n目标，造成100%攻击伤害+150伤害，获得8点怒气值。#H#C(#FF0000)该技能无法下阵或更换位置#n
2001	2	5	(2003,1)	1	10	蓝龙突袭	1	0	ZDZY_JN_TextLLTX2	JN_TextSHZJ	300		0	jnbm5	攻击敌方前排随机#C(#00FF00)单体#n目标，造成100%攻击伤害+300伤害，获得8点怒气值。#H#C(#FF0000)该技能无法下阵或更换位置#n
2001	3	5	(2003,2)	1	10	蓝龙突袭	1	0	ZDZY_JN_TextLLTX2	JN_TextSHZJ	450		0	jnbm5	攻击敌方前排随机#C(#00FF00)单体#n目标，造成100%攻击伤害+450伤害，获得8点怒气值。#H#C(#FF0000)该技能无法下阵或更换位置#n
2001	4	5	(2003,3)	1	15	蓝龙突袭	1	0	ZDZY_JN_TextLLTX2	JN_TextSHZJ	600		0	jnbm5	攻击敌方前排随机#C(#00FF00)单体#n目标，造成100%攻击伤害+600伤害，获得8点怒气值。#H#C(#FF0000)该技能无法下阵或更换位置#n
2001	5	5	(2003,4)	1	15	蓝龙突袭	1	0	ZDZY_JN_TextLLTX2	JN_TextSHZJ	750		0	jnbm5	攻击敌方前排随机#C(#00FF00)单体#n目标，造成100%攻击伤害+750伤害，获得8点怒气值。#H#C(#FF0000)该技能无法下阵或更换位置#n
2002	1	5	(2001,1)	1	15	护盾	0	0	ZDZY_JN_TextHD	JN_TextSHZJ	0	3	15	jnbm6	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)护盾#n，释放一个护盾吸收相当于自己攻击80%伤害，最多承受3次攻击，消耗15点怒气值
2002	2	5	(2001,2)	1	15	护盾	0	0	ZDZY_JN_TextHD	JN_TextSHZJ	300	3	15	jnbm6	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)护盾#n，释放一个护盾吸收相当于自己攻击90%伤害，最多承受3次攻击，消耗15点怒气值
2002	3	5	(2001,3)	1	15	护盾	0	0	ZDZY_JN_TextHD	JN_TextSHZJ	450	3	15	jnbm6	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)护盾#n，释放一个护盾吸收相当于自己攻击100%伤害，最多承受3次攻击，消耗15点怒气值
2002	4	5	(2001,4)	1	18	护盾	0	0	ZDZY_JN_TextHD	JN_TextSHZJ	600	3	15	jnbm6	#C(#00FF00)冷却回合：3回合#n#H#C(#FF0000)护盾#n，释放一个护盾吸收相当于自己攻击110%伤害，最多承受3次攻击，消耗15点怒气值
