actId	startDay	endDay	tabEndDay	title	name	bg	type	level	actContent	linkTitle	num
活动ID	活动开始时间(距离开服的天数)	活动结束时间(距离开服的天数)	页签消失时间（距离开服的天数）	标题艺术字	名字	背景图	类型	显示等级	活动内容	活动内容后面超链接	奖励数量
1	8	14	15		体力大作战	KFHD_TLDZZ_US	1	26	活动期间，每天消耗体力达到一定数量，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。		2
2	2	8	9		每日必做奖励	KFHD_HYDJL_US	1	32	活动期间，每日必做积分达到条件，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。		2
3	8	14	15		坐骑培养	KFHD_ZQPY_US	1	20	活动期间，坐骑等级达到条件，即可领取奖励。每种奖励只能领取1次。		3
4	22	28	29		炼金奖励	KFHD_LJJL_US	1	30	活动期间，每日炼金次数达到条件，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。		4
5	8	12	12		在线奖励1	KFHD_ZXJL_US	1	20	活动期间，每天累计在线时间达到条件即可领奖。每种奖励每天限领1次。每天的奖励只能当天领取。		3
6	22	28	28		在线奖励2	KFHD_ZXJL2_US	1	20	活动期间，每天累计在线时间达到条件即可领奖。每种奖励每天限领1次。每天的奖励只能当天领取。		3
7	22	28	29		占卜送大礼	KFHD_ZBSDL_US	1	50	活动期间，累计获得的黄色命魂数量达到条件即可领奖。每种奖励活动期间只能领取1次。		3
8	8	14	15		命魂等级奖励	KFHD_MHDJJL_US	1	50	活动期间，任意1个紫色以上命魂达到等级即可领取奖励。每种奖励活动期间只能领取1次。		3
9	15	21	22		神器收集奖励	KFHD_SQSJ_US	1	60	活动期间，获得指定的神器达到一定数量即可领奖。每种奖励活动期间只能领取1次。		4
10	15	21	22		公会副本奖励	KFHD_GHFB_US	1	60	活动期间，通关公会副本的梦幻森林中的指定关卡即可领奖。每种奖励活动期间只能领取1次。		3
11	5	7	8		神龙等级奖励	KFHD_SLDJ_US	1	30	活动期间，神龙等级达到指定等级即可领取奖励。每种奖励活动期间只能领取1次。		2
12	15	21	22		符文购买奖励	KFHD_FWGM_US	1	60	活动期间，购买4级符文达到一定数量即可领奖。每种奖励活动期间只能领取1次。		3
13	8	14	14		坐骑培养次数	KFHD_ZQCS_US	1	20	活动期间，坐骑次数，每日坐骑培养达到一定次数即可领奖。		4
14	1	7	8		坐骑一起冲1	KFHD_ZQYQC1_US	1	20	活动期间，培养坐骑达到指定等级的人数满足要求，达到指定贵族等级的玩家可以领取奖励。 		3
15	8	14	15		坐骑一起冲2	KFHD_ZQYQC2_US	1	20	活动期间，培养坐骑达到指定等级的人数满足要求，达到指定贵族等级的玩家可以领取奖励。		5
16	15	21	21		羽翼培养次数	KFHD_YYPYCS_US	1	20	活动期间，每天培养一定的羽翼次数，即可领取奖励。每种奖励每天限领1次。每天的奖励只能当天领取。		3
17	15	21	22		羽翼培养等级	KFHD_YYPYDJ_US	1	20	活动期间，羽翼等级达到条件，即可领取奖励。每种奖励活动期间只能领取1次。		4
18	22	28	29		宠物大师	KFHD_CWDS_US	1	20	活动期间，培养指定数量的宠物到达相应星级，即可领取奖励。每个奖励仅且只能领取一次奖励。		16
19	22	28	28		宠物培养	KFHD_CWPY_US	1	20	活动期间，每日宠物培养一定次数获得奖励，即可领取奖励。每种奖励每日限领1次。每日的奖励只能当天领取。		2
20	15	21	22		符文合成	KFHD_FWHC_US	1	20	活动期间，合成任意1个符文达到指定等级，可领取奖励。每个奖励仅且只能领取一次奖励。		3
