LiBaoID	SDType	Cnt	RealPrice	MoneyType	Items	RealItems	RewardMoney	RewardRMB	RewardBindRMB	LiBaoName
礼包ID	所属主题类型（关联CircleActivity.activeType）	限购数量	真实价格	0:充值，1：充值/奖励	礼包物品(客户端)	奖励物品	金币	奖励神石	魔晶	物品名称
1	201	50	150	0	[(26639,2)]	[(26639,2)]	0	0	0	初级坐骑经验礼包
2	201	10	660	0	[(26640,5)]	[(26640,5)]	0	0	0	中级坐骑经验礼包
3	201	1	1200	0	[(26638,1)]	[(26638,1)]	0	0	0	坐骑升星礼包
4	202	50	148	0	[(25600,20)]	[(25600,20)]	0	0	0	坐骑培养礼包
5	202	10	720	0	[(25600,100),(26034,1)]	[(25600,100),(26034,1)]	0	0	0	坐骑培养大礼包
6	202	5	1380	0	[(25600,200),(25828,1880000)]	[(25600,200)]	1880000	0	0	坐骑培养返利礼包
7	203	4	400	0	[(25748,4),(26035,1),(26047,100)]	[(25748,4),(26035,1)]	0	100	0	攻击宝石礼包
8	203	2	800	0	[(25756,4),(26035,1),(26047,200)]	[(25756,4),(26035,1)]	0	200	0	生命宝石礼包
9	203	1	1600	0	[(25770,4),(26035,1),(26047,200)]	[(25770,4),(26035,1)]	0	200	0	暴击宝石礼包
10	204	4	400	0	[(26450,20),(26047,100)]	[(26450,20)]	0	100	0	许愿小礼包
11	204	2	800	0	[(26450,40),(26047,150)]	[(26450,40)]	0	150	0	许愿中礼包
12	204	1	1600	0	[(26450,100),(26047,200)]	[(26450,100)]	0	200	0	许愿大礼包
13	205	5	300	0	[(26042,2),(26036,1),(25828,880000)]	[(26042,2),(26036,1)]	880000	0	0	占卜优惠礼包
14	205	2	888	0	[(26042,5),(26047,200)]	[(26042,5)]	0	200	0	占卜返利小礼包
15	205	1	1688	0	[(26042,10),(26047,400)]	[(26042,10)]	0	400	0	占卜返利大礼包
16	206	4	480	0	[(25890,4),(26047,120)]	[(25890,4)]	0	120	0	信仰符文礼包
17	206	2	960	0	[(25909,4),(26047,240)]	[(25909,4)]	0	240	0	牺牲符文礼包
18	206	1	1920	0	[(25911,4),(26047,500)]	[(25911,4)]	0	500	0	公正符文礼包
19	207	10	150	0	[(25837,20),(25828,388000)]	[(25837,20)]	388000	0	0	羽翼培养小型礼包
20	207	2	800	0	[(25837,100),(26047,100)]	[(25837,100)]	0	100	0	羽翼培养中型礼包
21	207	1	1600	0	[(25837,200),(26047,200)]	[(25837,200)]	0	200	0	羽翼培养大型礼包
22	208	10	150	0	[(26144,20),(25828,388000)]	[(26144,20)]	388000	0	0	宠物培养小型礼包
23	208	2	800	0	[(26144,100),(26047,100)]	[(26144,100)]	0	100	0	宠物培养中型礼包
24	208	1	1600	0	[(26144,200),(26047,200)]	[(26144,200)]	0	200	0	宠物培养大型礼包
25	209	20	148	0	[(26344,20),(25828,388000)]	[(26344,20)]	388000	0	0	姻缘石礼包
26	209	2	848	0	[(26344,100),(26342,20)]	[(26344,100),(26342,20)]	0	0	0	精炼石礼包
27	209	1	1488	0	[(26344,200),(26343,40)]	[(26344,200),(26343,40)]	0	0	0	三生锁礼包
28	210	1	10000	0	[(25600,500),(26047,10000)]	[(25600,500)]	0	10000	0	坐骑培养豪礼
29	210	50	150	0	[(26639,2)]	[(26639,2)]	0	0	0	初级坐骑经验礼包
30	210	10	660	0	[(26640,5)]	[(26640,5)]	0	0	0	中级坐骑经验礼包
31	210	1	1200	0	[(26638,1)]	[(26638,1)]	0	0	0	坐骑升星礼包
32	211	1	10000	0	[(25600,1000),(26047,10000)]	[(25600,1000)]	0	10000	0	坐骑培养豪礼
33	211	50	148	0	[(25600,20)]	[(25600,20)]	0	0	0	坐骑培养礼包
34	211	10	720	0	[(25600,100),(26034,1)]	[(25600,100),(26034,1)]	0	0	0	坐骑培养大礼包
35	211	5	1380	0	[(25600,200),(25828,1880000)]	[(25600,200)]	1880000	0	0	坐骑培养返利礼包
36	212	1	10000	0	[(25784,1),(26047,10000)]	[(25784,1)]	0	10000	0	八级物攻宝石礼包
37	212	1	10000	0	[(25793,3),(25795,1)]	[(25793,3),(25795,1)]	0	0	0	九级物攻宝石礼包
38	212	4	400	0	[(25749,4),(26035,1),(26047,100)]	[(25749,4),(26035,1)]	0	100	0	法攻宝石礼包
39	212	2	800	0	[(25764,4),(26035,1),(26047,200)]	[(25764,4),(26035,1)]	0	200	0	格挡宝石礼包
