posIndex	pos	npcType	mcid	exp	items
位置索引	位置(x坐标， y坐标， 朝向)	npc类型	阵营id	获得经验	获得物品（物品coding， 物品数量， 概率）总权重10000
1	(848,530,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
2	(897,687,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
3	(1131,654,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
4	(1007,901,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
5	(1077,1044,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
6	(782,1008,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
7	(784,1208,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
8	(592,1354,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
9	(798,1492,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
10	(661,1632,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
11	(846,1715,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
12	(714,1858,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
13	(915,1882,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
14	(992,2047,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
15	(1088,1939,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
16	(1135,2079,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
17	(1263,1972,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
18	(1332,2119,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
19	(1478,1961,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
20	(1545,2115,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
21	(1680,2020,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
22	(1688,2130,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
23	(1830,2088,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
24	(1813,1955,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
25	(1881,1854,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
26	(1956,1986,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
27	(2041,2099,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
28	(2208,2040,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
29	(2196,1922,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
30	(2121,1797,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
31	(2252,1719,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
32	(2419,1690,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
33	(2614,1711,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
34	(2647,1826,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
35	(2612,1952,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
36	(2644,2104,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
37	(2786,2021,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
38	(2904,1911,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
39	(2964,2008,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
40	(2956,2130,3)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
41	(3047,2228,3)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
42	(3134,2134,0)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
43	(3154,1997,2)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
44	(3299,2020,2)	19056	18214	1000	[((29003,1),3500),((29391,1),6500)]
45	(3284,2120,0)	19053	18091	1000	[((29003,1),6500),((29391,1),3500)]
