serverType	rank	needGalmour	rewardItems	rankImg
服务器类型	排名	需要魅力值	奖励	是否显示
1	1	1000	[(26226,1),(27862,60),(25600,100)]	KHPD_TextDYM
1	2	1000	[(26225,1),(27862,48),(25600,80)]	KHPD_TextDRM
1	3	1000	[(26224,1),(27862,42),(25600,60)]	KHPD_TextDSM
1	4	1000	[(26026,1),(27862,36),(25600,50)]	KHPD_TextD4M
1	5	1000	[(26026,1),(27862,30),(25600,40)]	KHPD_TextD5M
1	6	1000	[(26026,1),(27862,24),(25600,30)]	0
1	7	1000	[(26026,1),(27862,18),(25600,25)]	0
1	8	1000	[(26026,1),(27862,15),(25600,20)]	0
1	9	1000	[(26026,1),(27862,12),(25600,15)]	0
1	10	1000	[(26026,1),(27862,10),(25600,10)]	0
2	1	1000	[(26230,1),(27862,60),(25600,100)]	KHPD_TextDYM
2	2	1000	[(26229,1),(27862,48),(25600,80)]	KHPD_TextDRM
2	3	1000	[(26228,1),(27862,42),(25600,60)]	KHPD_TextDSM
2	4	1000	[(26227,1),(27862,36),(25600,50)]	KHPD_TextD4M
2	5	1000	[(26227,1),(27862,30),(25600,40)]	KHPD_TextD5M
2	6	1000	[(26227,1),(27862,24),(25600,30)]	0
2	7	1000	[(26227,1),(27862,18),(25600,25)]	0
2	8	1000	[(26227,1),(27862,15),(25600,20)]	0
2	9	1000	[(26227,1),(27862,12),(25600,15)]	0
2	10	1000	[(26227,1),(27862,10),(25600,10)]	0
3	1	1000	[(26677,48),(27862,60),(25600,100)]	KHPD_TextDYM
3	2	1000	[(26677,24),(27862,48),(25600,80)]	KHPD_TextDRM
3	3	1000	[(26677,12),(27862,42),(25600,60)]	KHPD_TextDSM
3	4	1000	[(26677,6),(27862,36),(25600,50)]	KHPD_TextD4M
3	5	1000	[(26677,6),(27862,30),(25600,40)]	KHPD_TextD5M
3	6	1000	[(26677,6),(27862,24),(25600,30)]	0
3	7	1000	[(26677,6),(27862,18),(25600,25)]	0
3	8	1000	[(26677,6),(27862,15),(25600,20)]	0
3	9	1000	[(26677,6),(27862,12),(25600,15)]	0
3	10	1000	[(26677,6),(27862,10),(25600,10)]	0
4	1	1000	[(26677,48),(27862,60),(25600,100)]	KHPD_TextDYM
4	2	1000	[(26677,24),(27862,48),(25600,80)]	KHPD_TextDRM
4	3	1000	[(26677,12),(27862,42),(25600,60)]	KHPD_TextDSM
4	4	1000	[(26677,6),(27862,36),(25600,50)]	KHPD_TextD4M
4	5	1000	[(26677,6),(27862,30),(25600,40)]	KHPD_TextD5M
4	6	1000	[(26677,6),(27862,24),(25600,30)]	0
4	7	1000	[(26677,6),(27862,18),(25600,25)]	0
4	8	1000	[(26677,6),(27862,15),(25600,20)]	0
4	9	1000	[(26677,6),(27862,12),(25600,15)]	0
4	10	1000	[(26677,6),(27862,10),(25600,10)]	0
5	1	1000	[(26677,48),(27862,60),(25600,100)]	KHPD_TextDYM
5	2	1000	[(26677,24),(27862,48),(25600,80)]	KHPD_TextDRM
5	3	1000	[(26677,12),(27862,42),(25600,60)]	KHPD_TextDSM
5	4	1000	[(26677,6),(27862,36),(25600,50)]	KHPD_TextD4M
5	5	1000	[(26677,6),(27862,30),(25600,40)]	KHPD_TextD5M
5	6	1000	[(26677,6),(27862,24),(25600,30)]	0
5	7	1000	[(26677,6),(27862,18),(25600,25)]	0
5	8	1000	[(26677,6),(27862,15),(25600,20)]	0
5	9	1000	[(26677,6),(27862,12),(25600,15)]	0
5	10	1000	[(26677,6),(27862,10),(25600,10)]	0
