coding	needCoding	needItemCnt	needLevel	needWorldLevel	limitCnt
物品coding	兑换需要coding	兑换需要物品数量	兑换需要等级	兑换需要世界等级	限购次数(0-不限购)
27571	27862	800	100	0	1
27569	27862	640	100	0	1
26753	27862	80	45	0	1
26755	27862	80	45	0	1
26757	27862	80	45	0	1
26754	27862	80	45	0	1
26756	27862	80	45	0	1
26758	27862	80	45	0	1
27251	27862	60	60	0	1
27252	27862	60	60	0	1
27253	27862	60	60	0	1
27254	27862	60	60	0	1
27255	27862	60	60	0	1
27256	27862	60	60	0	1
26320	27862	4	80	0	200
26338	27862	18	80	0	200
26319	27862	4	80	0	200
26337	27862	18	80	0	200
37034	27862	188	65	0	1
27874	27862	8	80	0	150
27875	27862	8	80	0	50
27876	27862	8	80	0	100
27877	27862	8	80	0	100
27878	27862	8	80	0	100
26972	27862	600	30	0	1
26026	27862	12	30	0	0
26227	27862	15	60	0	0
