serverType	index	rankInterval	needGlamour	reward	rankImg
服务器类型	排名索引	排名区间	占位最低魅力值	奖励	是否显示
1	1	1,1	1000	[(25803,1),(26929,1),(27862,300),(26344,200),(26450,100)]	KHPD_TextDYM
1	2	2,2	1000	[(25794,1),(26928,1),(27862,250),(26344,150),(26450,75)]	KHPD_TextDRM
1	3	3,3	1000	[(25785,1),(26226,1),(27862,200),(26344,120),(26450,60)]	KHPD_TextDSM
1	4	4,4	1000	[(25776,1),(26225,1),(27862,150),(26344,100),(26450,50)]	KHPD_TextD4M
1	5	5,5	1000	[(25776,1),(26225,1),(27862,120),(26344,80),(26450,40)]	KHPD_TextD5M
1	6	6,10	1000	[(25767,1),(27862,100),(26344,60),(26450,30)]	KHPD_Text6
1	7	11,20	1000	[(25767,1),(27862,80),(26344,40),(26450,20)]	KHPD_Text11
1	8	21,50	1000	[(25758,1),(27862,60),(26344,20),(26450,15)]	KHPD_Text21
1	9	51,100	1000	[(25749,1),(27862,40),(26344,10),(26450,10)]	KHPD_Text51
2	1	1,1	1000	[(25806,1),(26929,1),(27862,300),(26344,200),(26450,100)]	KHPD_TextDYM
2	2	2,2	1000	[(25797,1),(26928,1),(27862,250),(26344,150),(26450,75)]	KHPD_TextDRM
2	3	3,3	1000	[(25788,1),(26226,1),(27862,200),(26344,120),(26450,60)]	KHPD_TextDSM
2	4	4,4	1000	[(25779,1),(26225,1),(27862,150),(26344,100),(26450,50)]	KHPD_TextD4M
2	5	5,5	1000	[(25779,1),(26225,1),(27862,120),(26344,80),(26450,40)]	KHPD_TextD5M
2	6	6,10	1000	[(25770,1),(27862,100),(26344,60),(26450,30)]	KHPD_Text6
2	7	11,20	1000	[(25770,1),(27862,80),(26344,40),(26450,20)]	KHPD_Text11
2	8	21,50	1000	[(25761,1),(27862,60),(26344,20),(26450,15)]	KHPD_Text21
2	9	51,100	1000	[(25752,1),(27862,40),(26344,10),(26450,10)]	KHPD_Text51
3	1	1,1	1000	[(25806,1),(26931,1),(27862,300),(26344,200),(26450,100)]	KHPD_TextDYM
3	2	2,2	1000	[(25797,1),(26930,1),(27862,250),(26344,150),(26450,75)]	KHPD_TextDRM
3	3	3,3	1000	[(25788,1),(26230,1),(27862,200),(26344,120),(26450,60)]	KHPD_TextDSM
3	4	4,4	1000	[(25779,1),(26229,1),(27862,150),(26344,100),(26450,50)]	KHPD_TextD4M
3	5	5,5	1000	[(25779,1),(26229,1),(27862,120),(26344,80),(26450,40)]	KHPD_TextD5M
3	6	6,10	1000	[(25770,1),(27862,100),(26344,60),(26450,30)]	KHPD_Text6
3	7	11,20	1000	[(25770,1),(27862,80),(26344,40),(26450,20)]	KHPD_Text11
3	8	21,50	1000	[(25761,1),(27862,60),(26344,20),(26450,15)]	KHPD_Text21
3	9	51,100	1000	[(25752,1),(27862,40),(26344,10),(26450,10)]	KHPD_Text51
4	1	1,1	1000	[(25962,1),(26931,1),(27862,300),(26344,200),(26450,100)]	KHPD_TextDYM
4	2	2,2	1000	[(25950,1),(26930,1),(27862,250),(26344,150),(26450,75)]	KHPD_TextDRM
4	3	3,3	1000	[(25938,1),(26230,1),(27862,200),(26344,120),(26450,60)]	KHPD_TextDSM
4	4	4,4	1000	[(25926,1),(26229,1),(27862,150),(26344,100),(26450,50)]	KHPD_TextD4M
4	5	5,5	1000	[(25926,1),(26229,1),(27862,120),(26344,80),(26450,40)]	KHPD_TextD5M
4	6	6,10	1000	[(25914,1),(27862,100),(26344,60),(26450,30)]	KHPD_Text6
4	7	11,20	1000	[(25914,1),(27862,80),(26344,40),(26450,20)]	KHPD_Text11
4	8	21,50	1000	[(25902,1),(27862,60),(26344,20),(26450,15)]	KHPD_Text21
4	9	51,100	1000	[(25890,1),(27862,40),(26344,10),(26450,10)]	KHPD_Text51
5	1	1,1	1000	[(25962,1),(26931,1),(27862,300),(26344,200),(26450,100)]	KHPD_TextDYM
5	2	2,2	1000	[(25950,1),(26930,1),(27862,250),(26344,150),(26450,75)]	KHPD_TextDRM
5	3	3,3	1000	[(25938,1),(26230,1),(27862,200),(26344,120),(26450,60)]	KHPD_TextDSM
5	4	4,4	1000	[(25926,1),(26229,1),(27862,150),(26344,100),(26450,50)]	KHPD_TextD4M
5	5	5,5	1000	[(25926,1),(26229,1),(27862,120),(26344,80),(26450,40)]	KHPD_TextD5M
5	6	6,10	1000	[(25914,1),(27862,100),(26344,60),(26450,30)]	KHPD_Text6
5	7	11,20	1000	[(25914,1),(27862,80),(26344,40),(26450,20)]	KHPD_Text11
5	8	21,50	1000	[(25902,1),(27862,60),(26344,20),(26450,15)]	KHPD_Text21
5	9	51,100	1000	[(25890,1),(27862,40),(26344,10),(26450,10)]	KHPD_Text51
