index	minLevel	needRechargeRMB	rewardItems
索引	最小等级	需要充值神石	奖励道具
1	1	500	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,5)]
2	1	1000	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,5)]
3	1	2000	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,10)]
4	1	3000	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,10)]
5	1	4000	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,10)]
6	1	5000	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,10)]
7	1	6000	[(29236,6),(28527,1),(27042,5),(26677,5),(26934,5),(29001,10)]
8	1	8000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
9	1	10000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
10	1	12000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
11	1	14000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
12	1	16000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
13	1	18000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
14	1	20000	[(29236,6),(28527,2),(27042,10),(26677,10),(26934,10),(29001,20)]
15	1	25000	[(29236,6),(28527,5),(27042,15),(26677,15),(26934,15),(29001,50)]
16	1	30000	[(29236,6),(28527,5),(27042,15),(26677,15),(26934,15),(29001,50)]
17	1	40000	[(29236,6),(28527,10),(27042,30),(26677,30),(26934,30),(29001,100)]
18	1	50000	[(26481,1),(29236,6),(28527,10),(27042,30),(26677,30),(26934,30),(29001,100)]
19	1	60000	[(29236,6),(28527,10),(27042,30),(26677,30),(26934,30),(29001,100)]
20	1	80000	[(29236,6),(28527,10),(27042,60),(26677,60),(26934,60),(29001,200)]
21	1	100000	[(28969,1),(29236,6),(28527,10),(27042,60),(26677,60),(26934,60),(29001,200)]
