index	levelRange	needConsume	rewardItems
索引	等级区间	需要消费充值神石数额	奖励道具
1	[1,50]	100	[(26747,1),(26758,1)]
2	[1,50]	500	[(26747,1),(26758,2)]
3	[1,50]	1000	[(26747,1),(26758,3)]
4	[1,50]	5000	[(26747,1),(26758,4)]
5	[1,50]	10000	[(26747,1),(26758,5)]
6	[1,50]	50000	[(26747,1),(26758,6)]
7	[1,50]	100000	[(26747,1),(26758,7)]
1	[51,100]	100	[(26747,1),(26758,8)]
2	[51,100]	500	[(26747,1),(26758,9)]
3	[51,100]	1000	[(26747,1),(26758,10)]
4	[51,100]	5000	[(26747,1),(26758,11)]
5	[51,100]	10000	[(26747,1),(26758,12)]
6	[51,100]	50000	[(26747,1),(26758,13)]
7	[51,100]	100000	[(26747,1),(26758,14)]
1	[101,150]	100	[(26747,1),(26758,15)]
2	[101,150]	500	[(26747,1),(26758,16)]
3	[101,150]	1000	[(26747,1),(26758,17)]
4	[101,150]	5000	[(26747,1),(26758,18)]
5	[101,150]	10000	[(26747,1),(26758,19)]
6	[101,150]	50000	[(26747,1),(26758,20)]
7	[101,150]	100000	[(26747,1),(26758,21)]
1	[151,179]	100	[(26747,1),(26758,22)]
2	[151,179]	500	[(26747,1),(26758,23)]
3	[151,179]	1000	[(26747,1),(26758,24)]
4	[151,179]	5000	[(26747,1),(26758,25)]
5	[151,179]	10000	[(26747,1),(26758,26)]
6	[151,179]	50000	[(26747,1),(26758,27)]
7	[151,179]	100000	[(26747,1),(26758,28)]
