index	minLevel	needCoding	needCnt	items	special	limitCnt
物品展示排序索引	物品开启对应主角等级	需要道具coding	需要道具数量	道具coding，cnt	是否极品道具	限购个数
1	30	29450	300	(28456,1)	1	1
2	70	29450	45	(37012,1)	0	1
3	70	29450	45	(37013,1)	0	1
4	50	29450	20	(37018,1)	0	1
5	50	29450	18	(37019,1)	0	1
6	50	29450	15	(37020,1)	0	1
7	80	29450	2500	(28978,1)	1	1
8	130	29450	300	(29234,1)	0	4
9	60	29450	500	(28253,1)	1	2
10	60	29450	200	(27105,1)	0	4
11	60	29450	160	(27106,1)	0	4
12	60	29450	2500	(28912,1)	1	1
13	60	29450	2000	(28911,1)	1	1
14	60	29450	1500	(28910,1)	1	2
15	60	29450	1000	(28909,1)	1	2
16	60	29450	500	(28908,1)	0	3
17	60	29450	250	(28907,1)	0	3
18	85	29450	1200	(28901,1)	1	1
19	60	29450	300	(28937,1)	0	1
20	100	29450	50	(28587,1)	0	3
21	120	29450	60	(28894,1)	0	30
22	50	29450	100	(26608,1)	0	4
23	70	29450	100	(28353,1)	0	12
24	120	29450	100	(28376,1)	0	12
25	45	29450	40	(27709,1)	0	-1
26	80	29450	8	(28035,1)	0	-1
27	60	29450	10	(28889,1)	0	-1
28	60	29450	10	(27621,1)	0	-1
29	30	29450	10	(27518,1)	0	-1
