goodId	item	des	minDiscount	maxDiscount	minLevel
商品ID	物品(coding,cnt)	备注	最低折扣	最高折扣	最低显示等级
26	(37050,1)	黄金之翼	7	7	40
30	(37047,1)	黄金利刃	6	6	40
31	(37048,1)	黄金铠甲	6	6	40
32	(37049,1)	黄金头盔	6	6	40
27	(37071,1)	死灵之刃	6	6	40
28	(37072,1)	死灵之心	6	6	40
29	(37073,1)	死灵之骨	6	6	40
87	(29271,1)	绯红飞鹿	8	8	30
19	(29246,1)	圣诞礼包	5	5	30
67	(28039,1)	摩羯座女神（紫）	3	3	80
68	(27177,1)	飞马座女神（紫）	3	3	80
69	(27893,1)	天秤座女神（紫）	3	3	80
70	(28269,1)	天蝎座女神（橙）	3	3	80
71	(27178,1)	飞马座女神（橙）	3	3	80
72	(28899,1)	天秤座女神（橙）	3	3	80
4	(26923,1)	黄金白马	5	5	30
1	(26638,1)	坐骑升星精华（小）	3	3	30
2	(26643,1)	坐骑升星精华（中）	4	4	30
3	(26644,1)	坐骑升星精华（大）	4	4	30
21	(28253,1)	单属性红色命魂随机礼盒	6	6	40
14	(25792,1)	九级生命宝石	7	7	30
15	(25793,1)	九级物攻宝石	7	7	30
16	(25794,1)	九级法攻宝石	7	7	30
17	(25795,1)	九级物防宝石	6	6	30
18	(25796,1)	九级法防宝石	6	6	30
34	(25800,1)	九级格挡宝石	8	8	60
35	(25797,1)	九级暴击宝石	8	8	60
41	(25948,1)	九级英勇符文	6	6	60
42	(25947,1)	九级公正符文	6	6	60
43	(25950,1)	九级信仰符文	6	6	60
44	(25952,1)	九级命运符文	6	6	60
45	(25954,1)	九级奉献符文	6	6	60
46	(25957,1)	九级牺牲符文	6	6	60
