goodId	item	des	minDiscount	maxDiscount	minLevel
商品ID	物品(coding,cnt)	备注	最低折扣	最高折扣	最低显示等级
33	(27705,1)	天鹅座女神（紫）	7	7	80
34	(27177,1)	飞马座女神（紫）	7	7	80
4	(26638,1)	坐骑升星精华（小）	5	5	30
5	(26643,1)	坐骑升星精华（中）	5	5	30
6	(26644,1)	坐骑升星精华（大）	5	5	30
1	(28547,1)	激情七月折扣礼包	5	5	30
45	(28253,1)	单属性红色命魂随机礼盒	4	4	40
23	(25792,1)	九级生命宝石	3	3	30
24	(25793,1)	九级物攻宝石	3	3	30
25	(25794,1)	九级法攻宝石	3	3	30
26	(25795,1)	九级物防宝石	4	4	30
27	(25796,1)	九级法防宝石	4	4	30
28	(25800,1)	九级格挡宝石	2	2	60
29	(25797,1)	九级暴击宝石	2	2	60
49	(25948,1)	九级英勇符文	3	3	60
50	(25947,1)	九级公正符文	3	3	60
51	(25950,1)	九级信仰符文	3	3	60
52	(25952,1)	九级命运符文	3	3	60
53	(25954,1)	九级奉献符文	3	3	60
54	(25957,1)	九级牺牲符文	3	3	60
