index	minLevel	needRechargeRMB	rewardItems
索引	最小等级	需要充值神石	奖励道具
1	1	500	[(27824,50),(28527,1),(28528,2)]
1	60	500	[(27824,50),(28527,1),(28528,2)]
1	90	500	[(27824,50),(28527,1),(28528,2)]
2	1	1000	[(27824,100),(28527,1),(28528,5),(26344,5)]
2	60	1000	[(27824,100),(28527,1),(28528,5),(25837,5)]
2	90	1000	[(27824,100),(28527,1),(28528,5),(27570,5)]
3	1	2000	[(27824,150),(28527,1),(28528,10),(26344,5)]
3	60	2000	[(27824,150),(28527,1),(28528,10),(25837,5)]
3	90	2000	[(27824,150),(28527,1),(28528,10),(27570,5)]
4	1	5000	[(27824,250),(28527,1),(28528,25),(26344,10)]
4	60	5000	[(27824,250),(28527,1),(28528,25),(25837,10)]
4	90	5000	[(27824,250),(28527,1),(28528,25),(27570,10)]
5	1	8000	[(27824,250),(28527,1),(28528,40),(26344,10)]
5	60	8000	[(27824,250),(28527,1),(28528,40),(25837,10)]
5	90	8000	[(27824,250),(28527,1),(28528,40),(27570,10)]
6	1	10000	[(27824,500),(28527,2),(28528,50),(26344,20)]
6	60	10000	[(27824,500),(28527,2),(28528,50),(25837,20)]
6	90	10000	[(27824,500),(28527,2),(28528,50),(27570,20)]
7	1	20000	[(27824,1000),(28527,5),(28528,100),(27520,1)]
7	60	20000	[(27824,1000),(28527,5),(28528,100),(27492,1)]
7	90	20000	[(27824,1000),(28527,5),(28528,100),(27492,1)]
8	1	50000	[(27824,2000),(28527,10),(28528,250),(26486,1),(26487,1)]
8	60	50000	[(27824,2000),(28527,10),(28528,250),(28253,1),(26486,1)]
8	90	50000	[(27824,2000),(28527,10),(28528,250),(28253,1),(26486,1)]
9	1	80000	[(27824,2000),(28527,10),(28528,400),(26928,1),(23930,1)]
9	60	80000	[(27824,2000),(28527,10),(28528,400),(27107,1),(26928,1)]
9	90	80000	[(27824,2000),(28527,10),(28528,400),(27493,1),(26928,1)]
10	1	150000	[(27824,5000),(28527,20),(28528,500),(26929,1),(26931,1)]
10	60	150000	[(27824,5000),(28527,20),(28528,500),(27493,1),(27515,1)]
10	90	150000	[(27824,5000),(28527,20),(28528,500),(27493,1),(27515,1)]
