goodId	goodType	minLevel	items	rate	limitCnt	isRecord	needCoding	needCnt
商品id	商品类型(1-普通,2-高档)	最小等级	商品	概率	限购个数	是否记录	兑换需要物品coding	兑换需要物品个数
1	2	100	(27569,1)	1000	1	1	28529	198
2	2	30	(26972,1)	1000	1	1	28529	100
3	2	45	(26849,1)	1000	1	1	28529	80
4	2	45	(26850,1)	1000	1	1	28529	80
5	2	45	(26851,1)	1000	1	1	28529	80
6	2	45	(26852,1)	1000	1	1	28529	80
7	2	45	(26853,1)	1000	1	1	28529	80
8	2	45	(26854,1)	1000	1	1	28529	80
9	1	45	(27323,1)	1000	1	1	28529	35
10	1	45	(27324,1)	1000	1	1	28529	35
11	1	45	(27325,1)	1000	1	1	28529	35
12	1	45	(27326,1)	1000	1	1	28529	35
13	1	45	(27327,1)	1000	1	1	28529	35
14	1	45	(27328,1)	1000	1	1	28529	35
15	1	45	(26753,1)	1000	1	1	28529	10
16	1	45	(26754,1)	1000	1	1	28529	10
17	1	45	(26755,1)	1000	1	1	28529	10
18	1	45	(26756,1)	1000	1	1	28529	10
19	1	45	(26757,1)	1000	1	1	28529	10
20	1	45	(26758,1)	1000	1	1	28529	10
21	1	45	(27251,1)	1000	1	1	28529	5
22	1	45	(27252,1)	1000	1	1	28529	5
23	1	45	(27253,1)	1000	1	1	28529	5
24	1	45	(27254,1)	1000	1	1	28529	5
25	1	45	(27255,1)	1000	1	1	28529	5
26	1	45	(27256,1)	1000	1	1	28529	5
27	1	70	(27709,1)	1000	1	1	28529	10
28	2	70	(27710,1)	1000	1	1	28529	30
29	1	45	(26924,1)	1000	5	1	28529	1
30	1	45	(26925,1)	1000	5	1	28529	1
31	1	60	(26935,1)	1000	1	1	28529	5
32	2	80	(26340,1)	1000	1	1	28529	14
33	1	80	(26298,1)	1000	10	1	28529	1
34	1	75	(27167,1)	1000	5	1	28529	2
35	1	40	(27566,1)	1000	10	1	28529	1
36	1	60	(26676,1)	1000	1	1	28529	6
37	2	50	(26608,1)	1000	1	1	28529	30
38	1	30	(27519,1)	1000	1	1	28529	5
39	2	30	(27520,1)	1000	1	1	28529	10
40	2	30	(27521,1)	1000	1	1	28529	20
41	1	60	(27622,1)	1000	1	1	28529	6
42	2	60	(27623,1)	1000	1	1	28529	12
43	2	60	(27624,1)	1000	1	1	28529	24
44	2	80	(28031,1)	1000	1	1	28529	8
45	2	80	(28032,1)	1000	1	1	28529	16
46	1	30	(26450,1)	1000	5	1	28529	1
47	1	30	(27517,1)	1000	1	1	28529	2
48	1	30	(27518,1)	1000	1	1	28529	3
