roundId	syncTime	lotteryTime	rewardPool
轮次ID	数据同步时间	抽奖时间	本次抽奖奖励池[(rewarId,cnt)]
1	(2016,2,12,11,55,0)	(2016,2,12,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
2	(2016,2,12,17,55,0)	(2016,2,12,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
3	(2016,2,12,22,55,0)	(2016,2,12,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
4	(2016,2,13,11,55,0)	(2016,2,13,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
5	(2016,2,13,17,55,0)	(2016,2,13,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
6	(2016,2,13,22,55,0)	(2016,2,13,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
7	(2016,2,14,11,55,0)	(2016,2,14,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
8	(2016,2,14,17,55,0)	(2016,2,14,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
9	(2016,2,14,22,55,0)	(2016,2,14,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
10	(2016,2,15,11,55,0)	(2016,2,15,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
11	(2016,2,15,17,55,0)	(2016,2,15,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
12	(2016,2,15,22,55,0)	(2016,2,15,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
13	(2016,2,16,11,55,0)	(2016,2,16,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
14	(2016,2,16,17,55,0)	(2016,2,16,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
15	(2016,2,16,22,55,0)	(2016,2,16,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
16	(2016,2,17,11,55,0)	(2016,2,17,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
17	(2016,2,17,17,55,0)	(2016,2,17,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
18	(2016,2,17,22,55,0)	(2016,2,17,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
19	(2016,2,18,11,55,0)	(2016,2,18,12,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
20	(2016,2,18,17,55,0)	(2016,2,18,18,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
21	(2016,2,18,22,55,0)	(2016,2,18,23,0,0)	[(1,1),(2,2),(3,3),(4,5),(5,15),(6,50),(7,100)]
