index	minLevel	needConsumeRMB	rewardItems
索引	最小等级	需要充值神石	奖励道具
1	1	200	[(27824,100),(28527,1),(29088,1)]
1	60	200	[(27824,100),(28527,1),(29088,1)]
2	1	1250	[(27824,200),(28527,1),(29088,2),(25837,2)]
2	60	1250	[(27824,200),(28527,1),(29088,2),(26934,2)]
3	1	2500	[(27824,300),(28527,1),(29088,2),(25837,3)]
3	60	2500	[(27824,300),(28527,1),(29088,2),(26934,3)]
4	1	5000	[(27824,500),(28527,1),(29088,4),(25837,5)]
4	60	5000	[(27824,500),(28527,1),(29088,4),(26934,5)]
5	1	7500	[(27824,500),(28527,1),(29088,4),(25837,5)]
5	60	7500	[(27824,500),(28527,1),(29088,4),(26934,5)]
6	1	12500	[(27824,1000),(28527,2),(29088,8),(25837,10)]
6	60	12500	[(27824,1000),(28527,2),(29088,8),(26934,10)]
7	1	25000	[(27824,2000),(28527,5),(29088,15),(25837,25)]
7	60	25000	[(27824,2000),(28527,5),(29088,15),(26934,25)]
8	1	50000	[(27824,4000),(28527,10),(29088,30),(25837,50)]
8	60	50000	[(27824,4000),(28527,10),(29088,30),(26934,50)]
9	1	75000	[(27824,4000),(28527,10),(29088,30),(25837,50)]
9	60	75000	[(27824,4000),(28527,10),(29088,30),(26934,50)]
10	1	125000	[(27824,8000),(28527,20),(29088,60),(25837,100)]
10	60	125000	[(27824,8000),(28527,20),(29088,60),(26934,100)]
