Index	RateList	goodItems	normalItems
方案索引	物品概率表	珍稀物品	普通物品
1	[(25600,20,3000),(25600,30,1000),(25600,50,750),(26342,10,3000),(26342,20,1000),(26342,30,750),(26343,10,1000),(26343,20,300),(27566,10,200),(27566,15,50),(27566,20,50),(27618,1,1)]	[(27618,1),(26608,1)]	[(26344,50),(26342,30),(26343,20),(27566,50)]
2	[(26344,20,3000),(26344,30,1000),(26344,50,750),(26342,10,3000),(26342,20,1000),(26342,30,750),(26343,10,1000),(26343,20,300),(27566,10,200),(27566,15,50),(26608,1,50),(27618,1,1)]	[(27618,1),(26608,1)]	[(26344,50),(26342,30),(26343,20),(27566,50)]
3	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,20,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(27167,5,200),(27167,10,50),(28353,1,50),(27618,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
4	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(26298,10,200),(26298,20,50),(26676,3,50),(27618,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
5	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(26298,10,200),(26298,20,50),(28353,1,50),(28253,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
6	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(27167,5,200),(27167,10,50),(26676,3,50),(28253,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
7	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(27167,5,200),(27167,10,50),(28353,1,50),(27625,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
8	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(26298,10,200),(26298,20,50),(26676,3,50),(27625,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
9	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(26298,10,200),(26298,20,50),(28353,1,50),(27712,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
10	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(27167,5,200),(27167,10,50),(26676,3,50),(27712,1,1)]	[(27618,1),(28253,1),(27712,1),(27625,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(26144,30)]
11	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(27492,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
12	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(27492,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
13	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(28253,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
14	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(28253,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
15	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,3,50),(28043,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
16	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(28043,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
17	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(27713,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
18	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(27713,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
19	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(27492,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
20	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(27492,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
21	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(28253,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
22	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(28253,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
23	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(28043,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
24	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(28043,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
25	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(27713,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
26	[(25837,10,3000),(25837,20,1000),(25837,30,750),(26677,5,3000),(26677,10,1000),(26677,15,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(26676,3,50),(27713,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
27	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(27492,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
28	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(28253,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
29	[(26677,5,3000),(26677,10,1000),(26677,15,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(28043,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
30	[(26144,10,3000),(26144,20,1000),(26144,30,750),(27587,10,3000),(27587,20,1000),(27587,30,750),(26934,10,1000),(26934,20,300),(28894,1,50),(28844,10,1),(28353,1,50),(27713,1,1)]	[(27492,1),(28253,1),(27713,1),(28043,1)]	[(26677,15),(27587,30),(26934,20),(27167,10),(28353,1),(26298,20),(26676,3),(25837,30),(28844,10)]
